Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;;;;;;;;;;
21001A041;VEEWEYDE-SUD;Anderlecht;22;22;22;22;22;22,4;22,4;22,4;22,4;22,4;16,4;16,4;16,4;16,4;16,4;16,8;16,8;16,8;16,8;16,8;16,8;15;15;15;15;17,4;17,4;17,4;17,4;17,4;22;22;22;22;22;23,2;23,2;23,2;23,2;23,2;23,2;23,2;23,2;23,2;23,2;20,4;20,4;20,4;20,4;20,4;18,4;18,4;18,4;18,4;18,4;15,4;15,4;15,4;15,4;15,4;8,6;8,6;8,6;8,6;8,6;8,8;8,8;8,8;8,8;8,8;5;5;5;5;5;4,6;4,6;4,6;4,6;4,6;3,2;3,2;3,2;3,2;3,2;2,2;2,2;2,2;2,2;2,2;0,600;0,600;0,600;0,600;0,600;;;;;;;;;;
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;6,4;6,4;6,4;6,4;6,4;2,4;2,4;2,4;2,4;2,4;4;4;4;4;4;4;4;4;4;4;4;4,6;4,6;4,6;4,6;6,6;6,6;6,6;6,6;6,6;9,6;9,6;9,6;9,6;9,6;9,4;9,4;9,4;9,4;9,4;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;4;4;4;4;4;3,4;3,4;3,4;3,4;3,4;2,4;2,4;2,4;2,4;2,4;1;1;1;1;1;1,4;1,4;1,4;1,4;1,4;0,400;0,400;0,400;0,400;0,400;;;;;;;;;;
21001A83-;PETERBOS;Anderlecht;20,6;20,6;20,6;20,6;20,6;29,6;29,6;29,6;29,6;29,6;28,2;28,2;28,2;28,2;28,2;24,4;24,4;24,4;24,4;24,4;24,4;15;15;15;15;9,2;9,2;9,2;9,2;9,2;6,6;6,6;6,6;6,6;6,6;12,4;12,4;12,4;12,4;12,4;15,2;15,2;15,2;15,2;15,2;18,4;18,4;18,4;18,4;18,4;22,4;22,4;22,4;22,4;22,4;18,4;18,4;18,4;18,4;18,4;10,6;10,6;10,6;10,6;10,6;10,4;10,4;10,4;10,4;10,4;10,4;10,4;10,4;10,4;10,4;6,6;6,6;6,6;6,6;6,6;5,4;5,4;5,4;5,4;5,4;2,2;2,2;2,2;2,2;2,2;1,400;1,400;1,400;1,400;1,400;;;;;;;;;;
21001A503;VIVES;Anderlecht;11,6;11,6;11,6;11,6;11,6;9,6;9,6;9,6;9,6;9,6;7;7;7;7;7;6;6;6;6;6;6;7,2;7,2;7,2;7,2;10,4;10,4;10,4;10,4;10,4;9,2;9,2;9,2;9,2;9,2;8,6;8,6;8,6;8,6;8,6;10,6;10,6;10,6;10,6;10,6;10,2;10,2;10,2;10,2;10,2;9,8;9,8;9,8;9,8;9,8;8,4;8,4;8,4;8,4;8,4;7,6;7,6;7,6;7,6;7,6;6,6;6,6;6,6;6,6;6,6;7,4;7,4;7,4;7,4;7,4;5,2;5,2;5,2;5,2;5,2;4,6;4,6;4,6;4,6;4,6;2,2;2,2;2,2;2,2;2,2;1,600;1,600;1,600;1,600;1,600;;;;;;;;;;
21001A3MJ;CERIA I;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001A331;WALCOURT;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001A332;ROUE;Anderlecht;9,8;9,8;9,8;9,8;9,8;13,2;13,2;13,2;13,2;13,2;10,2;10,2;10,2;10,2;10,2;10,6;10,6;10,6;10,6;10,6;10,6;9,2;9,2;9,2;9,2;7,4;7,4;7,4;7,4;7,4;6,8;6,8;6,8;6,8;6,8;9;9;9;9;9;8,4;8,4;8,4;8,4;8,4;8,8;8,8;8,8;8,8;8,8;10,2;10,2;10,2;10,2;10,2;8,6;8,6;8,6;8,6;8,6;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;3,6;3,6;3,6;3,6;3,6;0,4;0,4;0,4;0,4;0,4;1;1;1;1;1;0,4;0,4;0,4;0,4;0,4;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
21001A43-;VAN BEETHOVEN;Anderlecht;10,2;10,2;10,2;10,2;10,2;8,2;8,2;8,2;8,2;8,2;7,2;7,2;7,2;7,2;7,2;6,2;6,2;6,2;6,2;6,2;6,2;9,4;9,4;9,4;9,4;10,4;10,4;10,4;10,4;10,4;12,2;12,2;12,2;12,2;12,2;10,6;10,6;10,6;10,6;10,6;10,4;10,4;10,4;10,4;10,4;10,2;10,2;10,2;10,2;10,2;9,2;9,2;9,2;9,2;9,2;8;8;8;8;8;7;7;7;7;7;3,4;3,4;3,4;3,4;3,4;3;3;3;3;3;1,4;1,4;1,4;1,4;1,4;2,2;2,2;2,2;2,2;2,2;0,6;0,6;0,6;0,6;0,6;0,600;0,600;0,600;0,600;0,600;;;;;;;;;;
21001A401;ARBORETUM;Anderlecht;5,6;5,6;5,6;5,6;5,6;5,8;5,8;5,8;5,8;5,8;2,8;2,8;2,8;2,8;2,8;2,2;2,2;2,2;2,2;2,2;2,2;4,6;4,6;4,6;4,6;3,6;3,6;3,6;3,6;3,6;5;5;5;5;5;4,2;4,2;4,2;4,2;4,2;4;4;4;4;4;5,4;5,4;5,4;5,4;5,4;4,6;4,6;4,6;4,6;4,6;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,4;3,4;3,4;3,4;3,4;1,2;1,2;1,2;1,2;1,2;2,6;2,6;2,6;2,6;2,6;1,4;1,4;1,4;1,4;1,4;1,6;1,6;1,6;1,6;1,6;1,400;1,400;1,400;1,400;1,400;;;;;;;;;;
21001A32-;AURORE;Anderlecht;30,8;30,8;30,8;30,8;30,8;24,8;24,8;24,8;24,8;24,8;22,8;22,8;22,8;22,8;22,8;21,4;21,4;21,4;21,4;21,4;21,4;22,6;22,6;22,6;22,6;24,6;24,6;24,6;24,6;24,6;29,4;29,4;29,4;29,4;29,4;28,2;28,2;28,2;28,2;28,2;28,4;28,4;28,4;28,4;28,4;25;25;25;25;25;28,8;28,8;28,8;28,8;28,8;22;22;22;22;22;16,4;16,4;16,4;16,4;16,4;17;17;17;17;17;11,8;11,8;11,8;11,8;11,8;12;12;12;12;12;11,6;11,6;11,6;11,6;11,6;7;7;7;7;7;1,200;1,200;1,200;1,200;1,200;;;;;;;;;;
