Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
21001A041;VEEWEYDE-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;2,166666667;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;5,942857143;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667
21001A472;STADE COMMUNAL - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;0,916666667;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;2,228571429;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333;0,433333333
21001A83-;PETERBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;5,971428571;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333;2,133333333
21001A503;VIVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,75;1,75;1,75;1,75;1,75;1,75;1,75;1,75;1,75;1,75;1,75;1,75;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;4,057142857;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333;1,633333333
21001A3MJ;CERIA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A332;ROUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;2,542857143;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333
21001A43-;VAN BEETHOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;2,971428571;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333;0,633333333
21001A401;ARBORETUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667;0,466666667
21001A32-;AURORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;3,583333333;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;9,457142857;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
