Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21001A041;VEEWEYDE-SUD;19;;
21001A472;STADE COMMUNAL - INDUSTRIE;0;;
21001A83-;PETERBOS;17;;
21001A503;VIVES;11;;
21001A3MJ;CERIA I;0;;
21001A331;WALCOURT;0;;
21001A332;ROUE;9;;
21001A43-;VAN BEETHOVEN;5;;
21001A401;ARBORETUM;0;;
21001A32-;AURORE;27;;
21001A53-;NELLIE MELBA;0;;
21001A41-;ROMAIN ROLLAND;16;;
21001A492;ETANGS - PARC;0;;
21001A37-;ZUEN - INDUSTRIE;0;;
21001A85-;AUBADE;0;;
21001B3MJ;PETITE ILE - RIVE DROITE;0;;
21001A51-;SCHERDEMAEL;10;;
21001A42-;KAT;0;;
21001A52-;SCHERDEMAEL-NORD;0;;
21001C70-;BON AIR - CENTRE;0;;
21001A552;TREFLE;16;;
21001A84-;POESIE;4;;
21001A34-;ROUE - CITE JARDIN;17;;
21001A350;CERIA - ZONE D'HABITAT;8;;
21001A441;DOCTEUR ROUX;16;;
21001C512;CHANTS D'OISEAUX;11;;
21001C71-;BON AIR - CITE JARDIN;11;;
21001A82-;MOORTEBEEK;14;;
21001C611;SOETKIN;0;;
21001C581;CIMETIERE;0;;
21001C522;HOPITAL U.L.B.;0;;
21001A451;VENIZELOS;11;;
21001A30-;BIZET;24;;
21001A80-;SILLON;19;;
21001A81-;BROECK;15;;
21001C79-;BON AIR - HABITATIONS DISP.;0;;
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;0;;
21001A031;RAUTER-SUD;12;;
21001B22-;BROGNIEZ-SUD;10;;
21001B321;ALBERT I- QUARTIER;13;;
21001B20-;CONSEIL-NORD;53;;
21001B23-;CONSEIL-SUD;14;;
21001A142;VEEWEYDE-NORD;13;;
21001A051;LINDE-EST;16;;
21001A941;CROCUS;15;;
21001A732;SCHEUTVELD;0;;
21001A982;PARC FORESTIER;0;;
21001A90-;SCHEUTKAPEL;8;;
21001A783;SCHEUT-INTERNAT;0;;
21001A132;RAUTER-NORD;7;;
21001B31-;ALBERT I- IMMEUBLES;0;;
21001B25-;REVISION-NORD;27;;
21001B11-;ROSEE-OUEST;0;;
21001A72-;OSSEGEM;24;;
21001A011;KLEINMOLEN;22;;
21001B17-;ABATTOIR;7;;
21001A712;SCHEUT - DE SMET;0;;
21001A07-;BIRMINGHAM;0;;
21001B21-;BROGNIEZ-NORD;30;;
21001A911;SCHEUT-EST;21;;
21001A931;AGRAFE-NORBERT GILLE;10;;
21001A74-;SCHEUT-OUEST;31;;
21001A92-;JAKOB SMITS;16;;
21001A00-;RESISTANCE;33;;
21001A08-;ASTRID (PARC);0;;
21001A95-;BUFFON;24;;
21001B10-;ROSEE-EST;15;;
21001B332;GOUJONS;7;;
21001B241;REVISION-SUD;15;;
21001B372;DEUX GARES;0;;
21001A10-;PORSELEIN;8;;
21001A120;MINIMES;35;;
21001A152;LINDE-OUEST;8;;
21001A02-;WAYEZ;10;;
21001A112;BIESTEBROEK;21;;
21002A20-;SAINT-JULIEN;11;;
21002A53-;PECHERIES;14;;
21002A511;INVALIDES (BOULEVARD DES);22;;
21002A23-;TH. BALIS (PLACE);10;;
21002A22-;CANARIS (AVENUE DES);0;;
21002A24-;AVENUE DE BROUCKERE;7;;
21002A25-;WATERMAEL (CHAUSSEE DE);11;;
21002A45-;VAL DUC;0;;
21002A441;CHANT D'OISEAUX;6;;
21002A482;VAL DUCHESSE;0;;
21002A190;FORET DE SOIGNES;0;;
21002A130;PARC DES PRINCES;12;;
21002A572;DEPOT METRO;0;;
21002A311;AMITIE (PLACE DE L');6;;
21002A372;QUARTIER INDUSTRIE;0;;
21002A492;WOLUWE PARC;0;;
21002A30-;TRIOMPHE (BOULEVARD DU);12;;
21002A21-;LEBON;11;;
21002A411;PUTDAAL;0;;
21002A00-;CENTRE - NORD;11;;
21002A39-;CHEMIN DE FER;0;;
21002A18-;ROUGE CLOITRE;0;;
21002A02-;CENTRE-SUD;8;;
21002A030;LAMMERENDRIES;14;;
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;0;;
21002A11-;SACRE-COEUR;11;;
21002A10-;TRANSVAAL;30;;
21002A14-;TEN REUKEN;0;;
21002A12-;AVENUE SCHALLER;17;;
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;13;;
21002A091;TROIS COULEURS;0;;
21002A422;AVENUE IS.GERARD;0;;
21002A072;CENTRE COMMERCIAL;0;;
21002A041;VIGNETTE;0;;
21002A01-;SAINTE-ANNE;0;;
21002A52-;BEAULIEU;0;;
21003A38-;KONINCKXBOS;0;;
21003A312;POTAARDE  VLAK;12;;
21003A323;SEPT ETOILES;0;;
21003A342;HOGENBOS;0;;
21003A331;ALLEE VERTE;0;;
21003A04-;L. DE SMET;7;;
21003A0AJ;HUNDERENVELD;7;;
21003A02-;LAURE - BASILIQUE;22;;
21003A03-;HAUT-CHAMP;16;;
