Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21001A041;VEEWEYDE-SUD;Anderlecht;0,107636152;0,089612357;2,553574922;2,270179702;0,141040475;0,12321699;2,553574922;2,270179702;0,215272304;0,238966284;0,141040475;0,12321699;5,704716069;4,917478071;3,837785566;4,439545502
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;0,034527862;0,028827749;0,819143763;0,73030298;0,045243405;0,039638155;0,819143763;0,73030298;0,069055724;0,076873998;0,045243405;0,039638155;1,829976691;1,581922738;1,231096876;1,428174742
21001A83-;PETERBOS;Anderlecht;0,108365614;0,112647925;2,570880776;2,853747441;0,141996322;0,154890897;2,570880776;2,853747441;0,216731228;0,300394467;0,141996322;0,154890897;5,743377548;6,181554901;3,863794655;5,580765966
21001A503;VIVES;Anderlecht;0,05835695;0,061516952;1,384468331;1,558429454;0,076467728;0,084585809;1,384468331;1,558429454;0,1167139;0,164045206;0,076467728;0,084585809;3,092918351;3,375742747;2,080727114;3,047652336
21001A3MJ;CERIA I;Anderlecht;0,000486308;0,000332884;0,011537236;0,00843306;0,000637231;0,000457715;0,011537236;0,00843306;0,000972616;0,000887691;0,000637231;0,000457715;0,02577432;0,018267006;0,017339393;0,016491625
21001A331;WALCOURT;Anderlecht;0,007780927;0,005126413;0,184595778;0,129869121;0,010195697;0,007048817;0,184595778;0,129869121;0,015561853;0,013670434;0,010195697;0,007048817;0,412389113;0,281311896;0,277430282;0,253971028
21001A332;ROUE;Anderlecht;0,051305485;0,039280305;1,217178408;0,995101058;0,067227877;0,054010419;1,217178408;0,995101058;0,10261097;0,10474748;0,067227877;0,054010419;2,719190717;2,155506733;1,829305921;1,946011773
21001A43-;VAN BEETHOVEN;Anderlecht;0,052926512;0,046803482;1,255635862;1,18568821;0,069351981;0,064354788;1,255635862;1,18568821;0,105853023;0,124809285;0,069351981;0,064354788;2,805105115;2,568341073;1,887103897;2,318722502
21001A401;ARBORETUM;Anderlecht;0,026665884;0,028095405;0,632625112;0,711750248;0,034941503;0,038631181;0,632625112;0,711750248;0,053331768;0,074921079;0,034941503;0,038631181;1,413291857;1,541735324;0,950776695;1,391893166
21001A32-;AURORE;Anderlecht;0,156347995;0,147267855;3,709221404;3,730785662;0,204869787;0,202493301;3,709221404;3,730785662;0,31269599;0,39271428;0,204869787;0,202493301;8,286443748;8,081323547;5,574614727;7,295894986
21001A53-;NELLIE MELBA;Anderlecht;0,016534469;0,014180856;0,392266027;0,359248348;0,021665856;0,019498677;0,392266027;0,359248348;0,033068938;0,037815616;0,021665856;0,019498677;0,876326866;0,778174464;0,589539349;0,702543233
21001A41-;ROMAIN ROLLAND;Anderlecht;0,087616476;0,086816132;2,07862537;2,199341999;0,114807797;0,119372181;2,07862537;2,199341999;0,175232953;0,231509684;0,114807797;0,119372181;4,643673246;4,764035219;3,12398057;4,301015851
21001A492;ETANGS - PARC;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0,000486308;0,000599191;0,011537236;0,015179508;0,000637231;0,000823888;0,011537236;0,015179508;0,000972616;0,001597843;0,000637231;0,000823888;0,02577432;0,032880611;0,017339393;0,029684925
21001A85-;AUBADE;Anderlecht;0,028611116;0,022236647;0,678774057;0,563328396;0,037490428;0,03057539;0,678774057;0,563328396;0,057222232;0,059297726;0,037490428;0,03057539;1,516389136;1,220236015;1,020134266;1,101640563
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;0,005268336;0,004527222;0,124986724;0,114689613;0,006903337;0,00622493;0,124986724;0,114689613;0,010536672;0,012072591;0,006903337;0,00622493;0,279221796;0,248431284;0,18784342;0,224286103
21001A51-;SCHERDEMAEL;Anderlecht;0,057303283;0,054592966;1,359470986;1,383021809;0,07508706;0,075065328;1,359470986;1,383021809;0,114606566;0,145581243;0,07508706;0,075065328;3,037073991;2,995789018;2,04315843;2,704626532
21001A42-;KAT;Anderlecht;0,0214786;0,018841231;0,509561261;0,477311185;0,028144372;0,025906693;0,509561261;0,477311185;0,042957199;0,050243283;0,028144372;0,025906693;1,138365782;1,033912551;0,765823174;0,933425986
21001A52-;SCHERDEMAEL-NORD;Anderlecht;0,020019676;0,017975733;0,474949553;0,45538523;0,026232679;0,024716633;0,474949553;0,45538523;0,040039352;0,047935287;0,026232679;0,024716633;1,061042823;0,986418335;0,713804996;0,890547761
21001C70-;BON AIR - CENTRE;Anderlecht;0,010293518;0,010119672;0,244204831;0,256365018;0,013488058;0,013914549;0,244204831;0,256365018;0,020587035;0,026985791;0,013488058;0,013914549;0,545556431;0,555316989;0,367017144;0,501345406
21001A552;TREFLE;Anderlecht;0,102692022;0,087348746;2,436279689;2,212834895;0,13456196;0,120104526;2,436279689;2,212834895;0,205384044;0,232929989;0,13456196;0,120104526;5,442677153;4,793262429;3,661501741;4,327402451
21001A84-;POESIE;Anderlecht;0,044091918;0,042143107;1,046042739;1,067625372;0,057775616;0,057946772;1,046042739;1,067625372;0,088183836;0,112381618;0,057775616;0,057946772;2,336871643;2,312602986;1,572104931;2,08783975
21001A34-;ROUE - CITE JARDIN;Anderlecht;0,086481758;0,07669646;2,051705152;1,942976981;0,113320924;0,105457632;2,051705152;1,942976981;0,172963516;0,204523893;0,113320924;0,105457632;4,583533167;4,20871823;3,083521987;3,799670445
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;0,055114897;0,042143107;1,307553424;1,067625372;0,072219521;0,057946772;1,307553424;1,067625372;0,110229794;0,112381618;0,072219521;0,057946772;2,921089553;2,312602986;1,965131163;2,08783975
21001A441;DOCTEUR ROUX;Anderlecht;0,094505838;0,075364924;2,242069548;1,909244742;0,123835237;0,103626771;2,242069548;1,909244742;0,189011677;0,200973131;0,123835237;0,103626771;5,00880944;4,135650206;3,369621965;3,733703944
21001C512;CHANTS D'OISEAUX;Anderlecht;0,05162969;0,05845442;1,224869899;1,480845303;0,067652698;0,080374827;1,224869899;1,480845303;0,103259381;0,155878453;0,067652698;0,080374827;2,736373596;3,20768629;1,840865516;2,895929384
21001C71-;BON AIR - CITE JARDIN;Anderlecht;0,056249616;0,049866014;1,334473642;1,26327236;0,073706393;0,06856577;1,334473642;1,26327236;0,112499231;0,132976038;0,073706393;0,06856577;2,981229632;2,73639753;2,005589746;2,470445454
21001A82-;MOORTEBEEK;Anderlecht;0,070433597;0,063314525;1,670976361;1,603967977;0,092292299;0,087057472;1,670976361;1,603967977;0,140867193;0,168838734;0,092292299;0,087057472;3,73298062;3,474384581;2,511322031;3,136707112
21001C611;SOETKIN;Anderlecht;0,021721754;0,018508347;0,515329879;0,468878126;0,028462987;0,025448977;0,515329879;0,468878126;0,043443507;0,049355592;0,028462987;0,025448977;1,151252942;1,015645545;0,77449287;0,916934361
21001C581;CIMETIERE;Anderlecht;0,002026283;0,001797573;0,048071817;0,045538523;0,002655129;0,002471663;0,048071817;0,045538523;0,004052566;0,004793529;0,002655129;0,002471663;0,107392998;0,098641834;0,072247469;0,089054776
21001C522;HOPITAL U.L.B.;Anderlecht;0,007861978;0,007722907;0,18651865;0,195646988;0,010301902;0,010618998;0,18651865;0,195646988;0,015723956;0,02059442;0,010301902;0,010618998;0,416684833;0,423794544;0,280320181;0,382605705
21001A451;VENIZELOS;Anderlecht;0,064760004;0,056523693;1,536375273;1,431933556;0,084857937;0,077720078;1,536375273;1,431933556;0,129520008;0,150729848;0,084857937;0,077720078;3,432280225;3,101737654;2,309029117;2,800277958
21001A30-;BIZET;Anderlecht;0,114930771;0,093606964;2,726633464;2,37137642;0,150598941;0,128709575;2,726633464;2,37137642;0,229861542;0,24961857;0,150598941;0,128709575;6,091330863;5,136682146;4,097876455;4,637445005
21001A80-;SILLON;Anderlecht;0,106582485;0,107188629;2,528577577;2,71544526;0,139659808;0,147384364;2,528577577;2,71544526;0,21316497;0,285836343;0,139659808;0,147384364;5,64887171;5,881975999;3,800216882;5,310303313
21001A81-;BROECK;Anderlecht;0,071730418;0,066976249;1,701742324;1,696731635;0,093991582;0,092092342;1,701742324;1,696731635;0,143460835;0,17860333;0,093991582;0,092092342;3,801712139;3,675321649;2,557560411;3,318114989
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;0,004214669;0,00539272;0,099989379;0,136615569;0,005522669;0,00741499;0,099989379;0,136615569;0,008429337;0,014380586;0,005522669;0,00741499;0,223377436;0,295925501;0,150274736;0,267164328
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;0,032744733;0,027962251;0,776840564;0,708377024;0,042906892;0,038448095;0,776840564;0,708377024;0,065489466;0,074566003;0,042906892;0,038448095;1,735470852;1,534428521;1,167519103;1,385296516
21001A031;RAUTER-SUD;Anderlecht;0,08169973;0,062648758;1,938255664;1,587101857;0,107054819;0,086142042;1,938255664;1,587101857;0,16339946;0,167063353;0,107054819;0,086142042;4,330085691;3,437850568;2,91301796;3,103723862
21001B22-;BROGNIEZ-SUD;Anderlecht;0,050657075;0,042409414;1,201795426;1,07437182;0,066378236;0,058312944;1,201795426;1,07437182;0,101314149;0,113091771;0,066378236;0,058312944;2,684824957;2,327216591;1,806186731;2,10103305
21001B321;ALBERT I- QUARTIER;Anderlecht;0,083401808;0,061317222;1,97863599;1,553369618;0,109285127;0,08431118;1,97863599;1,553369618;0,166803615;0,163512591;0,109285127;0,08431118;4,420295809;3,364782544;2,973705834;3,037757361
21001B20-;CONSEIL-NORD;Anderlecht;0,234562519;0,171435229;5,564793543;4,343025804;0,307357783;0,23572344;5,564793543;4,343025804;0,469125037;0,457160611;0,307357783;0,23572344;12,43181348;9,407508197;8,36336704;8,493186975
21001B23-;CONSEIL-SUD;Anderlecht;0,066867339;0,045139062;1,586369963;1,143522911;0,087619271;0,062066211;1,586369963;1,143522911;0,133734677;0,120370833;0,087619271;0,062066211;3,543968943;2,477006042;2,384166485;2,236264376
21001A142;VEEWEYDE-NORD;Anderlecht;0,047090817;0,040145803;1,117189028;1,017027014;0,061705208;0,055200479;1,117189028;1,017027014;0,094181633;0,107055475;0,061705208;0,055200479;2,49581328;2,203000949;1,679031185;1,988889999
