SectorStatID,Quartier,Places Mat ss
21001A041,Veeweyde - Aurore,77.0
21001A472,Bizet - Roue- Ceria,27.0
21001A83-,Moortebeek - Peterbos,204.0
21001A503,Scherdemael,161.0
21001A332,Bizet - Roue- Ceria,55.0
21001A43-,Veeweyde - Aurore,35.0
21001A401,Scherdemael,82.0
21001A32-,Veeweyde - Aurore,106.0
21001A53-,Scherdemael,36.0
21001A41-,Scherdemael,209.0
21001A85-,Scheut,39.0
21001A51-,Scherdemael,106.0
21001A42-,Scherdemael,41.0
21001A52-,Scherdemael,43.0
21001C70-,Bon Air,9.0
21001A552,Bizet - Roue- Ceria,101.0
21001A84-,Moortebeek - Peterbos,98.0
21001A34-,Bizet - Roue- Ceria,71.0
21001A350,Bizet - Roue- Ceria,46.0
21001A441,Bizet - Roue- Ceria,95.0
21001C512,Vogelenzang - Erasme,210.0
21001C71-,Bon Air,40.0
21001A82-,Moortebeek - Peterbos,102.0
21001C611,Neerpede,136.0
21001A451,Bizet - Roue- Ceria,55.0
21001A30-,Bizet - Roue- Ceria,123.0
21001A80-,Scherdemael,266.0
21001A81-,Moortebeek - Peterbos,111.0
21001A31-,Veeweyde - Aurore,27.0
21001A031,Veeweyde - Aurore,50.0
21001B22-,Cureghem Bara,35.0
21001B321,Cureghem Vétérinaire,96.0
21001B20-,Cureghem Bara,165.0
21001B23-,Cureghem Bara,32.0
21001A142,Veeweyde - Aurore,28.0
21001A051,Anderlecht - Centre - Wayez,66.0
21001A941,Buffon,119.0
21001A732,Buffon,9.0
21001A90-,Scheut,79.0
21001A132,Veeweyde - Aurore,31.0
21001B31-,Cureghem Vétérinaire,36.0
21001B25-,Cureghem Vétérinaire,194.0
21001B11-,Cureghem Rosée,47.0
21001A72-,Machtens,165.0
21001A011,Anderlecht - Centre - Wayez,134.0
21001B17-,Cureghem Rosée,56.0
21001A712,Scheut,49.0
21001A07-,Industrie Birmingham,0.0
21001B21-,Cureghem Bara,103.0
21001A911,Scheut,110.0
21001A931,Scheut,109.0
21001A74-,Scheut,128.0
21001A92-,Scheut,174.0
21001A00-,Anderlecht - Centre - Wayez,105.0
21001A95-,Buffon,151.0
21001B10-,Cureghem Rosée,129.0
21001B332,Cureghem Vétérinaire,45.0
21001B241,Cureghem Vétérinaire,102.0
21001A10-,Anderlecht - Centre - Wayez,41.0
21001A120,Anderlecht - Centre - Wayez,146.0
21001A152,Anderlecht - Centre - Wayez,53.0
21001A02-,Anderlecht - Centre - Wayez,55.0
21001A112,Veeweyde - Aurore,83.0
21002A20-,Chaussée de Wavre - Saint-Julien,30.0
21002A53-,Watermael Centre,54.0
21002A511,Chaussée de Wavre - Saint-Julien,103.0
21002A23-,Chaussée de Wavre - Saint-Julien,51.0
21002A22-,Chaussée de Wavre - Saint-Julien,36.0
21002A24-,Chaussée de Wavre - Saint-Julien,43.0
21002A25-,Chaussée de Wavre - Saint-Julien,50.0
21002A45-,Chaussée de Wavre - Saint-Julien,18.0
21002A441,Chant d'Oiseau,80.0
21002A130,Transvaal,50.0
21002A311,Chaussée de Wavre - Saint-Julien,34.0
21002A372,Chaussée de Wavre - Saint-Julien,24.0
21002A30-,Chaussée de Wavre - Saint-Julien,40.0
21002A21-,Chaussée de Wavre - Saint-Julien,113.0
21002A411,Putdael,0.0
21002A00-,Auderghem centre,25.0
21002A02-,Auderghem centre,23.0
21002A030,Trois Tilleuls,129.0
21002A11-,Transvaal,43.0
21002A10-,Transvaal,113.0
21002A14-,Transvaal,13.0
21002A12-,Transvaal,63.0
21002A43-,Auderghem centre,50.0
21002A041,Auderghem centre,13.0
21002A01-,Auderghem centre,21.0
21002A52-,Watermael Centre,27.0
21003A312,Potaarde,152.0
21003A323,Berchem Sainte-Agathe Centre,39.0
21003A342,Korenbeek,8.0
21003A331,Berchem Sainte-Agathe Centre,44.0
21003A04-,Potaarde,92.0
21003A0AJ,Berchem Sainte-Agathe Centre,48.0
21003A02-,Berchem Sainte-Agathe Centre,153.0
21003A03-,Korenbeek,16.0
