SectorStatID,Quartier,Places Mat ss,Places Prim ss
21001A041,Veeweyde - Aurore,0.0,139.0
21001A472,Bizet - Roue- Ceria,0.0,22.0
21001A83-,Moortebeek - Peterbos,0.0,505.0
21001A503,Scherdemael,0.0,250.0
21001A332,Bizet - Roue- Ceria,0.0,92.0
21001A43-,Veeweyde - Aurore,0.0,59.0
21001A401,Scherdemael,0.0,118.0
21001A32-,Veeweyde - Aurore,0.0,180.0
21001A53-,Scherdemael,0.0,61.0
21001A41-,Scherdemael,0.0,362.0
21001A85-,Scheut,0.0,70.0
21001A51-,Scherdemael,0.0,209.0
21001A42-,Scherdemael,0.0,86.0
21001A52-,Scherdemael,0.0,91.0
21001C70-,Bon Air,0.0,28.0
21001A552,Bizet - Roue- Ceria,0.0,184.0
21001A84-,Moortebeek - Peterbos,0.0,141.0
21001A34-,Bizet - Roue- Ceria,0.0,138.0
21001A350,Bizet - Roue- Ceria,0.0,91.0
21001A441,Bizet - Roue- Ceria,0.0,134.0
21001C512,Vogelenzang - Erasme,0.0,464.0
21001C71-,Bon Air,0.0,167.0
21001A82-,Moortebeek - Peterbos,0.0,225.0
21001C611,Neerpede,0.0,154.0
21001A451,Bizet - Roue- Ceria,0.0,83.0
21001A30-,Bizet - Roue- Ceria,0.0,193.0
21001A80-,Scherdemael,0.0,458.0
21001A81-,Moortebeek - Peterbos,0.0,200.0
21001A31-,Veeweyde - Aurore,0.0,46.0
21001A031,Veeweyde - Aurore,0.0,97.0
21001B22-,Cureghem Bara,0.0,68.0
21001B321,Cureghem Vétérinaire,0.0,156.0
21001B20-,Cureghem Bara,0.0,318.0
21001B23-,Cureghem Bara,0.0,66.0
21001A142,Veeweyde - Aurore,0.0,54.0
21001A051,Anderlecht - Centre - Wayez,0.0,137.0
21001A941,Buffon,0.0,135.0
21001A732,Buffon,0.0,15.0
21001A90-,Scheut,0.0,157.0
21001A132,Veeweyde - Aurore,0.0,59.0
21001B31-,Cureghem Vétérinaire,0.0,80.0
21001B25-,Cureghem Vétérinaire,0.0,312.0
21001B11-,Cureghem Rosée,0.0,68.0
21001A72-,Machtens,0.0,357.0
21001A011,Anderlecht - Centre - Wayez,0.0,285.0
21001B17-,Cureghem Rosée,0.0,81.0
21001A712,Scheut,0.0,97.0
21001A07-,Industrie Birmingham,0.0,0.0
21001B21-,Cureghem Bara,0.0,202.0
21001A911,Scheut,0.0,181.0
21001A931,Scheut,0.0,199.0
21001A74-,Scheut,0.0,255.0
21001A92-,Scheut,0.0,332.0
21001A00-,Anderlecht - Centre - Wayez,0.0,235.0
21001A95-,Buffon,0.0,184.0
21001B10-,Cureghem Rosée,0.0,200.0
21001B332,Cureghem Vétérinaire,0.0,96.0
21001B241,Cureghem Vétérinaire,0.0,162.0
21001A10-,Anderlecht - Centre - Wayez,0.0,99.0
21001A120,Anderlecht - Centre - Wayez,0.0,308.0
21001A152,Anderlecht - Centre - Wayez,0.0,123.0
21001A02-,Anderlecht - Centre - Wayez,0.0,115.0
21001A112,Veeweyde - Aurore,0.0,160.0
21002A20-,Chaussée de Wavre - Saint-Julien,0.0,65.0
21002A53-,Watermael Centre,0.0,76.0
21002A511,Chaussée de Wavre - Saint-Julien,0.0,182.0
21002A23-,Chaussée de Wavre - Saint-Julien,0.0,88.0
21002A22-,Chaussée de Wavre - Saint-Julien,0.0,48.0
21002A24-,Chaussée de Wavre - Saint-Julien,0.0,77.0
21002A25-,Chaussée de Wavre - Saint-Julien,0.0,96.0
21002A45-,Chaussée de Wavre - Saint-Julien,0.0,51.0
21002A441,Chant d'Oiseau,0.0,164.0
21002A130,Transvaal,0.0,221.0
21002A311,Chaussée de Wavre - Saint-Julien,0.0,65.0
21002A372,Chaussée de Wavre - Saint-Julien,0.0,38.0
21002A30-,Chaussée de Wavre - Saint-Julien,0.0,81.0
21002A21-,Chaussée de Wavre - Saint-Julien,0.0,158.0
21002A411,Putdael,0.0,0.0
21002A00-,Auderghem centre,0.0,56.0
21002A02-,Auderghem centre,0.0,45.0
21002A030,Trois Tilleuls,0.0,127.0
21002A11-,Transvaal,0.0,114.0
21002A10-,Transvaal,0.0,402.0
21002A14-,Transvaal,0.0,57.0
21002A12-,Transvaal,0.0,210.0
21002A43-,Auderghem centre,0.0,108.0
21002A041,Auderghem centre,0.0,30.0
21002A01-,Auderghem centre,0.0,45.0
21002A52-,Watermael Centre,0.0,48.0
21003A312,Potaarde,0.0,239.0
21003A323,Berchem Sainte-Agathe Centre,0.0,35.0
21003A342,Korenbeek,0.0,20.0
21003A331,Berchem Sainte-Agathe Centre,0.0,35.0
21003A04-,Potaarde,0.0,147.0
21003A0AJ,Berchem Sainte-Agathe Centre,0.0,61.0
21003A02-,Berchem Sainte-Agathe Centre,0.0,139.0
21003A03-,Korenbeek,0.0,39.0
21003A011,Berchem Sainte-Agathe Centre,0.0,82.0
21003A212,Berchem Sainte-Agathe Centre,0.0,35.0
21003A00-,Berchem Sainte-Agathe Centre,0.0,143.0
21003A283,Berchem Sainte-Agathe Centre,0.0,8.0
21003A11-,Berchem Sainte-Agathe Centre,0.0,57.0
21003A05-,Berchem Sainte-Agathe Centre,0.0,77.0
21003A41-,Berchem Sainte-Agathe Centre,0.0,35.0
21003A2MJ,Berchem Sainte-Agathe Centre,0.0,18.0
21003A10-,Hôpital Français,0.0,211.0
21004B421,Squares,0.0,530.0
21004B411,Squares,0.0,174.0
21004F511,Mutsaard,0.0,374.0
21004C62-,Boondael,0.0,54.0
21004C65-,Fort Jaco,0.0,162.0
21004G310,Haren,0.0,73.0
21004F94-,Heembeek,0.0,98.0
21004F901,Heembeek,0.0,216.0
21004G30-,Haren,0.0,241.0
21004F930,Heembeek,0.0,269.0
21004G321,Haren,0.0,81.0
21004B2WJ,Quartier Européen,0.0,0.0
21004B45-,Porte Tervueren,0.0,348.0
21004A25-,Béguinage - Dixmude,0.0,66.0
21004B2MJ,Quartier Européen,0.0,0.0
21004B44-,Squares,0.0,334.0
21004B43-,Squares,0.0,871.0
21004A24-,Dansaert,0.0,218.0
21004A35-,Martyrs,0.0,307.0
21004A83-,Béguinage - Dixmude,0.0,85.0
21004F531,Heembeek,0.0,297.0
21004G3MJ,Haren,0.0,46.0
21004F91-,Heembeek,0.0,272.0
21004F922,Heembeek,0.0,314.0
21004G3NJ,Industrie OTAN,0.0,0.0
21004C642,Boondael,0.0,35.0
21004C61-,Boondael,0.0,62.0
21004C54-,Etangs d'Ixelles,0.0,82.0
21004C63-,Dries,0.0,28.0
21004B13-,Quartier Européen,0.0,0.0
21004F953,Heembeek,0.0,112.0
21004F9MJ,Industrie Nord,0.0,0.0
21004A02-,Stalingrad,0.0,130.0
21004A70-,Marolles,0.0,511.0
21004A03-,Stalingrad,0.0,162.0
21004A23-,Dansaert,0.0,212.0
21004A01-,Grand Place,0.0,0.0
21004A22-,Anneessens,0.0,348.0
21004B10-,Quartier Européen,0.0,0.0
21004A72-,Marolles,0.0,174.0
21004A71-,Marolles,0.0,134.0
21004A002,Grand Place,0.0,0.0
21004A34-,Grand Place,0.0,0.0
21004A15-,Marolles,0.0,32.0
21004A04-,Marolles,0.0,130.0
21004A16-,Marolles,0.0,197.0
21004A20-,Dansaert,0.0,150.0
21004A14-,Sablon,0.0,638.0
21004A001,Grand Place,0.0,0.0
21004A32-,Martyrs,0.0,296.0
21004C52-,Châtelain,0.0,58.0
21004C552,Etangs d'Ixelles,0.0,89.0
21004C51-,Louise - Longue Haie,0.0,117.0
21004A33-,Notre-Dame-aux-Neiges,0.0,148.0
21004C53-,Brugmann - Lepoutre,0.0,11.0
21004C501,Châtelain,0.0,23.0
21004A21-,Anneessens,0.0,748.0
21004A13-,Sablon,0.0,228.0
21004E70-,Vieux Laeken Est,0.0,631.0
21004E74-,Vieux Laeken Ouest,0.0,606.0
21004E201,Mutsaard,0.0,1003.0
21004E83-,Heysel,0.0,363.0
21004E130,Houba,0.0,333.0
21004E73-,Vieux Laeken Est,0.0,399.0
21004E72-,Vieux Laeken Est,0.0,673.0
21004D64-,Quartier Nord,0.0,66.0
21004E112,Vieux Laeken Est,0.0,54.0
21004D62-,Quartier Nord,0.0,248.0
21004E211,Mutsaard,0.0,201.0
21004D631,Quartier Maritime,0.0,8.0
21004E12-,Houba,0.0,438.0
21004D6NJ,Quartier Maritime,0.0,12.0
21004A822,Béguinage - Dixmude,0.0,20.0
21004E800,Heysel,0.0,119.0
21004E233,Mutsaard,0.0,120.0
21004E101,Vieux Laeken Est,0.0,229.0
21004A811,Béguinage - Dixmude,0.0,140.0
21004D672,Quartier Nord,0.0,66.0
21004E14-,Houba,0.0,199.0
21004F522,Mutsaard,0.0,381.0
21004E82-,Heysel,0.0,452.0
21004E222,Mutsaard,0.0,390.0
