SectorStatID,Closest_Peri
0,21019A43-
1,21019A43-
2,21019A43-
3,21002A190
4,21002A190
5,21019A43-
6,21019A43-
7,21002A190
8,21019A43-
9,21019A43-
10,21019A43-
11,21019A43-
12,21002A190
13,21019A43-
14,21019A43-
15,21002A190
16,21004G3MJ
17,21019A43-
18,21019A43-
19,21004F970
20,21004F970
21,21004F970
22,21004F970
23,21002A190
24,21002A190
25,21002A190
26,21002A190
27,21004G3MJ
28,21019A43-
29,21004G3MJ
30,21004G3MJ
31,21019A10-
32,21002A190
33,21002A190
34,21002A190
35,21019A43-
36,21019A43-
37,21019A43-
38,21019A43-
39,21019A43-
40,21019A43-
41,21019A43-
42,21019A43-
43,21019A43-
44,21019A43-
45,21019A43-
46,21019A43-
47,21019A43-
48,21019A43-
49,21019A43-
50,21019A43-
51,21019A43-
52,21019A43-
53,21019A43-
54,21019A43-
55,21019A43-
56,21019A43-
57,21019A43-
58,21019A43-
59,21019A43-
60,21019A43-
61,21019A43-
62,21019A43-
63,21019A43-
64,21019A43-
65,21019A43-
66,21002A190
67,21004F970
68,21019A43-
69,21019A43-
70,21004F970
71,21019A43-
72,21019A10-
73,21002A190
74,21019A43-
75,21019A10-
76,21002A190
77,21019A43-
78,21002A190
79,21010A4MJ
80,21010A4MJ
81,21010A4MJ
82,21010A4MJ
83,21010A4MJ
84,21010A4MJ
85,21001C6PB
86,21010A4MJ
87,21010A4MJ
88,21010A4MJ
89,21004E800
90,21004E800
91,21010A4MJ
92,21003A0AJ
93,21010A493
94,21004E800
95,21010A4MJ
96,21010A4MJ
97,21010A4MJ
98,21010A4MJ
99,21010A4MJ
100,21004E800
101,21010A4MJ
102,21004E800
103,21004E82-
104,21001C6PB
105,21001C6PB
106,21001C6PB
107,21001C6PB
108,21010A4MJ
109,21001C6PB
110,21001C6PB
111,21004E800
112,21010A4MJ
113,21010A4MJ
114,21010A4MJ
115,21017A09-
116,21017A09-
117,21017A09-
118,21019A43-
119,21019A43-
120,21017A09-
121,21017A09-
122,21017A09-
123,21017A09-
124,21017A09-
125,21017A09-
126,21017A09-
127,21019A43-
128,21019A43-
129,21019A43-
130,21019A43-
131,21019A43-
132,21017A09-
133,21017A09-
134,21017A09-
135,21017A09-
136,21019A43-
137,21019A43-
138,21019A43-
139,21017A09-
140,21002A190
141,21004G3MJ
142,21019A43-
143,21004F970
144,21004G3MJ
145,21001C5PA
146,21017A09-
147,21017A09-
148,21019A43-
149,21017A09-
150,21017A09-
151,21017A09-
152,21017A09-
153,21017A09-
154,21017A09-
155,21001C5PA
156,21017A09-
157,21017A09-
158,21017A09-
159,21004G3MJ
160,21019A43-
161,21019A43-
162,21017A09-
163,21017A09-
164,21017A09-
165,21002A190
166,21002A190
167,21001C522
168,21001C522
169,21001C522
170,21001C522
171,21001C522
172,21001C522
173,21016A533
174,21001C522
175,21001C522
176,21001C522
177,21001C522
178,21001C522
179,21004F9MJ
180,21004F970
181,21004F970
182,21004F970
183,21004F970
184,21004F970
185,21004F970
186,21004F970
187,21004E800
188,21004F9MJ
189,21004F970
190,21004F970
191,21017A09-
192,21017A09-
193,21017A09-
194,21017A09-
195,21016A521
196,21017A09-
197,21016A521
198,21017A09-
199,21002A190
200,21017A09-
201,21017A09-
202,21017A09-
203,21017A09-
204,21016A533
205,21017A09-
206,21016A533
207,21016A533
208,21016A533
209,21017A09-
210,21016A521
211,21017A09-
212,21017A09-
213,21017A09-
214,21017A09-
215,21017A09-
216,21017A09-
217,21017A09-
218,21017A09-
219,21002A190
220,21017A09-
221,21016A521
222,21016A533
223,21016A521
224,21016A521
225,21016A521
226,21016A521
227,21016A521
228,21016A521
229,21016A521
230,21016A521
231,21016A521
232,21016A521
233,21016A521
234,21001C5PA
235,21001C5PA
236,21016A533
237,21016A692
238,21001C5PA
239,21016A533
240,21001C522
241,21001C522
242,21001C522
243,21001C522
244,21004E800
245,21001C522
246,21001C522
247,21001C6PB
248,21001C6PB
249,21004E800
250,21001C6PB
251,21001C522
252,21001C6PB
253,21001C522
254,21001C522
255,21001C522
256,21001C522
257,21004E800
258,21001C5PA
259,21001C6PB
260,21001C5PA
261,21001C5PA
262,21001C5PA
263,21001C5PA
264,21001C5PA
265,21016A533
266,21016A692
267,21001C5PA
268,21016A533
269,21016A533
270,21016A533
271,21016A533
272,21016A533
273,21016A533
274,21001C522
275,21001C522
276,21001C522
277,21001C522
278,21001C522
279,21001C522
280,21001C522
281,21001C522
282,21016A533
283,21016A533
284,21001C522
285,21001C522
286,21001C522
287,21001C522
288,21001C522
289,21016A521
290,21004F970
291,21004F970
292,21004F970
293,21004F970
294,21004F970
295,21004F970
296,21004F970
297,21004F970
298,21004F970
299,21004F970
300,21004F970
301,21004F970
302,21004F970
303,21004F970
304,21004F970
305,21004F970
306,21004F970
307,21004F970
308,21004F970
309,21004F970
310,21004F970
311,21004F970
312,21004F970
313,21004F970
314,21004F970
315,21004F970
316,21004F970
317,21004F970
318,21004F970
319,21004F970
320,21004F970
321,21004F970
322,21004F970
323,21004G3MJ
324,21004F9MJ
325,21004F970
326,21004F970
327,21004F970
328,21004F970
329,21017A09-
330,21017A09-
331,21017A09-
332,21017A09-
333,21017A09-
334,21017A09-
335,21017A09-
336,21017A09-
337,21017A09-
338,21017A09-
339,21017A09-
340,21017A09-
341,21017A09-
342,21017A09-
343,21017A09-
344,21017A09-
345,21017A09-
346,21017A09-
347,21017A09-
348,21004F970
349,21004F9MJ
350,21004F970
351,21004F970
352,21004F9MJ
353,21004F9MJ
354,21004F970
355,21001C5PA
356,21004F970
357,21004F970
358,21004E800
359,21004F970
360,21004E800
361,21004F9MJ
362,21004E800
363,21004F970
364,21004E82-
365,21001C5PA
366,21004F9MJ
367,21004F9MJ
368,21004F9MJ
369,21004E82-
370,21004F970
371,21004F970
372,21004F970
373,21004F9MJ
374,21004F9MJ
375,21004F970
376,21004F9MJ
377,21004F9MJ
378,21004F9MJ
379,21004F9MJ
380,21004G3MJ
381,21004F9MJ
382,21001C522
383,21004F970
384,21004F970
385,21004F970
386,21004F970
387,21004F970
388,21004F9MJ
389,21004F9MJ
390,21004F9MJ
391,21004E800
392,21004F9MJ
393,21004F9MJ
394,21004F9MJ
395,21004F970
396,21004E800
397,21004F9MJ
398,21017A09-
399,21017A09-
400,21017A09-
401,21017A09-
402,21017A09-
403,21017A09-
404,21017A09-
405,21017A09-
406,21017A09-
407,21017A09-
408,21017A09-
409,21017A09-
410,21017A09-
411,21017A09-
412,21017A09-
413,21017A09-
414,21017A09-
415,21017A09-
416,21017A09-
417,21017A09-
418,21017A09-
419,21017A09-
420,21017A09-
421,21017A09-
422,21017A09-
423,21017A09-
424,21017A09-
425,21017A09-
426,21017A09-
427,21017A09-
428,21017A09-
429,21017A09-
430,21017A09-
