Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;5.045 ;14 ;21 ;274 ;22 ;2 ;106 ;9 ;30 ;20 ;27 ;336 ;103 ;8 ;25 ;80 ;11 ;19 ;14 
Auderghem;5 ;896 ;0 ;3 ;75 ;1 ;1 ;0 ;30 ;1 ;2 ;0 ;0 ;0 ;2 ;5 ;128 ;22 ;142 
Berchem Sainte-Agathe;41 ;3 ;838 ;48 ;7 ;1 ;6 ;84 ;2 ;32 ;95 ;68 ;5 ;0 ;3 ;12 ;1 ;6 ;2 
Bruxelles;109 ;23 ;10 ;6.104 ;120 ;77 ;31 ;57 ;190 ;428 ;37 ;143 ;106 ;64 ;293 ;91 ;38 ;107 ;59 
Etterbeek;2 ;73 ;0 ;21 ;1.115 ;3 ;5 ;1 ;92 ;0 ;0 ;0 ;3 ;4 ;24 ;17 ;9 ;103 ;58 
Evere;2 ;5 ;1 ;102 ;15 ;1.225 ;1 ;2 ;11 ;4 ;0 ;3 ;0 ;8 ;338 ;7 ;3 ;213 ;47 
Forest;67 ;5 ;2 ;53 ;10 ;1 ;1.716 ;1 ;48 ;3 ;3 ;9 ;157 ;0 ;5 ;499 ;5 ;4 ;3 
Ganshoren;20 ;2 ;43 ;44 ;7 ;0 ;1 ;826 ;6 ;136 ;47 ;36 ;4 ;3 ;5 ;2 ;0 ;3 ;1 
Ixelles;8 ;42 ;0 ;108 ;158 ;2 ;47 ;4 ;1.752 ;3 ;4 ;5 ;37 ;8 ;4 ;184 ;120 ;24 ;18 
Jette;32 ;6 ;18 ;248 ;4 ;2 ;14 ;103 ;14 ;1.886 ;47 ;51 ;7 ;4 ;12 ;9 ;1 ;9 ;8 
Koekelberg;26 ;2 ;37 ;92 ;8 ;0 ;4 ;89 ;7 ;61 ;593 ;153 ;3 ;2 ;15 ;11 ;2 ;9 ;4 
Molenbeek Saint-Jean;355 ;14 ;129 ;505 ;34 ;2 ;35 ;96 ;29 ;198 ;290 ;3.688 ;40 ;15 ;49 ;43 ;10 ;43 ;25 
Saint-Gilles;48 ;6 ;3 ;83 ;11 ;1 ;173 ;3 ;134 ;1 ;2 ;8 ;1.254 ;1 ;9 ;113 ;9 ;2 ;0 
Saint-Josse-ten-Noode;14 ;8 ;1 ;322 ;25 ;5 ;8 ;33 ;7 ;2 ;2 ;3 ;8 ;585 ;119 ;5 ;0 ;22 ;6 
Schaerbeek;22 ;35 ;2 ;575 ;97 ;311 ;13 ;18 ;35 ;17 ;3 ;17 ;12 ;204 ;4.819 ;27 ;18 ;355 ;71 
Uccle;16 ;4 ;0 ;33 ;6 ;1 ;190 ;1 ;65 ;1 ;0 ;2 ;23 ;0 ;4 ;2.410 ;12 ;10 ;3 
Watermael-Boitsfort;1 ;80 ;0 ;8 ;13 ;0 ;2 ;1 ;65 ;0 ;0 ;0 ;0 ;0 ;2 ;20 ;631 ;8 ;7 
Woluwe Saint-Lambert;0 ;10 ;0 ;9 ;70 ;12 ;1 ;1 ;12 ;2 ;0 ;0 ;1 ;0 ;67 ;5 ;7 ;1.634 ;169 
Woluwe Saint-Pierre;0 ;48 ;0 ;11 ;108 ;1 ;0 ;0 ;8 ;0 ;1 ;1 ;2 ;2 ;7 ;3 ;11 ;243 ;1.023 
