Code;Territoire;Part des enfants du quartier scolarisés en maternel à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_mat_lim
1;Grand Place;46,15;78;36
2;Dansaert;73,58;332;244,3018868
3;Béguinage - Dixmude;62,20;253;157,3779528
4;Martyrs;60,27;76;45,80821918
5;Notre-Dame-aux-Neiges;53,41;83;44,32954545
6;Quartier Royal;44,44;0;0
7;Sablon;62,50;71;44,375
8;Marolles;79,03;490;387,2580645
9;Stalingrad;73,76;131;96,62411348
10;Anneessens;61,50;500;307,4766355
11;Cureghem Bara;52,81;673;355,394385
12;Cureghem Vétérinaire;67,18;531;356,7512953
13;Cureghem Rosée;69,33;341;236,398773
14;Duchesse;69,10;327;225,9606742
15;Gare de l'ouest;71,71;562;403,0131579
16;Molenbeek Historique;67,87;909;616,9555785
17;Koekelberg;63,10;518;326,8663102
18;Quartier Maritime;65,54;1032;676,3907638
19;Vieux Laeken Ouest;72,83;473;344,507874
20;Vieux Laeken Est;66,19;1056;698,9488789
21;Quartier Nord;72,04;821;591,4532131
22;Quartier Brabant;62,15;1016;631,4539814
23;Colignon;74,93;997;747,0261375
24;Chaussée de Haecht;68,39;886;605,9034029
25;Saint-Josse Centre;76,59;872;667,8528428
26;Dailly;60,00;813;487,8
27;Josaphat;46,01;337;155,0613497
28;Plasky;72,04;403;290,3333333
29;Squares;75,47;521;393,2075472
30;Porte Tervueren;74,82;334;249,9078014
31;Saint-Michel;74,43;229;170,4488636
32;Saint-Pierre;73,05;501;365,9936842
33;Chasse;67,06;678;454,6471449
34;Jourdan;64,84;325;210,7142857
35;Quartier Européen;50,00;63;31,5
36;Matonge;62,10;101;62,72146119
37;Flagey - Malibran;77,16;322;248,4428904
38;Hôpital Etterbeek-Ixelles;71,27;156;111,1854545
39;Etangs d'Ixelles;71,36;187;133,4417476
40;Louise - Longue Haie;54,97;94;51,66887417
41;Berckmans - Hôtel des Monnaies;77,96;235;183,2040816
42;Châtelain;68,90;283;194,9856459
43;Brugmann - Lepoutre;56,23;463;260,3667482
44;Churchill;64,16;359;230,3410405
45;Molière - Longchamp;65,53;150;98,28850856
46;Altitude 100;69,23;316;218,7692308
47;Haut Saint-Gilles;73,24;537;393,2957746
48;Porte de Hal;74,10;557;412,7278689
49;Bosnie;62,43;325;202,8901734
50;Bas Forest;58,47;376;219,8469945
51;Van Volxem - Van Haelen;66,89;504;337,1467577
52;Veeweyde - Aurore;63,96;754;482,2402827
53;Bizet - Roue- Ceria;76,09;658;500,6722925
54;Vogelenzang - Erasme;56,10;49;27,48780488
55;Neerpede;57,58;36;20,72727273
56;Bon Air;64,56;56;36,15189873
57;Scherdemael;78,13;393;307,0670554
58;Anderlecht - Centre - Wayez;69,19;759;525,1805054
59;Scheut;64,16;740;474,7532468
60;Buffon;65,96;293;193,2740964
61;Moortebeek - Peterbos;73,31;440;322,5498008
62;Machtens;69,21;1191;824,2672095
63;Karreveld;65,28;789;515,0684597
64;Hôpital Français;57,39;620;355,8106169
65;Korenbeek;71,91;418;300,6042553
66;Potaarde;59,44;143;85,00555556
67;Berchem Sainte-Agathe Centre;72,76;738;536,9677419
68;Villas de Ganshoren;66,90;0;0
69;Ganshoren Centre;74,26;0;0
70;Basilique;64,26;488;313,6117647
