SectorStatID,Quartier,Places Mat ss,SectorStatID2
21003A312,Potaarde,84.0,21003A312
21003A04-,Potaarde,22.0,21003A04-
21003A02-,Berchem Sainte-Agathe Centre,50.0,21003A02-
21003A00-,Berchem Sainte-Agathe Centre,46.0,21003A00-
21011A01-,Koekelberg,118.0,21011A01-
21011A02-,Koekelberg,4.0,21011A02-
21013A101,Porte de Hal,0.0,21013A101
21016A901,Globe,0.0,21016A901
21016A81-,Churchill,2.0,21016A81-
21016A82-,Churchill,44.0,21016A82-
21016A232,Montjoie - Langeveld,54.0,21016A232
21016A831,Montjoie - Langeveld,163.0,21016A831
21016A042,Montjoie - Langeveld,0.0,21016A042
21016A03-,Globe,39.0,21016A03-
21016A02-,Globe,87.0,21016A02-
21016A933,Vossegat - Roosendaal,24.0,21016A933
21016A701,Kalevoet - Moensberg,71.0,21016A701
21016A71-,Kalevoet - Moensberg,15.0,21016A71-
21016A80-,Churchill,0.0,21016A80-
21016A64-,Kalevoet - Moensberg,57.0,21016A64-
21016A05-,Molière - Longchamp,5.0,21016A05-
21016A943,Altitude 100,13.0,21016A943
21016A601,Kalevoet - Moensberg,0.0,21016A601
21016A620,Kriekenput - Homborch - Verrewinkel,14.0,21016A620
21016A01-,Dieweg,57.0,21016A01-
21016A00-,Globe,83.0,21016A00-
21016A102,Observatoire,41.0,21016A102
21016A12-,Observatoire,39.0,21016A12-
21016A44-,Dieweg,16.0,21016A44-
21016A322,Fort Jaco,40.0,21016A322
21016A400,Saint-Job Kauwberg,90.0,21016A400
21016A429,Saint-Job Kauwberg,15.0,21016A429
21016A639,Kriekenput - Homborch - Verrewinkel,166.0,21016A639
21016A610,Kriekenput - Homborch - Verrewinkel,0.0,21016A610
21016A342,Vivier d'Oie,378.0,21016A342
21016A311,Fort Jaco,96.0,21016A311
21017A11-,Trois Tilleuls,59.0,21017A11-
21017A230,Boitsfort Centre,7.0,21017A230
21017A41-,Boondael,20.0,21017A41-
21017A01-,Boitsfort Centre,18.0,21017A01-
21017A12-,Trois Tilleuls,69.0,21017A12-
21017A000,Boitsfort Centre,0.0,21017A000
21017A041,Boitsfort Centre,0.0,21017A041
21018A20-,Georges Henri,58.0,21018A20-
21018A72-,Porte Tervueren,124.0,21018A72-
21018A21-,Georges Henri,18.0,21018A21-
21018A311,Val d'Or,0.0,21018A311
21018A62-,Georges Henri,53.0,21018A62-
21018A12-,Stockel,42.0,21018A12-
21018A83-,Kapelleveld,7.0,21018A83-
21018A3MJ,Val d'Or,59.0,21018A3MJ
21019A231,Boulevard de la Woluwe,4.0,21019A231
21019A242,Saint-Paul,0.0,21019A242
21019A131,Stockel,168.0,21019A131
21019A51-,Saint-Michel,127.0,21019A51-
21019A001,Boulevard de la Woluwe,38.0,21019A001
21019A34-,Chant d'Oiseau,17.0,21019A34-
21019A30-,Chant d'Oiseau,5.0,21019A30-
21019A33-,Chant d'Oiseau,45.0,21019A33-
21019A01-,Boulevard de la Woluwe,3.0,21019A01-
21019A11-,Stockel,50.0,21019A11-
21019A31-,Chant d'Oiseau,6.0,21019A31-
21019A32-,Chant d'Oiseau,139.0,21019A32-
21019A35-,Chant d'Oiseau,0.0,21019A35-
21019A20-,Saint-Paul,14.0,21019A20-
21019A14-,Stockel,143.0,21019A14-
21019A10-,Stockel,210.0,21019A10-
21019A21-,Saint-Paul,33.0,21019A21-
21019A15-,Kapelleveld,140.0,21019A15-
21019A42-,Saint-Paul,4.0,21019A42-
