,Quartier,Nb de filles inscrites en secondaires habitant le quartier
0,Veeweyde - Aurore,511
1,Scheut,506
2,Cureghem Bara,451
3,Anderlecht - Centre - Wayez,525
4,Transvaal,227
5,Chaussée de Wavre - Saint-Julien,495
6,Trois Tilleuls,263
7,Berchem Sainte-Agathe Centre,592
8,Vieux Laeken Est,713
9,Heembeek,559
10,Quartier Nord,574
11,Heysel,535
12,Marolles,417
13,Vieux Laeken Ouest,344
14,Haren,274
15,Porte Tervueren,236
16,Chasse,460
17,Paduwa,361
18,Avenue Léopold III,258
19,Van Volxem - Van Haelen,358
20,Boondael,267
21,Brugmann - Lepoutre,312
22,Matonge,66
23,Flagey - Malibran,215
24,Université,121
25,Heymbosch - AZ-Jette,300
26,Jette Centre,367
27,Woeste,733
28,Basilique,335
29,Molenbeek Historique,770
30,Cureghem Rosée,237
31,Karreveld,622
32,Duchesse,231
33,Machtens,766
34,Bosnie,227
35,Chaussée de Haecht,686
36,Quartier Brabant,714
37,Colignon,689
38,Gare de Schaerbeek,285
39,Dailly,599
40,Saint-Job Kauwberg,197
41,Churchill,306
42,Montjoie - Langeveld,172
43,Fort Jaco,109
44,Watermael Centre,271
45,Dries,198
46,Boulevard de la Woluwe,198
47,Georges Henri,468
48,Gribaumont,267
49,Saint-Paul,262
50,Stockel,279
51,Bizet - Roue- Ceria,571
52,Chant d'Oiseau,346
53,Auderghem centre,146
54,Potaarde,122
55,Houba,698
56,Béguinage - Dixmude,174
57,Stalingrad,82
58,Squares,322
59,Mutsaard,464
60,Jourdan,228
61,Paix,447
62,Vossegat - Roosendaal,237
63,Louise - Longue Haie,54
64,Hôpital Français,385
65,Moortebeek - Peterbos,343
66,Quartier Maritime,711
67,Gare de l'ouest,420
68,Porte de Hal,438
69,Saint-Josse Centre,630
70,Terdelt,345
71,Plasky,278
72,Helmet,488
73,Kalevoet - Moensberg,391
74,Molière - Longchamp,110
75,Observatoire,214
76,Kriekenput - Homborch - Verrewinkel,178
77,Boitsfort Centre,185
78,Kapelleveld,189
79,Sainte-Alix - Joli Bois,167
80,Scherdemael,309
81,Bon Air,78
82,Vogelenzang - Erasme,49
83,Neerpede,31
84,Cureghem Vétérinaire,406
85,Buffon,208
86,Industrie Birmingham,13
87,Putdael,33
88,Korenbeek,301
89,Quartier Européen,23
90,Dansaert,231
91,Martyrs,58
92,Industrie OTAN,14
93,Etangs d'Ixelles,122
94,Industrie Nord,59
95,Grand Place,40
96,Anneessens,337
97,Sablon,47
98,Châtelain,152
99,Notre-Dame-aux-Neiges,44
100,Saint-Pierre,292
101,Saint-Michel,187
102,Conscience,287
103,Saint-Denis - Neerstalle,190
104,Altitude 100,226
105,Bas Forest,240
106,Parc Duden - Parc de Forest,14
107,Industrie Sud,42
108,Hôpital Etterbeek-Ixelles,113
109,Koekelberg,377
110,Haut Saint-Gilles,355
111,Berckmans - Hôtel des Monnaies,152
112,Reyers,109
113,Gare Josaphat,146
114,Josaphat,213
115,Globe,469
116,Dieweg,240
117,Vivier d'Oie,110
118,Val d'Or,270
119,Roodebeek - Constellations,388
