,SectorStatID,Nb de filles inscrites en secondaires habitant le ss
0,21001A43-,41
1,21001A90-,66
2,21001B23-,51
3,21001A02-,44
4,21001A92-,133
5,21002A10-,87
6,21002A30-,34
7,21002A030,65
8,21003A05-,60
9,21004E72-,234
10,21004F531,109
11,21004D62-,128
12,21004E800,49
13,21004A70-,200
14,21004D610,123
15,21004E101,76
16,21004E74-,344
17,21004G30-,157
18,21005A22-,23
19,21005A10-,98
20,21006A201,95
21,21006A323,43
22,21006A22-,43
23,21007A53-,82
24,21007A51-,32
25,21009A34-,15
26,21009A73-,57
27,21009A53-,66
28,21009A612,58
29,21009A22-,68
30,21010A121,35
31,21010A03-,113
32,21010A05-,205
33,21011A30-,82
34,21012A72-,131
35,21012A11-,55
36,21012A53-,20
37,21012A13-,68
38,21012A24-,114
39,21013A22-,112
40,21013A121,21
41,21014A04-,108
42,21015A421,62
43,21015A03-,218
44,21015A021,134
45,21015A40-,153
46,21015A152,140
47,21015A32-,94
48,21015A24-,92
49,21016A410,23
50,21016A82-,114
51,21016A81-,77
52,21016A831,91
53,21016A311,68
54,21017A512,37
55,21017A443,34
56,21017A212,50
57,21018A13-,27
58,21018A24-,66
59,21019A02-,5
60,21019A45-,31
61,21019A131,60
62,21001A332,56
63,21001A10-,38
64,21001A451,65
65,21001A72-,118
66,21001A32-,118
67,21002A441,40
68,21002A43-,43
69,21002A23-,45
70,21003A312,81
71,21003A212,29
72,21004A04-,37
73,21004F922,114
74,21004E14-,106
75,21004E12-,242
76,21004A811,86
77,21004A03-,48
78,21004B43-,160
79,21004E201,190
80,21005A00-,93
81,21005A12-,162
82,21005A042,105
83,21006A515,48
84,21006A474,23
85,21007A201,74
86,21007A242,20
87,21009A03-,39
88,21009A01-,45
89,21009A21-,53
90,21010A00-,212
91,21010A1AJ,111
92,21010A02-,165
93,21010A04-,133
94,21011A12-,61
95,21012A41-,53
96,21012A60-,215
97,21012A10-,100
98,21012A152,249
99,21012A71-,153
100,21013A201,70
101,21013A422,94
102,21014A00-,103
103,21015A12-,88
104,21015A22-,169
105,21015A41-,118
106,21015A50-,137
107,21015A622,37
108,21015A20-,208
109,21016A701,79
110,21016A05-,110
111,21016A102,89
112,21016A521,18
113,21016A933,94
114,21017A000,37
115,21017A01-,47
116,21017A635,18
117,21018A15-,7
118,21018A83-,27
119,21018A20-,94
120,21018A21-,83
121,21018A031,38
122,21019A43-,18
123,21019A34-,44
124,21019A10-,71
125,21019A35-,52
126,21001A041,87
127,21001A472,17
128,21001A83-,150
129,21001A503,47
130,21001A401,23
131,21001A53-,10
132,21001A41-,79
133,21001A85-,23
134,21001A51-,32
135,21001A42-,16
136,21001A52-,16
137,21001C70-,15
138,21001A552,104
139,21001A84-,35
140,21001A34-,105
141,21001A350,46
142,21001A441,69
143,21001C512,49
144,21001C71-,63
145,21001A82-,60
146,21001C611,14
147,21001A30-,109
148,21001A80-,86
149,21001A81-,45
150,21001A31-,20
151,21001A031,61
152,21001B22-,45
153,21001B321,83
154,21001B20-,214
155,21001A142,47
156,21001A051,52
157,21001A941,85
158,21001A732,13
