,Quartier,Nb de garcons inscrits en secondaires habitant le quartier
0,Veeweyde - Aurore,567
1,Scheut,518
2,Cureghem Bara,467
3,Anderlecht - Centre - Wayez,523
4,Transvaal,260
5,Chaussée de Wavre - Saint-Julien,467
6,Trois Tilleuls,287
7,Berchem Sainte-Agathe Centre,593
8,Vieux Laeken Est,770
9,Heembeek,581
10,Quartier Nord,622
11,Heysel,538
12,Marolles,443
13,Vieux Laeken Ouest,350
14,Haren,284
15,Porte Tervueren,231
16,Chasse,501
17,Paduwa,377
18,Avenue Léopold III,289
19,Van Volxem - Van Haelen,358
20,Boondael,280
21,Brugmann - Lepoutre,311
22,Matonge,78
23,Flagey - Malibran,220
24,Université,143
25,Heymbosch - AZ-Jette,286
26,Jette Centre,356
27,Woeste,728
28,Basilique,338
29,Molenbeek Historique,789
30,Cureghem Rosée,231
31,Karreveld,636
32,Duchesse,243
33,Machtens,769
34,Bosnie,256
35,Chaussée de Haecht,686
36,Quartier Brabant,722
37,Colignon,694
38,Gare de Schaerbeek,303
39,Dailly,602
40,Saint-Job Kauwberg,208
41,Churchill,300
42,Montjoie - Langeveld,173
43,Fort Jaco,100
44,Watermael Centre,296
45,Dries,211
46,Boulevard de la Woluwe,223
47,Georges Henri,416
48,Gribaumont,286
49,Saint-Paul,265
50,Stockel,262
51,Bizet - Roue- Ceria,583
52,Chant d'Oiseau,344
53,Auderghem centre,156
54,Potaarde,127
55,Houba,676
56,Béguinage - Dixmude,160
57,Stalingrad,85
58,Squares,349
59,Mutsaard,454
60,Jourdan,255
61,Paix,455
62,Vossegat - Roosendaal,207
63,Louise - Longue Haie,53
64,Hôpital Français,423
65,Moortebeek - Peterbos,367
66,Quartier Maritime,717
67,Gare de l'ouest,411
68,Porte de Hal,459
69,Saint-Josse Centre,634
70,Terdelt,350
71,Plasky,275
72,Helmet,516
73,Kalevoet - Moensberg,350
74,Molière - Longchamp,110
75,Observatoire,214
76,Kriekenput - Homborch - Verrewinkel,192
77,Boitsfort Centre,198
78,Kapelleveld,184
79,Sainte-Alix - Joli Bois,157
80,Scherdemael,305
81,Bon Air,94
82,Vogelenzang - Erasme,44
83,Neerpede,33
84,Cureghem Vétérinaire,400
85,Buffon,221
86,Industrie Birmingham,12
87,Putdael,29
88,Korenbeek,356
89,Quartier Européen,30
90,Dansaert,258
91,Martyrs,43
92,Industrie OTAN,17
93,Etangs d'Ixelles,112
94,Industrie Nord,60
95,Grand Place,43
96,Anneessens,347
97,Sablon,46
98,Châtelain,158
99,Notre-Dame-aux-Neiges,39
100,Saint-Pierre,324
101,Saint-Michel,190
102,Conscience,270
103,Saint-Denis - Neerstalle,225
104,Altitude 100,206
105,Bas Forest,232
106,Parc Duden - Parc de Forest,16
107,Industrie Sud,41
108,Hôpital Etterbeek-Ixelles,107
109,Koekelberg,365
110,Haut Saint-Gilles,352
111,Berckmans - Hôtel des Monnaies,181
112,Reyers,111
113,Gare Josaphat,141
114,Josaphat,223
115,Globe,466
116,Dieweg,245
117,Vivier d'Oie,116
118,Val d'Or,294
119,Roodebeek - Constellations,405
