,SectorStatID,Nb de garcons inscrits en secondaires habitant le ss
0,21001A43-,41
1,21001A90-,68
2,21001B23-,60
3,21001A02-,45
4,21001A92-,140
5,21002A10-,106
6,21002A30-,40
7,21002A030,81
8,21003A05-,68
9,21004E72-,260
10,21004F531,99
11,21004D62-,149
12,21004E800,60
13,21004A70-,200
14,21004D610,129
15,21004E101,81
16,21004E74-,350
17,21004G30-,162
18,21005A22-,26
19,21005A10-,101
20,21006A201,98
21,21006A323,40
22,21006A22-,58
23,21007A53-,81
24,21007A51-,31
25,21009A34-,26
26,21009A73-,65
27,21009A53-,78
28,21009A612,65
29,21009A22-,77
30,21010A121,39
31,21010A03-,124
32,21010A05-,209
33,21011A30-,81
34,21012A72-,117
35,21012A11-,55
36,21012A53-,31
37,21012A13-,67
38,21012A24-,133
39,21013A22-,112
40,21013A121,31
41,21014A04-,106
42,21015A421,64
43,21015A03-,217
44,21015A021,148
45,21015A40-,142
46,21015A152,146
47,21015A32-,98
48,21015A24-,101
49,21016A410,30
50,21016A82-,112
51,21016A81-,85
52,21016A831,90
53,21016A311,61
54,21017A512,32
55,21017A443,38
56,21017A212,66
57,21018A13-,34
58,21018A24-,59
59,21019A02-,7
60,21019A45-,33
61,21019A131,58
62,21001A332,53
63,21001A10-,42
64,21001A451,58
65,21001A72-,124
66,21001A32-,137
67,21002A441,58
68,21002A43-,44
69,21002A23-,47
70,21003A312,84
71,21003A212,26
72,21004A04-,49
73,21004F922,127
74,21004E14-,96
75,21004E12-,247
76,21004A811,70
77,21004A03-,45
78,21004B43-,168
79,21004E201,186
80,21005A00-,98
81,21005A12-,176
82,21005A042,121
83,21006A515,49
84,21006A474,29
85,21007A201,59
86,21007A242,19
87,21009A03-,34
88,21009A01-,44
89,21009A21-,66
90,21010A00-,197
91,21010A1AJ,109
92,21010A02-,155
93,21010A04-,137
94,21011A12-,49
95,21012A41-,56
96,21012A60-,219
97,21012A10-,108
98,21012A152,236
99,21012A71-,172
100,21013A201,76
101,21013A422,113
102,21014A00-,113
103,21015A12-,81
104,21015A22-,157
105,21015A41-,125
106,21015A50-,132
107,21015A622,23
108,21015A20-,221
109,21016A701,82
110,21016A05-,110
111,21016A102,77
112,21016A521,17
113,21016A933,82
114,21017A000,40
115,21017A01-,45
116,21017A635,18
117,21018A15-,3
118,21018A83-,27
119,21018A20-,76
120,21018A21-,83
121,21018A031,42
122,21019A43-,16
123,21019A34-,30
124,21019A10-,50
125,21019A35-,50
126,21001A041,94
127,21001A472,23
128,21001A83-,145
129,21001A503,38
130,21001A401,12
131,21001A53-,18
132,21001A41-,71
133,21001A85-,21
134,21001A51-,39
135,21001A42-,18
136,21001A52-,21
137,21001C70-,10
138,21001A552,114
139,21001A84-,40
140,21001A34-,97
141,21001A350,56
142,21001A441,75
143,21001C512,44
144,21001C71-,84
145,21001A82-,69
146,21001C611,18
147,21001A30-,107
148,21001A80-,88
149,21001A81-,57
150,21001A31-,31
151,21001A031,71
152,21001B22-,42
153,21001B321,76
154,21001B20-,233
155,21001A142,44
156,21001A051,48
157,21001A941,71
158,21001A732,12
159,21001A132,32
160,21001B31-,47
161,21001B25-,156
162,21001B11-,30
163,21001A011,111
164,21001B17-,39
165,21001A712,36
166,21001A07-,12
167,21001B21-,129
168,21001A911,77
169,21001A931,66
170,21001A74-,110
171,21001A00-,116
172,21001A95-,138
173,21001B10-,107
174,21001B332,50
175,21001B241,71
176,21001A120,116
177,21001A152,45
178,21001A112,117
179,21002A20-,39
180,21002A53-,34
181,21002A511,70
182,21002A22-,20
183,21002A24-,45
184,21002A25-,48
185,21002A45-,25
186,21002A130,58
187,21002A311,22
188,21002A372,15
189,21002A21-,64
190,21002A411,18
191,21002A00-,32
192,21002A02-,26
193,21002A11-,26
194,21002A14-,15
195,21002A12-,55
196,21002A041,27
197,21002A01-,27
198,21002A52-,27
199,21003A323,25
200,21003A342,30
201,21003A331,28
202,21003A04-,43
203,21003A0AJ,57
204,21003A02-,110
205,21003A03-,72
206,21003A011,58
207,21003A00-,125
208,21003A283,5
209,21003A11-,55
210,21003A41-,19
211,21003A2MJ,17
212,21003A10-,117
213,21004B421,97
214,21004B411,28
215,21004F511,68
216,21004C62-,14
217,21004C65-,18
218,21004G310,48
219,21004F94-,36
220,21004F901,63
221,21004F930,115
222,21004G321,50
223,21004B2WJ,8
224,21004B45-,24
225,21004A25-,37
226,21004B2MJ,7
227,21004B44-,56
228,21004A24-,87
229,21004A35-,23
230,21004A83-,43
231,21004G3MJ,24
232,21004F91-,105
233,21004G3NJ,17
234,21004C642,10
235,21004C61-,22
236,21004C54-,33
237,21004C63-,33
238,21004B13-,8
239,21004F953,36
240,21004F9MJ,60
241,21004A02-,40
242,21004A23-,113
243,21004A01-,8
244,21004A22-,112
245,21004B10-,7
246,21004A72-,60
247,21004A71-,43
248,21004A002,9
249,21004A34-,19
250,21004A15-,11
251,21004A16-,80
252,21004A20-,58
253,21004A14-,37
254,21004A001,7
255,21004A32-,20
256,21004C52-,20
257,21004C552,39
258,21004C51-,19
259,21004A33-,39
260,21004C53-,9
261,21004C501,6
262,21004A21-,235
263,21004A13-,9
264,21004E70-,252
265,21004E83-,125
266,21004E130,179
267,21004E73-,152
268,21004D64-,40
269,21004E112,25
270,21004E211,33
271,21004D631,7
272,21004D6NJ,6
273,21004A822,10
274,21004E233,21
275,21004D672,35
276,21004F522,78
277,21004E82-,166
278,21004E222,68
279,21004E81-,42
280,21004D600,53
281,21005A02-,73
282,21005A33-,32
283,21005A14-,81
284,21005A13-,39
285,21005A082,9
286,21005A01-,76
287,21005A322,14
288,21005A311,50
289,21005A20-,36
290,21005A15-,62
291,21005A031,47
292,21005A051,94
293,21005A11-,72
294,21005A21-,12
295,21006A12-,35
296,21006A11-,33
297,21006A153,43
298,21006A13-,40
299,21006A02-,20
300,21006A03-,22
301,21006A094,6
302,21006A24-,29
303,21006A403,51
304,21006A21-,51
305,21006A23-,70
306,21006A312,14
307,21006A101,139
308,21006A001,116
309,21006A414,94
310,21006A171,15
311,21006A25-,49
312,21006A011,112
313,21006A142,48
314,21006A042,49
315,21006A052,81
316,21007A03-,58
317,21007A252,10
318,21007A21-,12
319,21007A75-,30
320,21007A111,25
321,21007A41-,13
322,21007A142,41
323,21007A50-,101
324,21007A552,10
325,21007A541,17
