,Quartier,Nb d'enfants inscrits en maternelles habitant le quartier
0,Veeweyde - Aurore,754
1,Bizet - Roue- Ceria,658
2,Moortebeek - Peterbos,440
3,Scherdemael,393
4,Scheut,740
5,Bon Air,56
6,Vogelenzang - Erasme,49
7,Neerpede,36
8,Cureghem Bara,673
9,Cureghem Vétérinaire,531
10,Anderlecht - Centre - Wayez,759
11,Buffon,293
12,Cureghem Rosée,341
13,Machtens,1191
14,Industrie Birmingham,23
15,Chaussée de Wavre - Saint-Julien,641
16,Watermael Centre,315
17,Chant d'Oiseau,404
18,Transvaal,232
19,Putdael,35
20,Auderghem centre,201
21,Trois Tilleuls,234
22,Potaarde,143
23,Berchem Sainte-Agathe Centre,738
24,Korenbeek,418
25,Hôpital Français,620
26,Squares,521
27,Mutsaard,603
28,Boondael,363
29,Fort Jaco,78
30,Haren,305
31,Heembeek,680
32,Quartier Européen,63
33,Porte Tervueren,334
34,Béguinage - Dixmude,253
35,Dansaert,332
36,Martyrs,76
37,Industrie OTAN,25
38,Etangs d'Ixelles,187
39,Dries,210
40,Industrie Nord,125
41,Stalingrad,131
42,Marolles,490
43,Grand Place,78
44,Anneessens,500
45,Sablon,71
46,Châtelain,283
47,Louise - Longue Haie,94
48,Notre-Dame-aux-Neiges,83
49,Brugmann - Lepoutre,463
50,Vieux Laeken Est,1056
51,Vieux Laeken Ouest,473
52,Heysel,709
53,Houba,896
54,Quartier Nord,821
55,Quartier Maritime,1032
56,Chasse,678
57,Saint-Pierre,501
58,Saint-Michel,229
59,Jourdan,325
60,Avenue Léopold III,370
61,Conscience,415
62,Paix,590
63,Paduwa,480
64,Saint-Denis - Neerstalle,248
65,Vossegat - Roosendaal,248
66,Altitude 100,316
67,Bas Forest,376
68,Van Volxem - Van Haelen,504
69,Parc Duden - Parc de Forest,16
70,Industrie Sud,78
71,Flagey - Malibran,322
72,Hôpital Etterbeek-Ixelles,156
73,Université,215
74,Matonge,101
75,Woeste,963
76,Jette Centre,448
77,Heymbosch - AZ-Jette,387
78,Basilique,488
79,Koekelberg,518
80,Karreveld,789
81,Gare de l'ouest,562
82,Molenbeek Historique,909
83,Duchesse,327
84,Porte de Hal,557
85,Bosnie,325
86,Haut Saint-Gilles,537
87,Berckmans - Hôtel des Monnaies,235
88,Saint-Josse Centre,872
89,Quartier Brabant,1016
90,Chaussée de Haecht,886
91,Plasky,403
92,Reyers,155
93,Gare Josaphat,214
94,Dailly,813
95,Josaphat,337
96,Terdelt,414
97,Colignon,997
98,Georges Henri,563
99,Gare de Schaerbeek,440
100,Helmet,691
101,Globe,553
102,Churchill,359
103,Montjoie - Langeveld,163
104,Observatoire,173
105,Kalevoet - Moensberg,442
106,Molière - Longchamp,150
107,Kriekenput - Homborch - Verrewinkel,136
108,Dieweg,231
109,Saint-Job Kauwberg,189
110,Vivier d'Oie,93
111,Boitsfort Centre,186
112,Val d'Or,402
113,Gribaumont,412
114,Roodebeek - Constellations,505
115,Kapelleveld,169
116,Boulevard de la Woluwe,254
117,Stockel,307
118,Saint-Paul,239
119,Sainte-Alix - Joli Bois,164
