,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
0,21001A041,132
1,21001A472,31
2,21001A83-,142
3,21001A503,67
4,21001A332,63
5,21001A43-,61
6,21001A401,34
7,21001A32-,182
8,21001A53-,15
9,21001A41-,87
10,21001A85-,42
11,21001A51-,44
12,21001A42-,17
13,21001A52-,18
14,21001C70-,10
15,21001A552,116
16,21001A84-,68
17,21001A34-,82
18,21001A350,53
19,21001A441,109
20,21001C512,49
21,21001C71-,46
22,21001A82-,71
23,21001C611,21
24,21001A451,63
25,21001A30-,141
26,21001A80-,111
27,21001A81-,77
28,21001A31-,47
29,21001A031,87
30,21001B22-,68
31,21001B321,108
32,21001B20-,323
33,21001B23-,63
34,21001A142,48
35,21001A051,83
36,21001A941,125
37,21001A732,9
38,21001A90-,85
39,21001A132,54
40,21001B31-,40
41,21001B25-,218
42,21001B11-,52
43,21001A72-,181
44,21001A011,169
45,21001B17-,61
46,21001A712,53
47,21001A07-,23
48,21001B21-,202
49,21001A911,118
50,21001A931,117
51,21001A74-,138
52,21001A92-,187
53,21001A00-,133
54,21001A95-,159
55,21001B10-,142
56,21001B332,50
57,21001B241,115
58,21001A10-,52
59,21001A120,185
60,21001A152,67
61,21001A02-,70
62,21001A112,143
63,21002A20-,32
64,21002A53-,48
65,21002A511,111
66,21002A23-,55
67,21002A22-,39
68,21002A24-,46
69,21002A25-,54
70,21002A45-,19
71,21002A441,49
72,21002A130,41
73,21002A311,37
74,21002A372,26
75,21002A30-,43
76,21002A21-,121
77,21002A411,22
78,21002A00-,38
79,21002A02-,35
80,21002A030,70
81,21002A11-,35
82,21002A10-,93
83,21002A14-,11
84,21002A12-,52
85,21002A43-,76
86,21002A041,20
87,21002A01-,32
88,21002A52-,24
89,21003A312,89
90,21003A323,39
91,21003A342,38
92,21003A331,44
93,21003A04-,54
94,21003A0AJ,48
95,21003A02-,153
96,21003A03-,75
97,21003A011,71
98,21003A212,35
99,21003A00-,156
100,21003A283,11
101,21003A11-,35
102,21003A05-,88
103,21003A41-,37
104,21003A2MJ,21
105,21003A10-,145
106,21004B421,143
107,21004B411,51
108,21004F511,91
109,21004C62-,21
110,21004C65-,13
111,21004G310,56
112,21004F94-,29
113,21004F901,102
114,21004G30-,165
115,21004F930,83
116,21004G321,59
117,21004B2WJ,12
118,21004B45-,50
119,21004A25-,54
120,21004B2MJ,28
121,21004B44-,105
122,21004B43-,222
123,21004A24-,133
124,21004A35-,45
125,21004A83-,62
126,21004F531,139
127,21004G3MJ,25
128,21004F91-,130
129,21004F922,136
130,21004G3NJ,25
131,21004C642,10
132,21004C61-,27
133,21004C54-,53
134,21004C63-,43
135,21004B13-,12
136,21004F953,61
137,21004F9MJ,125
138,21004A02-,60
139,21004A70-,201
140,21004A03-,71
141,21004A23-,116
142,21004A01-,29
143,21004A22-,163
144,21004B10-,11
145,21004A72-,80
146,21004A71-,60
147,21004A002,16
148,21004A34-,22
149,21004A15-,17
150,21004A04-,51
151,21004A16-,81
152,21004A20-,83
153,21004A14-,49
154,21004A001,11
155,21004A32-,31
156,21004C52-,43
157,21004C552,47
158,21004C51-,31
159,21004A33-,83
160,21004C53-,20
161,21004C501,13
162,21004A21-,337
163,21004A13-,22
164,21004E70-,329
165,21004E74-,473
166,21004E201,246
167,21004E83-,216
168,21004E130,253
169,21004E73-,237
170,21004E72-,344
171,21004D64-,58
172,21004E112,26
173,21004D62-,175
174,21004E211,51
175,21004D631,22
176,21004E12-,306
177,21004D6NJ,23
178,21004A822,26
179,21004E800,60
180,21004E233,27
181,21004E101,120
182,21004A811,111
183,21004D672,39
184,21004E14-,151
185,21004F522,87
186,21004E82-,196
187,21004E222,101
188,21004E81-,58
189,21004D600,51
190,21004D610,169
191,21005A10-,138
192,21005A042,164
193,21005A02-,98
194,21005A33-,58
195,21005A14-,98
196,21005A13-,56
197,21005A082,17
198,21005A01-,113
199,21005A322,11
200,21005A311,74
201,21005A20-,52
202,21005A15-,69
203,21005A031,51
204,21005A051,163
205,21005A11-,110
206,21005A00-,137
207,21005A12-,235
208,21005A22-,32
209,21005A21-,22
210,21006A12-,36
211,21006A11-,25
212,21006A153,52
213,21006A13-,71
214,21006A02-,30
215,21006A03-,42
216,21006A094,15
217,21006A515,51
218,21006A24-,26
219,21006A403,91
220,21006A474,47
221,21006A201,109
222,21006A21-,28
223,21006A23-,136
224,21006A312,19
225,21006A101,233
226,21006A001,146
227,21006A414,132
228,21006A171,28
229,21006A25-,43
230,21006A22-,95
231,21006A011,137
232,21006A142,59
233,21006A042,57
234,21006A052,112
235,21006A323,35
236,21007A03-,39
237,21007A252,9
238,21007A201,85
239,21007A21-,16
240,21007A242,19
241,21007A75-,38
242,21007A111,25
243,21007A41-,23
244,21007A142,56
245,21007A53-,122
246,21007A50-,137
247,21007A51-,40
248,21007A552,10
249,21007A541,25
250,21007A61-,280
251,21007A06-,34
252,21007A04-,18
253,21007A00-,157
254,21007A101,114
