,Quartier,Nb d'enfants inscrits en primaires habitant le quartier
0,Buffon,500
1,Cureghem Vétérinaire,971
2,Scheut,1277
3,Machtens,1980
4,Transvaal,564
5,Berchem Sainte-Agathe Centre,1417
6,Quartier Nord,1478
7,Vieux Laeken Est,1909
8,Grand Place,110
9,Houba,1673
10,Anneessens,891
11,Heysel,1332
12,Notre-Dame-aux-Neiges,119
13,Vieux Laeken Ouest,853
14,Chasse,1160
15,Paix,1081
16,Bas Forest,624
17,Saint-Denis - Neerstalle,480
18,Boondael,630
19,Châtelain,388
20,Université,301
21,Jourdan,566
22,Heymbosch - AZ-Jette,698
23,Basilique,840
24,Quartier Maritime,1822
25,Molenbeek Historique,1824
26,Karreveld,1553
27,Berckmans - Hôtel des Monnaies,383
28,Saint-Josse Centre,1507
29,Terdelt,817
30,Dailly,1407
31,Churchill,651
32,Montjoie - Langeveld,388
33,Saint-Job Kauwberg,435
34,Dieweg,569
35,Boitsfort Centre,415
36,Roodebeek - Constellations,964
37,Stockel,647
38,Georges Henri,1069
39,Chant d'Oiseau,889
40,Putdael,74
41,Saint-Paul,557
42,Scherdemael,721
43,Moortebeek - Peterbos,886
44,Chaussée de Wavre - Saint-Julien,1185
45,Saint-Pierre,723
46,Conscience,720
47,Van Volxem - Van Haelen,881
48,Dries,427
49,Flagey - Malibran,495
50,Hôpital Etterbeek-Ixelles,281
51,Etangs d'Ixelles,261
52,Jette Centre,894
53,Woeste,1799
54,Hôpital Français,982
55,Gare de l'ouest,1012
56,Haut Saint-Gilles,841
57,Porte de Hal,1033
58,Quartier Brabant,1779
59,Gare de Schaerbeek,736
60,Helmet,1206
61,Globe,1051
62,Observatoire,452
63,Kalevoet - Moensberg,896
64,Trois Tilleuls,581
65,Porte Tervueren,573
66,Val d'Or,752
67,Gribaumont,701
68,Veeweyde - Aurore,1301
69,Bizet - Roue- Ceria,1358
70,Bon Air,160
71,Vogelenzang - Erasme,98
72,Neerpede,71
73,Cureghem Bara,1127
74,Anderlecht - Centre - Wayez,1314
75,Cureghem Rosée,607
76,Industrie Birmingham,40
77,Watermael Centre,608
78,Auderghem centre,375
79,Potaarde,299
80,Korenbeek,778
81,Squares,789
82,Mutsaard,1073
83,Fort Jaco,213
84,Haren,640
85,Heembeek,1350
86,Quartier Européen,71
87,Béguinage - Dixmude,405
88,Dansaert,586
89,Martyrs,118
90,Industrie OTAN,46
91,Industrie Nord,202
92,Stalingrad,219
93,Marolles,1015
94,Sablon,114
95,Louise - Longue Haie,139
96,Brugmann - Lepoutre,711
97,Saint-Michel,427
98,Avenue Léopold III,707
99,Paduwa,864
100,Vossegat - Roosendaal,503
101,Altitude 100,524
102,Parc Duden - Parc de Forest,32
103,Industrie Sud,152
104,Matonge,158
105,Koekelberg,970
106,Duchesse,613
107,Bosnie,567
108,Chaussée de Haecht,1603
109,Plasky,617
110,Reyers,282
111,Gare Josaphat,378
112,Josaphat,533
113,Colignon,1743
114,Molière - Longchamp,261
115,Kriekenput - Homborch - Verrewinkel,369
116,Vivier d'Oie,232
117,Kapelleveld,407
118,Boulevard de la Woluwe,487
119,Sainte-Alix - Joli Bois,372
