,SectorStatID,Nb d'enfants inscrits en primaires habitant le ss
0,21001A95-,275
1,21001B241,195
2,21001A92-,328
3,21001A72-,319
4,21002A130,125
5,21003A2MJ,35
6,21004D62-,310
7,21004E72-,645
8,21004A34-,42
9,21004E14-,264
10,21004E73-,386
11,21004A21-,608
12,21004E82-,443
13,21004A33-,119
14,21004E74-,853
15,21005A042,281
16,21005A10-,226
17,21005A12-,403
18,21006A052,206
19,21007A61-,445
20,21007A06-,55
21,21009A33-,199
22,21009A451,115
23,21009A22-,178
24,21009A52-,253
25,21010A10-,178
26,21011A30-,218
27,21012A672,280
28,21012A72-,276
29,21012A63-,266
30,21012A24-,320
31,21012A53-,58
32,21013A02-,119
33,21014A00-,261
34,21015A831,260
35,21015A811,127
36,21015A30-,270
37,21015A53-,266
38,21016A82-,267
39,21016A831,200
40,21016A400,211
41,21016A01-,351
42,21017A000,83
43,21017A41-,103
44,21018A00-,105
45,21018A12-,100
46,21018A62-,240
47,21018A61-,151
48,21019A33-,133
49,21019A22-,34
50,21019A42-,88
51,21019A34-,110
52,21001A41-,159
53,21001A931,197
54,21001B25-,376
55,21001A84-,97
56,21002A12-,118
57,21002A45-,59
58,21003A41-,69
59,21004E130,445
60,21004E70-,607
61,21004E12-,583
62,21005A02-,165
63,21006A101,381
64,21006A042,121
65,21007A101,197
66,21007A50-,219
67,21009A83-,114
68,21009A01-,110
69,21009A63-,143
70,21009A121,59
71,21010A03-,298
72,21010A01-,526
73,21010A13-,317
74,21011A11-,169
75,21012A882,51
76,21012A152,602
77,21012A732,137
78,21013A01-,171
79,21013A242,149
80,21014A10-,229
81,21015A101,174
82,21015A231,139
83,21015A64-,293
84,21015A40-,363
85,21016A00-,303
86,21016A03-,201
87,21016A410,72
88,21016A12-,165
89,21016A72-,71
90,21017A12-,187
91,21018A72-,145
92,21018A33-,131
93,21018A3MJ,225
94,21019A10-,162
95,21019A052,53
96,21019A14-,107
97,21001A041,228
98,21001A472,32
99,21001A83-,348
100,21001A503,110
101,21001A332,133
102,21001A43-,95
103,21001A401,52
104,21001A32-,295
105,21001A53-,28
106,21001A85-,69
107,21001A51-,92
108,21001A42-,38
109,21001A52-,40
110,21001C70-,23
111,21001A552,268
112,21001A34-,200
113,21001A350,132
114,21001A441,194
115,21001C512,98
116,21001C71-,137
117,21001A82-,156
118,21001C611,38
119,21001A451,119
120,21001A30-,280
121,21001A80-,202
122,21001A81-,138
123,21001A31-,76
124,21001A031,159
125,21001B22-,116
126,21001B321,188
127,21001B20-,539
128,21001B23-,112
129,21001A142,88
130,21001A051,138
131,21001A941,202
