,Quartier,Nb d'enfants inscrits en secondaires habitant le quartier
0,Veeweyde - Aurore,1078
1,Scheut,1024
2,Cureghem Bara,918
3,Anderlecht - Centre - Wayez,1048
4,Transvaal,487
5,Chaussée de Wavre - Saint-Julien,962
6,Trois Tilleuls,550
7,Berchem Sainte-Agathe Centre,1185
8,Vieux Laeken Est,1483
9,Heembeek,1140
10,Quartier Nord,1196
11,Heysel,1073
12,Marolles,860
13,Vieux Laeken Ouest,694
14,Haren,558
15,Porte Tervueren,467
16,Chasse,961
17,Paduwa,738
18,Avenue Léopold III,547
19,Van Volxem - Van Haelen,716
20,Boondael,547
21,Brugmann - Lepoutre,623
22,Matonge,144
23,Flagey - Malibran,435
24,Université,264
25,Heymbosch - AZ-Jette,586
26,Jette Centre,723
27,Woeste,1461
28,Basilique,673
29,Molenbeek Historique,1559
30,Cureghem Rosée,468
31,Karreveld,1258
32,Duchesse,474
33,Machtens,1535
34,Bosnie,483
35,Chaussée de Haecht,1372
36,Quartier Brabant,1436
37,Colignon,1383
38,Gare de Schaerbeek,588
39,Dailly,1201
40,Saint-Job Kauwberg,405
41,Churchill,606
42,Montjoie - Langeveld,345
43,Fort Jaco,209
44,Watermael Centre,567
45,Dries,409
46,Boulevard de la Woluwe,421
47,Georges Henri,884
48,Gribaumont,553
49,Saint-Paul,527
50,Stockel,541
51,Bizet - Roue- Ceria,1154
52,Chant d'Oiseau,690
53,Auderghem centre,302
54,Potaarde,249
55,Houba,1374
56,Béguinage - Dixmude,334
57,Stalingrad,167
58,Squares,671
59,Mutsaard,918
60,Jourdan,483
61,Paix,902
62,Vossegat - Roosendaal,444
63,Louise - Longue Haie,107
64,Hôpital Français,808
65,Moortebeek - Peterbos,710
66,Quartier Maritime,1428
67,Gare de l'ouest,831
68,Porte de Hal,897
69,Saint-Josse Centre,1264
70,Terdelt,695
71,Plasky,553
72,Helmet,1004
73,Kalevoet - Moensberg,741
74,Molière - Longchamp,220
75,Observatoire,428
76,Kriekenput - Homborch - Verrewinkel,370
77,Boitsfort Centre,383
78,Kapelleveld,373
79,Sainte-Alix - Joli Bois,324
80,Scherdemael,614
81,Bon Air,172
82,Vogelenzang - Erasme,93
83,Neerpede,64
84,Cureghem Vétérinaire,806
85,Buffon,429
86,Industrie Birmingham,25
87,Putdael,62
88,Korenbeek,657
89,Quartier Européen,53
90,Dansaert,489
91,Martyrs,101
92,Industrie OTAN,31
93,Etangs d'Ixelles,234
94,Industrie Nord,119
95,Grand Place,83
96,Anneessens,684
97,Sablon,93
98,Châtelain,310
99,Notre-Dame-aux-Neiges,83
100,Saint-Pierre,616
101,Saint-Michel,377
102,Conscience,557
103,Saint-Denis - Neerstalle,415
104,Altitude 100,432
105,Bas Forest,472
106,Parc Duden - Parc de Forest,30
107,Industrie Sud,83
108,Hôpital Etterbeek-Ixelles,220
109,Koekelberg,742
110,Haut Saint-Gilles,707
111,Berckmans - Hôtel des Monnaies,333
112,Reyers,220
113,Gare Josaphat,287
114,Josaphat,436
115,Globe,935
116,Dieweg,485
117,Vivier d'Oie,226
118,Val d'Or,564
119,Roodebeek - Constellations,793
