Quartiers,Nb_out
Veeweyde - Aurore,16.8896
Bizet - Roue- Ceria,13.883799999999999
Moortebeek - Peterbos,19.272
Scherdemael,25.191300000000002
Scheut,28.86
Bon Air,4.2504
Vogelenzang - Erasme,2.989
Neerpede,4.9104
Cureghem Bara,17.0942
Cureghem Vétérinaire,4.5666
Anderlecht - Centre - Wayez,21.0243
Buffon,9.6983
Cureghem Rosée,2.0801
Machtens,41.446799999999996
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,0.9615
Watermael Centre,5.3865
Chant d'Oiseau,1.9391999999999998
Transvaal,4.9648
Putdael,1.0955000000000001
Auderghem centre,3.8390999999999997
Trois Tilleuls,1.8252000000000002
Potaarde,5.5627
Berchem Sainte-Agathe Centre,23.837400000000002
Korenbeek,10.658999999999999
Hôpital Français,13.329999999999998
Squares,13.1292
Mutsaard,51.255
Boondael,1.8513000000000002
Fort Jaco,0.0
Haren,16.744500000000002
Heembeek,21.624000000000002
Quartier Européen,2.6271
Porte Tervueren,3.5404
Béguinage - Dixmude,1.9987000000000001
Dansaert,3.1207999999999996
Martyrs,1.0412000000000001
Industrie OTAN,0.0
Etangs d'Ixelles,1.8139
Dries,0.966
Industrie Nord,0.0
Stalingrad,1.8601999999999999
Marolles,9.898
Grand Place,1.2012
Anneessens,3.75
Sablon,1.1076000000000001
Châtelain,6.7637
Louise - Longue Haie,0.0
Notre-Dame-aux-Neiges,0.0
Brugmann - Lepoutre,3.3799
Vieux Laeken Est,28.4064
Vieux Laeken Ouest,7.426100000000001
Heysel,31.9759
Houba,28.761599999999998
Quartier Nord,12.971800000000002
Quartier Maritime,19.2984
Chasse,4.9494
Saint-Pierre,7.3647
Saint-Michel,0.0
Jourdan,4.7775
Avenue Léopold III,7.473999999999999
Conscience,10.4165
Paix,15.930000000000001
Paduwa,11.328
Saint-Denis - Neerstalle,5.059200000000001
Vossegat - Roosendaal,0.7192
Altitude 100,2.2119999999999997
Bas Forest,4.0984
Van Volxem - Van Haelen,5.1408000000000005
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Flagey - Malibran,0.7406
Hôpital Etterbeek-Ixelles,2.8392
Université,0.7095
Matonge,2.3027999999999995
Woeste,8.474400000000001
Jette Centre,9.856000000000002
Heymbosch - AZ-Jette,11.222999999999999
Basilique,12.932
Koekelberg,12.950000000000001
Karreveld,18.3048
Gare de l'ouest,9.2168
Molenbeek Historique,9.3627
Duchesse,2.7468
Porte de Hal,4.567399999999999
Bosnie,2.8274999999999997
Haut Saint-Gilles,6.4977
Berckmans - Hôtel des Monnaies,0.9634999999999999
Saint-Josse Centre,6.8016000000000005
Quartier Brabant,32.6136
Chaussée de Haecht,22.3272
Plasky,6.4883
Reyers,2.7744999999999997
Gare Josaphat,4.686599999999999
Dailly,9.0243
Josaphat,1.0447
Terdelt,4.761
Colignon,20.239099999999997
Georges Henri,6.2493
Gare de Schaerbeek,16.412
Helmet,15.340200000000001
Globe,4.1475
Churchill,3.1233
Montjoie - Langeveld,0.9617
Observatoire,0.0
Kalevoet - Moensberg,15.6468
Molière - Longchamp,0.0
Kriekenput - Homborch - Verrewinkel,10.3904
Dieweg,4.0425
Saint-Job Kauwberg,4.914000000000001
Vivier d'Oie,1.1904000000000001
Boitsfort Centre,2.511
Val d'Or,1.9295999999999998
Gribaumont,7.210000000000001
Roodebeek - Constellations,0.0
Kapelleveld,3.3124
Boulevard de la Woluwe,1.7526
Stockel,7.3987
Saint-Paul,4.325900000000001
Sainte-Alix - Joli Bois,1.9187999999999998
