Quartiers,Capacité d’accueil scolaire du quartier (nb d'élèves)
Buffon,335.0
Cureghem Vétérinaire,805.93
Scheut,1289.77
Machtens,2217.6000000000004
Transvaal,1003.92
Berchem Sainte-Agathe Centre,722.67
Quartier Nord,1182.4
Vieux Laeken Est,1985.3600000000001
Grand Place,0.0
Houba,1254.75
Anneessens,1095.93
Heysel,1358.64
Notre-Dame-aux-Neiges,147.56
Vieux Laeken Ouest,605.63
Chasse,893.2
Paix,1102.6200000000001
Bas Forest,330.72
Saint-Denis - Neerstalle,316.8
Boondael,856.8000000000001
Châtelain,488.88
Université,216.72
Jourdan,124.52
Heymbosch - AZ-Jette,223.36
Basilique,529.2
Quartier Maritime,874.56
Molenbeek Historique,1477.44
Karreveld,1366.64
Berckmans - Hôtel des Monnaies,478.75
Saint-Josse Centre,1054.8999999999999
Terdelt,1037.59
Dailly,801.9899999999999
Churchill,664.02
Montjoie - Langeveld,741.0799999999999
Saint-Job Kauwberg,804.75
Dieweg,421.06
Boitsfort Centre,759.45
Roodebeek - Constellations,1156.8
Stockel,2439.19
Georges Henri,1357.63
Chant d'Oiseau,1315.72
Putdael,0.0
Saint-Paul,935.76
Scherdemael,1636.67
Moortebeek - Peterbos,1284.7
Chaussée de Wavre - Saint-Julien,1019.1
Saint-Pierre,961.59
Conscience,792.0000000000001
Van Volxem - Van Haelen,651.9399999999999
Dries,183.60999999999999
Flagey - Malibran,688.05
Hôpital Etterbeek-Ixelles,519.85
Etangs d'Ixelles,305.37
Jette Centre,938.7
Woeste,2086.8399999999997
Hôpital Français,893.62
Gare de l'ouest,101.2
Haut Saint-Gilles,1774.51
Porte de Hal,857.39
Quartier Brabant,818.34
Gare de Schaerbeek,0.0
Helmet,1579.8600000000001
Globe,1608.03
Observatoire,863.3199999999999
Kalevoet - Moensberg,1200.64
Trois Tilleuls,482.22999999999996
Porte Tervueren,2435.25
Val d'Or,1015.2
Gribaumont,0.0
Veeweyde - Aurore,793.61
Bizet - Roue- Ceria,937.02
Bon Air,195.2
Vogelenzang - Erasme,463.54
Neerpede,286.84
Cureghem Bara,664.93
Anderlecht - Centre - Wayez,1300.86
Cureghem Rosée,467.39
Industrie Birmingham,0.0
Watermael Centre,589.76
Auderghem centre,285.0
Potaarde,385.71000000000004
Korenbeek,225.61999999999998
Squares,1909.3799999999999
Mutsaard,2467.8999999999996
Fort Jaco,1075.6499999999999
Haren,441.59999999999997
Heembeek,1579.5
Quartier Européen,0.0
Béguinage - Dixmude,311.85
Dansaert,580.14
Martyrs,602.98
Industrie OTAN,0.0
Industrie Nord,0.0
Stalingrad,291.27000000000004
Marolles,1177.3999999999999
Sablon,865.26
Louise - Longue Haie,355.84000000000003
Brugmann - Lepoutre,369.72
Saint-Michel,2318.6099999999997
Avenue Léopold III,275.73
Paduwa,855.36
Vossegat - Roosendaal,699.17
Altitude 100,1252.3600000000001
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Matonge,134.29999999999998
Koekelberg,989.4
Duchesse,1514.1100000000001
Bosnie,0.0
Chaussée de Haecht,1987.72
Plasky,444.24
Reyers,0.0
Gare Josaphat,627.48
Josaphat,485.03000000000003
Colignon,1725.57
Molière - Longchamp,253.17
Kriekenput - Homborch - Verrewinkel,690.0300000000001
Vivier d'Oie,1013.84
Kapelleveld,1058.2
Boulevard de la Woluwe,1222.37
Sainte-Alix - Joli Bois,0.0
