Quartiers,Nb_out
Buffon,15.3
Cureghem Vétérinaire,21.1678
Scheut,47.121300000000005
Machtens,74.052
Transvaal,12.633600000000001
Berchem Sainte-Agathe Centre,61.4978
Quartier Nord,21.1354
Vieux Laeken Est,52.6884
Grand Place,6.314
Houba,56.7147
Anneessens,6.6825
Heysel,52.74719999999999
Notre-Dame-aux-Neiges,0.0
Vieux Laeken Ouest,11.6861
Chasse,8.7
Paix,20.2147
Bas Forest,6.8016
Saint-Denis - Neerstalle,4.08
Boondael,10.899
Châtelain,6.5184
Université,0.0
Jourdan,18.7912
Heymbosch - AZ-Jette,15.705
Basilique,27.048
Quartier Maritime,27.5122
Molenbeek Historique,35.7504
Karreveld,37.7379
Berckmans - Hôtel des Monnaies,6.511
Saint-Josse Centre,13.4123
Terdelt,12.500100000000002
Dailly,23.4969
Churchill,8.7234
Montjoie - Langeveld,13.6188
Saint-Job Kauwberg,12.0495
Dieweg,22.589299999999998
Boitsfort Centre,5.146
Roodebeek - Constellations,16.5808
Stockel,18.5689
Georges Henri,22.0214
Chant d'Oiseau,16.002000000000002
Putdael,6.0384
Saint-Paul,13.4237
Scherdemael,29.1284
Moortebeek - Peterbos,51.210800000000006
Chaussée de Wavre - Saint-Julien,22.515
Saint-Pierre,9.0375
Conscience,10.368
Van Volxem - Van Haelen,12.245899999999999
Dries,3.0744
Flagey - Malibran,7.722
Hôpital Etterbeek-Ixelles,3.4563
Etangs d'Ixelles,7.6734
Jette Centre,21.9924
Woeste,32.382000000000005
Hôpital Français,16.595799999999997
Gare de l'ouest,21.5556
Haut Saint-Gilles,6.5598
Porte de Hal,12.7059
Quartier Brabant,52.480500000000006
Gare de Schaerbeek,16.0448
Helmet,28.944
Globe,11.1406
Observatoire,4.746
Kalevoet - Moensberg,33.779199999999996
Trois Tilleuls,13.6535
Porte Tervueren,2.6931
Val d'Or,11.5808
Gribaumont,13.3891
Veeweyde - Aurore,33.826
Bizet - Roue- Ceria,44.135
Bon Air,10.608
Vogelenzang - Erasme,6.3602
Neerpede,9.2584
Cureghem Bara,32.3449
Anderlecht - Centre - Wayez,39.42
Cureghem Rosée,4.249
Industrie Birmingham,0.0
Watermael Centre,11.552
Auderghem centre,5.025
Potaarde,21.2888
Korenbeek,15.7156
Squares,24.5379
Mutsaard,61.3756
Fort Jaco,5.7084
Haren,37.504000000000005
Heembeek,30.375
Quartier Européen,1.2709
Béguinage - Dixmude,8.3835
Dansaert,7.911000000000001
Martyrs,4.9206
Industrie OTAN,0.0
Industrie Nord,0.0
Stalingrad,2.2338
Marolles,19.7925
Sablon,2.9982
Louise - Longue Haie,3.336
Brugmann - Lepoutre,10.3806
Saint-Michel,13.6213
Avenue Léopold III,9.7566
Paduwa,30.931199999999997
Vossegat - Roosendaal,4.8791
Altitude 100,4.873200000000001
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Matonge,1.3745999999999998
Koekelberg,24.637999999999998
Duchesse,15.141100000000002
Bosnie,6.463799999999999
Chaussée de Haecht,29.655500000000004
Plasky,15.856899999999998
Reyers,5.2452000000000005
Gare Josaphat,4.9518
Josaphat,3.0913999999999997
Colignon,45.6666
Molière - Longchamp,3.5496000000000003
Kriekenput - Homborch - Verrewinkel,21.6603
Vivier d'Oie,16.0544
Kapelleveld,11.2739
Boulevard de la Woluwe,1.2175
Sainte-Alix - Joli Bois,6.658799999999999
