,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,61989,21001B20-,CONSEIL-NORD,61989,81,1,female,parent,33370,6,collectif,21001B20-,Anderlecht,8,Nursing Home
1,105646,21001A00-,RESISTANCE,105646,84,1,female,parent,56013,6,collectif,21001A00-,Anderlecht,8,Nursing Home
2,78138,21001B25-,REVISION-NORD,78138,84,0,male,parent,42057,6,collectif,21001B25-,Anderlecht,8,Nursing Home
3,42291,21001A451,VENIZELOS,42291,79,0,male,parent,23296,6,collectif,21001A451,Anderlecht,8,Nursing Home
4,105800,21001A00-,RESISTANCE,105800,68,0,male,parent,56167,6,collectif,21001A00-,Anderlecht,8,Nursing Home
5,113243,21001B332,GOUJONS,113243,77,1,female,parent,59884,6,collectif,21001B332,Anderlecht,8,Nursing Home
6,48404,21001A80-,SILLON,48404,67,0,male,parent,26620,6,collectif,21001A80-,Anderlecht,8,Nursing Home
7,61976,21001B20-,CONSEIL-NORD,61976,84,1,female,parent,33357,6,collectif,21001B20-,Anderlecht,8,Nursing Home
8,74130,21001B31-,ALBERT I- IMMEUBLES,74130,69,1,female,parent,40110,6,collectif,21001B31-,Anderlecht,8,Nursing Home
9,3648,21001A472,STADE COMMUNAL - INDUSTRIE,3648,91,1,female,parent,1815,6,collectif,21001A472,Anderlecht,8,Nursing Home
10,8944,21001A503,VIVES,8944,80,1,female,parent,4920,6,collectif,21001A503,Anderlecht,8,Nursing Home
11,113240,21001B332,GOUJONS,113240,78,1,female,parent,59881,6,collectif,21001B332,Anderlecht,8,Nursing Home
12,20173,21001A41-,ROMAIN ROLLAND,20173,72,1,female,parent,10983,6,collectif,21001A41-,Anderlecht,8,Nursing Home
13,30430,21001A34-,ROUE - CITE JARDIN,30430,71,1,female,parent,16440,6,collectif,21001A34-,Anderlecht,8,Nursing Home
14,113248,21001B332,GOUJONS,113248,76,1,female,parent,59889,6,collectif,21001B332,Anderlecht,8,Nursing Home
15,120020,21001A120,MINIMES,120020,72,1,female,parent,63266,6,collectif,21001A120,Anderlecht,8,Nursing Home
16,17123,21001A32-,AURORE,17123,80,1,female,parent,9266,6,collectif,21001A32-,Anderlecht,8,Nursing Home
17,36159,21001C512,CHANTS D'OISEAUX,36159,73,0,male,parent,19802,6,collectif,21001C512,Anderlecht,8,Nursing Home
18,102662,21001A92-,JAKOB SMITS,102662,73,1,female,parent,54414,6,collectif,21001A92-,Anderlecht,8,Nursing Home
19,48216,21001A80-,SILLON,48216,75,1,female,parent,26432,6,collectif,21001A80-,Anderlecht,8,Nursing Home
20,73262,21001A132,RAUTER-NORD,73262,72,1,female,parent,39638,6,collectif,21001A132,Anderlecht,8,Nursing Home
21,87080,21001B17-,ABATTOIR,87080,71,0,male,parent,46883,6,collectif,21001B17-,Anderlecht,8,Nursing Home
22,98820,21001A74-,SCHEUT-OUEST,98820,71,1,female,parent,52590,6,collectif,21001A74-,Anderlecht,8,Nursing Home
23,88075,21001A712,SCHEUT - DE SMET,88075,70,0,male,parent,47372,6,collectif,21001A712,Anderlecht,8,Nursing Home
