Code;Territoire;Commune;% pop ss /commune;Nb_lits_commune;Nb_lits_ss
21001A041;VEEWEYDE-SUD;Anderlecht;0,022336569;2006;44,80715706
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;0,007175435;2006;14,39392218
21001A83-;PETERBOS;Anderlecht;0,02530197;2006;50,75575121
21001A503;VIVES;Anderlecht;0,01373273;2006;27,54785572
21001A3MJ;CERIA I;Anderlecht;9,18857E-05;2006;0,184322636
21001A331;WALCOURT;Anderlecht;0,001445111;2006;2,89889236
21001A332;ROUE;Anderlecht;0,010216015;2006;20,49332576
21001A43-;VAN BEETHOVEN;Anderlecht;0,011326996;2006;22,72195399
21001A401;ARBORETUM;Anderlecht;0,006273285;2006;12,58420903
21001A32-;AURORE;Anderlecht;0,034590775;2006;69,38909401
21001A53-;NELLIE MELBA;Anderlecht;0,003483302;2006;6,98750355
21001A41-;ROMAIN ROLLAND;Anderlecht;0,019922482;2006;39,96449872
21001A492;ETANGS - PARC;Anderlecht;0;2006;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0,000125299;2006;0,251349049
21001A85-;AUBADE;Anderlecht;0,005738677;2006;11,51178642
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;0,001110981;2006;2,228628231
21001A51-;SCHERDEMAEL;Anderlecht;0,0127554;2006;25,58733314
21001A42-;KAT;Anderlecht;0,004577577;2006;9,182618574
21001A52-;SCHERDEMAEL-NORD;Anderlecht;0,004318626;2006;8,663163874
21001C70-;BON AIR - CENTRE;Anderlecht;0,002330554;2006;4,675092303
21001A552;TREFLE;Anderlecht;0,021543011;2006;43,21527975
21001A84-;POESIE;Anderlecht;0,009831766;2006;19,72252201
21001A34-;ROUE - CITE JARDIN;Anderlecht;0,018535844;2006;37,18290258
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;0,010967807;2006;22,00142005
21001A441;DOCTEUR ROUX;Anderlecht;0,01919575;2006;38,50667424
21001C512;CHANTS D'OISEAUX;Anderlecht;0,012655161;2006;25,38625391
21001C71-;BON AIR - CITE JARDIN;Anderlecht;0,012053728;2006;24,17977847
21001A82-;MOORTEBEEK;Anderlecht;0,0152029;2006;30,49701789
21001C611;SOETKIN;Anderlecht;0,00456087;2006;9,149105368
21001C581;CIMETIERE;Anderlecht;0,000434369;2006;0,871343368
21001C522;HOPITAL U.L.B.;Anderlecht;0,001779241;2006;3,56915649
21001A451;VENIZELOS;Anderlecht;0,013766143;2006;27,61488214
21001A30-;BIZET;Anderlecht;0,023589555;2006;47,32064754
21001A80-;SILLON;Anderlecht;0,024433233;2006;49,01306447
21001A81-;BROECK;Anderlecht;0,01579598;2006;31,68673672
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;0,001110981;2006;2,228628231
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;0,006883071;2006;13,80744107
21001A031;RAUTER-SUD;Anderlecht;0,016280468;2006;32,65861971
21001B22-;BROGNIEZ-SUD;Anderlecht;0,010541791;2006;21,14683329
21001B321;ALBERT I- QUARTIER;Anderlecht;0,016288822;2006;32,67537631
21001B20-;CONSEIL-NORD;Anderlecht;0,04568388;2006;91,64186311
21001B23-;CONSEIL-SUD;Anderlecht;0,012554923;2006;25,18517467
21001A142;VEEWEYDE-NORD;Anderlecht;0,009890238;2006;19,83981823
21001A051;LINDE-EST;Anderlecht;0,012788813;2006;25,65435956
21001A941;CROCUS;Anderlecht;0,019103864;2006;38,3223516
21001A732;SCHEUTVELD;Anderlecht;0,002606211;2006;5,22806021
21001A982;PARC FORESTIER;Anderlecht;0;2006;0
21001A90-;SCHEUTKAPEL;Anderlecht;0,017658753;2006;35,42345924
21001A783;SCHEUT-INTERNAT;Anderlecht;8,35324E-06;2006;0,016756603
21001A132;RAUTER-NORD;Anderlecht;0,008946322;2006;17,94632207
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;0,007192141;2006;14,42743539
21001B25-;REVISION-NORD;Anderlecht;0,032151628;2006;64,49616586
21001B11-;ROSEE-OUEST;Anderlecht;0,007158728;2006;14,36040897
21001A72-;OSSEGEM;Anderlecht;0,027640877;2006;55,44760011
21001A011;KLEINMOLEN;Anderlecht;0,026980971;2006;54,12382846
21001B17-;ABATTOIR;Anderlecht;0,008628899;2006;17,30957114
21001A712;SCHEUT - DE SMET;Anderlecht;0,008019112;2006;16,08633911
21001A07-;BIRMINGHAM;Anderlecht;0,002848455;2006;5,714001704
21001B21-;BROGNIEZ-NORD;Anderlecht;0,029361645;2006;58,89946038
21001A911;SCHEUT-EST;Anderlecht;0,018443958;2006;36,99857995
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;0,016355648;2006;32,80942914
21001A74-;SCHEUT-OUEST;Anderlecht;0,022319862;2006;44,77364385
21001A92-;JAKOB SMITS;Anderlecht;0,030080024;2006;60,34052826
21001A00-;RESISTANCE;Anderlecht;0,023739913;2006;47,6222664
21001A08-;ASTRID (PARC);Anderlecht;1,67065E-05;2006;0,033513206
21001A95-;BUFFON;Anderlecht;0,026864026;2006;53,88923601
21001B10-;ROSEE-EST;Anderlecht;0,022027499;2006;44,18716274
21001B332;GOUJONS;Anderlecht;0,008988088;2006;18,03010508
21001B241;REVISION-SUD;Anderlecht;0,016673071;2006;33,44618006
21001B372;DEUX GARES;Anderlecht;0,000526254;2006;1,055666004
21001A10-;PORSELEIN;Anderlecht;0,009046561;2006;18,14740131
21001A120;MINIMES;Anderlecht;0,028476202;2006;57,12326044
21001A152;LINDE-OUEST;Anderlecht;0,011502414;2006;23,07384266
21001A02-;WAYEZ;Anderlecht;0,008478541;2006;17,00795229
21001A112;BIESTEBROEK;Anderlecht;0,02344755;2006;47,03578529
21002A20-;SAINT-JULIEN;Auderghem;0,034780819;478;16,62523153
21002A53-;PECHERIES;Auderghem;0,039690706;478;18,9721577
21002A511;INVALIDES (BOULEVARD DES);Auderghem;0,077323376;478;36,9605739
21002A23-;TH. BALIS (PLACE);Auderghem;0,041101932;478;19,64672331
21002A22-;CANARIS (AVENUE DES);Auderghem;0,025813659;478;12,33892923
21002A24-;AVENUE DE BROUCKERE;Auderghem;0,03986711;478;19,05647841
21002A25-;WATERMAEL (CHAUSSEE DE);Auderghem;0,041925146;478;20,04021992
21002A45-;VAL DUC;Auderghem;0,023461618;478;11,21465322
21002A441;CHANT D'OISEAUX;Auderghem;0,035986241;478;17,20142299
21002A482;VAL DUCHESSE;Auderghem;0,000176403;478;0,084320701
21002A190;FORET DE SOIGNES;Auderghem;0,001293623;478;0,618351807
21002A130;PARC DES PRINCES;Auderghem;0,038397083;478;18,3538059
21002A572;DEPOT METRO;Auderghem;0;478;0
21002A311;AMITIE (PLACE DE L');Auderghem;0,030076735;478;14,3766795
21002A372;QUARTIER INDUSTRIE;Auderghem;0,018434128;478;8,811513245
21002A492;WOLUWE PARC;Auderghem;0,000235204;478;0,112427601
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;0,036927057;478;17,65113339
21002A21-;LEBON;Auderghem;0,093317261;478;44,60565078
21002A411;PUTDAAL;Auderghem;0,018786934;478;8,980154647
21002A00-;CENTRE - NORD;Auderghem;0,032369976;478;15,47284862
21002A39-;CHEMIN DE FER;Auderghem;0;478;0
21002A18-;ROUGE CLOITRE;Auderghem;0,000205804;478;0,098374151
21002A02-;CENTRE-SUD;Auderghem;0,031781966;478;15,19177961
21002A030;LAMMERENDRIES;Auderghem;0,05841884;478;27,92420545
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;0,004321877;478;2,065857172
21002A11-;SACRE-COEUR;Auderghem;0,029665128;478;14,1799312
21002A10-;TRANSVAAL;Auderghem;0,076000353;478;36,32816864
21002A14-;TEN REUKEN;Auderghem;0,011848411;478;5,663540411
21002A12-;AVENUE SCHALLER;Auderghem;0,044571193;478;21,30503043
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;0,048746068;478;23,30062035
21002A091;TROIS COULEURS;Auderghem;0;478;0
21002A422;AVENUE IS.GERARD;Auderghem;0,004263076;478;2,037750272
21002A072;CENTRE COMMERCIAL;Auderghem;0,003028254;478;1,447505366
21002A041;VIGNETTE;Auderghem;0,016464293;478;7,869932085
21002A01-;SAINTE-ANNE;Auderghem;0,020315762;478;9,710934055
21002A52-;BEAULIEU;Auderghem;0,019551348;478;9,345544351
21003A38-;KONINCKXBOS;Berchem Sainte-Agathe;0,007545971;413;3,116485961
21003A312;POTAARDE  VLAK;Berchem Sainte-Agathe;0,08681838;413;35,8559911
21003A323;SEPT ETOILES;Berchem Sainte-Agathe;0,037888717;413;15,64804003
21003A342;HOGENBOS;Berchem Sainte-Agathe;0,03685611;413;15,22157353
21003A331;ALLEE VERTE;Berchem Sainte-Agathe;0,030104452;413;12,43313873
21003A04-;L. DE SMET;Berchem Sainte-Agathe;0,044719806;413;18,46927996
21003A0AJ;HUNDERENVELD;Berchem Sainte-Agathe;0,041304261;413;17,05865999
21003A02-;LAURE - BASILIQUE;Berchem Sainte-Agathe;0,12613686;413;52,09452321
21003A03-;HAUT-CHAMP;Berchem Sainte-Agathe;0,076611462;413;31,64053378
21003A011;MOLENBERG;Berchem Sainte-Agathe;0,064458477;413;26,62135113
21003A212;CLOS DU ZAVELENBERG;Berchem Sainte-Agathe;0,026172604;413;10,80928552
21003A00-;CENTRE;Berchem Sainte-Agathe;0,119782358;413;49,47011398
21003A283;ZAVELENBERG;Berchem Sainte-Agathe;0,009253743;413;3,821795941
21003A11-;CITE MODERNE;Berchem Sainte-Agathe;0,034512888;413;14,25382263
21003A05-;DE SELLIERS DE MORANVILLE;Berchem Sainte-Agathe;0,078120656;413;32,26383097
21003A41-;MONNET;Berchem Sainte-Agathe;0,02966758;413;12,25271059
21003A2MJ;GARE;Berchem Sainte-Agathe;0,018706065;413;7,725604671
21003A10-;HOPITAL FRANCAIS;Berchem Sainte-Agathe;0,130664443;413;53,96441479
21004B421;MARIE-LOUISE (SQUARE);Bruxelles;0,020409848;2495;50,92257024
21004B411;DEUX EGLISES (RUE DES);Bruxelles;0,008534827;2495;21,29439376
