SectorStatID;Commune;nb_sec_com_pop;nb_sec_ss_pop;ratio_com_ss;places_com;places_ss
21001A43-;Anderlecht;8615;82;0,009518282;11872;113,0010447
21001A90-;Anderlecht;8615;134;0,015554266;11872;184,6602438
21001B23-;Anderlecht;8615;111;0,012884504;11872;152,9648288
21001A02-;Anderlecht;8615;89;0,010330818;11872;122,6474753
21001A92-;Anderlecht;8615;273;0,031688915;11872;376,2107951
21002A10-;Auderghem;2082;193;0,092699328;3134;290,5196926
21002A30-;Auderghem;2082;74;0,035542747;3134;111,3909702
21002A030;Auderghem;2082;146;0,07012488;3134;219,7713737
21003A05-;Berchem Sainte-Agathe;1829;128;0,069983598;672;47,02897758
21004E72-;Bruxelles;11697;494;0,042233051;21270;898,2969992
21004F531;Bruxelles;11697;208;0,017782337;21270;378,2303155
21004D62-;Bruxelles;11697;277;0,023681286;21270;503,700949
21004E800;Bruxelles;11697;109;0,009318629;21270;198,2072326
21004A70-;Bruxelles;11697;400;0,034196803;21270;727,3659913
21004D610;Bruxelles;11697;252;0,021543986;21270;458,2405745
21004E101;Bruxelles;11697;157;0,013422245;21270;285,4911516
21004E74-;Bruxelles;11697;694;0,059331453;21270;1261,979995
21004G30-;Bruxelles;11697;319;0,02727195;21270;580,074378
21005A22-;Etterbeek;2347;49;0,020877716;7668;160,0903281
21005A10-;Etterbeek;2347;199;0,084789092;7668;650,162761
21006A201;Evere;2744;193;0,070335277;1118;78,63483965
21006A323;Evere;2744;83;0,030247813;1118;33,81705539
21006A22-;Evere;2744;101;0,03680758;1118;41,15087464
21007A53-;Forest;2254;163;0,072315883;2298;166,1818988
21007A51-;Forest;2254;63;0,027950311;2298;64,22981366
21009A34-;Ixelles;2661;41;0,015407741;7973;122,8459226
21009A73-;Ixelles;2661;122;0,045847426;7973;365,5415257
21009A53-;Ixelles;2661;144;0,054114994;7973;431,4588501
21009A612;Ixelles;2661;123;0,046223224;7973;368,5377678
21009A22-;Ixelles;2661;145;0,054490793;7973;434,4550921
21010A121;Jette;3617;74;0,020458944;4474;91,5333149
21010A03-;Jette;3617;237;0,065523915;4474;293,153995
21010A05-;Jette;3617;414;0,114459497;4474;512,0917888
21011A30-;Koekelberg;1573;163;0,103623649;2485;257,504768
21012A72-;Molenbeek Saint-Jean;7714;248;0,032149339;2831;91,01477833
21012A11-;Molenbeek Saint-Jean;7714;110;0,014259787;2831;40,36945813
21012A53-;Molenbeek Saint-Jean;7714;51;0,006611356;2831;18,71674877
21012A13-;Molenbeek Saint-Jean;7714;135;0,017500648;2831;49,54433498
21012A24-;Molenbeek Saint-Jean;7714;247;0,032019704;2831;90,64778325
21013A22-;Saint-Gilles;2633;224;0,08507406;3334;283,6369161
21013A121;Saint-Gilles;2633;52;0,019749335;3334;65,84428409
21014A04-;Saint-Josse-ten-Noode;1800;214;0,118888889;1043;124,0011111
21015A421;Schaerbeek;9297;126;0,013552759;9490;128,6156825
21015A03-;Schaerbeek;9297;435;0,046789287;9490;444,0303324
21015A021;Schaerbeek;9297;282;0,030332365;9490;287,8541465
21015A40-;Schaerbeek;9297;295;0,031730666;9490;301,1240185
21015A152;Schaerbeek;9297;286;0,030762612;9490;291,937184
21015A32-;Schaerbeek;9297;192;0,020651823;9490;195,9858019
21015A24-;Schaerbeek;9297;193;0,020759385;9490;197,0065613
21016A410;Uccle;5159;53;0,010273309;7699;79,0942043
21016A82-;Uccle;5159;226;0,043806939;7699;337,2696259
21016A81-;Uccle;5159;162;0,031401434;7699;241,7596433
21016A831;Uccle;5159;181;0,035084319;7699;270,1141694
