Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21001A041;VEEWEYDE-SUD;2674;1346;1328
21001A472;STADE COMMUNAL - INDUSTRIE;859;433;426
21001A83-;PETERBOS;3029;1692;1337
21001A503;VIVES;1644;924;720
21001A3MJ;CERIA I;11;5;6
21001A331;WALCOURT;173;77;96
21001A332;ROUE;1223;590;633
21001A43-;VAN BEETHOVEN;1356;703;653
21001A401;ARBORETUM;751;422;329
21001A32-;AURORE;4141;2212;1929
21001A53-;NELLIE MELBA;417;213;204
21001A41-;ROMAIN ROLLAND;2385;1304;1081
21001A492;ETANGS - PARC;0;0;0
21001A37-;ZUEN - INDUSTRIE;15;9;6
21001A85-;AUBADE;687;334;353
21001B3MJ;PETITE ILE - RIVE DROITE;133;68;65
21001A51-;SCHERDEMAEL;1527;820;707
21001A42-;KAT;548;283;265
21001A52-;SCHERDEMAEL-NORD;517;270;247
21001C70-;BON AIR - CENTRE;279;152;127
21001A552;TREFLE;2579;1312;1267
21001A84-;POESIE;1177;633;544
21001A34-;ROUE - CITE JARDIN;2219;1152;1067
21001A350;CERIA - ZONE D'HABITAT;1313;633;680
21001A441;DOCTEUR ROUX;2298;1132;1166
21001C512;CHANTS D'OISEAUX;1515;878;637
21001C71-;BON AIR - CITE JARDIN;1443;749;694
21001A82-;MOORTEBEEK;1820;951;869
21001C611;SOETKIN;546;278;268
21001C581;CIMETIERE;52;27;25
21001C522;HOPITAL U.L.B.;213;116;97
21001A451;VENIZELOS;1648;849;799
21001A30-;BIZET;2824;1406;1418
21001A80-;SILLON;2925;1610;1315
21001A81-;BROECK;1891;1006;885
21001C79-;BON AIR - HABITATIONS DISP.;133;81;52
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;824;420;404
21001A031;RAUTER-SUD;1949;941;1008
21001B22-;BROGNIEZ-SUD;1262;637;625
21001B321;ALBERT I- QUARTIER;1950;921;1029
21001B20-;CONSEIL-NORD;5469;2575;2894
21001B23-;CONSEIL-SUD;1503;678;825
21001A142;VEEWEYDE-NORD;1184;603;581
21001A051;LINDE-EST;1531;752;779
21001A941;CROCUS;2287;1208;1079
21001A732;SCHEUTVELD;312;169;143
21001A982;PARC FORESTIER;0;0;0
21001A90-;SCHEUTKAPEL;2114;1127;987
21001A783;SCHEUT-INTERNAT;1;0;1
21001A132;RAUTER-NORD;1071;499;572
21001B31-;ALBERT I- IMMEUBLES;861;469;392
21001B25-;REVISION-NORD;3849;1814;2035
21001B11-;ROSEE-OUEST;857;368;489
21001A72-;OSSEGEM;3309;1668;1641
21001A011;KLEINMOLEN;3230;1514;1716
21001B17-;ABATTOIR;1033;498;535
