Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;8296 ;35 ;63 ;610 ;65 ;11 ;227 ;49 ;102 ;78 ;59 ;736 ;280 ;22 ;56 ;161 ;13 ;63 ;23 
Auderghem;1 ;1264 ;1 ;25 ;185 ;2 ;9 ;1 ;77 ;0 ;0 ;4 ;2 ;1 ;4 ;18 ;173 ;67 ;201 
Berchem Sainte-Agathe;72 ;2 ;881 ;114 ;22 ;7 ;17 ;242 ;9 ;110 ;139 ;493 ;18 ;7 ;19 ;24 ;3 ;9 ;4 
Bruxelles;191 ;77 ;55 ;10589 ;203 ;138 ;93 ;63 ;297 ;701 ;70 ;267 ;194 ;100 ;610 ;133 ;50 ;179 ;73 
Etterbeek;6 ;118 ;0 ;47 ;1530 ;3 ;5 ;1 ;203 ;2 ;1 ;10 ;12 ;3 ;42 ;14 ;13 ;185 ;81 
Evere;10 ;18 ;3 ;211 ;63 ;1782 ;2 ;3 ;26 ;1 ;1 ;5 ;4 ;40 ;754 ;9 ;9 ;361 ;65 
Forest;85 ;6 ;8 ;125 ;17 ;3 ;2501 ;1 ;132 ;1 ;5 ;19 ;383 ;6 ;13 ;947 ;8 ;17 ;10 
Ganshoren;48 ;4 ;76 ;146 ;11 ;2 ;11 ;1178 ;19 ;297 ;106 ;112 ;7 ;10 ;14 ;8 ;1 ;18 ;5 
Ixelles;17 ;84 ;4 ;198 ;264 ;4 ;58 ;2 ;2258 ;4 ;2 ;13 ;69 ;10 ;15 ;307 ;141 ;45 ;31 
Jette;61 ;7 ;38 ;531 ;32 ;5 ;21 ;184 ;23 ;3157 ;78 ;126 ;23 ;14 ;29 ;14 ;6 ;25 ;6 
Koekelberg;61 ;6 ;50 ;219 ;28 ;1 ;11 ;175 ;20 ;137 ;924 ;361 ;15 ;12 ;26 ;17 ;3 ;15 ;14 
Molenbeek Saint-Jean;693 ;46 ;230 ;1226 ;77 ;2 ;76 ;249 ;87 ;319 ;518 ;5.746 ;100 ;65 ;100 ;92 ;20 ;82 ;38 
Saint-Gilles;77 ;7 ;5 ;196 ;26 ;0 ;341 ;4 ;235 ;2 ;3 ;28 ;1857 ;11 ;9 ;225 ;7 ;12 ;5 
Saint-Josse-ten-Noode;17 ;12 ;2 ;615 ;41 ;17 ;10 ;1 ;26 ;4 ;3 ;18 ;9 ;1091 ;262 ;13 ;2 ;44 ;13 
Schaerbeek;42 ;67 ;18 ;1077 ;262 ;546 ;20 ;2 ;99 ;24 ;11 ;49 ;33 ;492 ;7611 ;39 ;19 ;673 ;111 
Uccle;39 ;13 ;4 ;91 ;29 ;1 ;386 ;2 ;128 ;3 ;4 ;7 ;73 ;0 ;6 ;3.830 ;28 ;9 ;7 
Watermael-Boitsfort;3 ;278 ;1 ;23 ;29 ;0 ;4 ;0 ;165 ;0 ;0 ;0 ;2 ;1 ;7 ;73 ;955 ;23 ;19 
Woluwe Saint-Lambert;5 ;40 ;0 ;45 ;241 ;34 ;4 ;3 ;16 ;1 ;1 ;7 ;3 ;7 ;111 ;19 ;7 ;2334 ;318 
Woluwe Saint-Pierre;0 ;104 ;0 ;15 ;349 ;4 ;0 ;2 ;26 ;1 ;2 ;1 ;3 ;3 ;14 ;9 ;13 ;433 ;1446 
