Code;Territoire;Part des enfants du quartier scolarisés en primaire à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_prim_lim;;
1;Grand Place;43,44;110;47,78688525;;
2;Dansaert;68,41;585;400,2111486;;
3;Béguinage - Dixmude;51,55;405;208,7953368;;
4;Martyrs;49,17;118;58,01666667;;
5;Notre-Dame-aux-Neiges;45,69;118;53,9137931;;
6;Quartier Royal;17,65;0;0;;
7;Sablon;67,54;114;77;;
8;Marolles;71,35;1017;725,6176744;;
9;Stalingrad;76,65;220;168,6294416;;
10;Anneessens;50,16;889;445,9354144;;
11;Cureghem Bara;47,75;1127;538,1171171;;
12;Cureghem Vétérinaire;62,09;970;602,2274882;;
13;Cureghem Rosée;61,36;608;373,0909091;;
14;Duchesse;56,11;615;345,0463679;;
15;Gare de l'ouest;63,54;1010;641,7903525;;
16;Molenbeek Historique;59,37;1824;1082,819048;;
17;Koekelberg;57,83;970;560,9044715;;
18;Quartier Maritime;59,62;1820;1085,132075;;
19;Vieux Laeken Ouest;68,50;853;584,3001145;;
20;Vieux Laeken Est;65,40;1910;1249,151925;;
21;Quartier Nord;64,44;1480;953,73297;;
22;Quartier Brabant;60,03;1780;1068,605442;;
23;Colignon;71,99;1744;1255,563474;;
24;Chaussée de Haecht;67,96;1603;1089,407887;;
25;Saint-Josse Centre;75,32;1506;1134,265823;;
26;Dailly;59,55;1405;836,6739288;;
27;Josaphat;47,88;533;255,225;;
28;Plasky;68,81;618;425,2293578;;
29;Squares;71,27;789;562,3462733;;
30;Porte Tervueren;75,35;574;432,5211268;;
31;Saint-Michel;76,60;426;326,2978723;;
32;Saint-Pierre;64,33;722;464,4641745;;
33;Chasse;61,94;1159;717,8392857;;
34;Jourdan;47,87;567;271,4075829;;
35;Quartier Européen;48,21;71;34,23214286;;
36;Matonge;59,77;159;95,02915452;;
37;Flagey - Malibran;72,94;496;361,7791602;;
38;Hôpital Etterbeek-Ixelles;60,45;280;169,2622951;;
39;Etangs d'Ixelles;68,38;261;178,4779412;;
40;Louise - Longue Haie;53,89;140;75,4491018;;
41;Berckmans - Hôtel des Monnaies;64,02;383;245,2067989;;
42;Châtelain;61,76;388;239,6470588;;
43;Brugmann - Lepoutre;46,99;708;332,7213115;;
44;Churchill;57,01;652;371,6775432;;
45;Molière - Longchamp;64,46;261;168,2295918;;
46;Altitude 100;71,79;523;375,4871795;;
47;Haut Saint-Gilles;72,16;838;604,6745098;;
48;Porte de Hal;64,29;1033;664,1363237;;
49;Bosnie;57,95;570;330,3409091;;
50;Bas Forest;53,66;624;334,8292683;;
51;Van Volxem - Van Haelen;57,16;882;504,1252485;;
52;Veeweyde - Aurore;56,95;1302;741,4428365;;
53;Bizet - Roue- Ceria;65,82;1358;893,8248588;;
54;Vogelenzang - Erasme;59,09;98;57,90909091;;
55;Neerpede;54,35;71;38,58695652;;
56;Bon Air;65,82;159;104,6479592;;
57;Scherdemael;73,45;719;528,0854037;;
58;Anderlecht - Centre - Wayez;65,98;1315;867,5998573;;
59;Scheut;59,03;1280;755,5331654;;
60;Buffon;63,10;500;315,4875717;;
61;Moortebeek - Peterbos;68,31;886;605,2119914;;
62;Machtens;61,41;1981;1216,487864;;
63;Karreveld;58,80;1553;913,2293035;;
64;Hôpital Français;51,19;980;501,6898608;;
65;Korenbeek;59,09;777;459,1363636;;
66;Potaarde;21,00;299;62,77935943;;
