SectorStatID;Quartier;nb_inscrits_ss;nb_inscrits_quart;ratio
21001A041;Veeweyde - Aurore;228;1302;0,175115207
21001A472;Bizet - Roue- Ceria;32;1358;0,023564065
21001A83-;Moortebeek - Peterbos;348;886;0,392776524
21001A503;Scherdemael;110;719;0,152990264
21001A332;Bizet - Roue- Ceria;133;1358;0,097938144
21001A43-;Veeweyde - Aurore;96;1302;0,073732719
21001A401;Scherdemael;52;719;0,07232267
21001A32-;Veeweyde - Aurore;296;1302;0,22734255
21001A53-;Scherdemael;27;719;0,037552156
21001A41-;Scherdemael;159;719;0,221140473
21001A85-;Scheut;69;1280;0,05390625
21001A51-;Scherdemael;92;719;0,127955494
21001A42-;Scherdemael;38;719;0,052851182
21001A52-;Scherdemael;40;719;0,055632823
21001C70-;Bon Air;23;159;0,144654088
21001A552;Bizet - Roue- Ceria;267;1358;0,196612666
21001A84-;Moortebeek - Peterbos;97;886;0,109480813
21001A34-;Bizet - Roue- Ceria;200;1358;0,147275405
21001A350;Bizet - Roue- Ceria;132;1358;0,097201767
21001A441;Bizet - Roue- Ceria;194;1358;0,142857143
21001C512;Vogelenzang - Erasme;98;98;1
21001C71-;Bon Air;136;159;0,855345912
21001A82-;Moortebeek - Peterbos;155;886;0,174943567
21001C611;Neerpede;38;71;0,535211268
21001A451;Bizet - Roue- Ceria;120;1358;0,088365243
21001A30-;Bizet - Roue- Ceria;280;1358;0,206185567
21001A80-;Scherdemael;201;719;0,279554937
21001A81-;Moortebeek - Peterbos;138;886;0,155756208
21001A31-;Veeweyde - Aurore;76;1302;0,058371736
21001A031;Veeweyde - Aurore;159;1302;0,122119816
21001B22-;Cureghem Bara;116;1127;0,102928128
21001B321;Cureghem Vétérinaire;188;970;0,193814433
21001B20-;Cureghem Bara;539;1127;0,47826087
21001B23-;Cureghem Bara;112;1127;0,099378882
21001A142;Veeweyde - Aurore;88;1302;0,067588326
21001A051;Anderlecht - Centre - Wayez;138;1315;0,104942966
21001A941;Buffon;202;500;0,404
21001A732;Buffon;23;500;0,046
21001A90-;Scheut;156;1280;0,121875
21001A132;Veeweyde - Aurore;96;1302;0,073732719
21001B31-;Cureghem Vétérinaire;96;970;0,098969072
21001B25-;Cureghem Vétérinaire;376;970;0,387628866
21001B11-;Cureghem Rosée;88;608;0,144736842
21001A72-;Machtens;319;1981;0,161029783
21001A011;Anderlecht - Centre - Wayez;288;1315;0,219011407
21001B17-;Cureghem Rosée;106;608;0,174342105
21001A712;Scheut;96;1280;0,075
21001A07-;Industrie Birmingham;40;40;1
21001B21-;Cureghem Bara;342;1127;0,303460515
21001A911;Scheut;180;1280;0,140625
21001A931;Scheut;197;1280;0,15390625
21001A74-;Scheut;253;1280;0,19765625
21001A92-;Scheut;329;1280;0,25703125
21001A00-;Anderlecht - Centre - Wayez;238;1315;0,180988593
21001A95-;Buffon;275;500;0,55
21001B10-;Cureghem Rosée;260;608;0,427631579
21001B332;Cureghem Vétérinaire;115;970;0,118556701
21001B241;Cureghem Vétérinaire;195;970;0,201030928
21001A10-;Anderlecht - Centre - Wayez;100;1315;0,076045627
21001A120;Anderlecht - Centre - Wayez;311;1315;0,236501901
21001A152;Anderlecht - Centre - Wayez;124;1315;0,094296578
21001A02-;Anderlecht - Centre - Wayez;116;1315;0,088212928
21001A112;Veeweyde - Aurore;263;1302;0,201996928
21002A20-;Chaussée de Wavre - Saint-Julien;76;1185;0,064135021
21002A53-;Watermael Centre;78;608;0,128289474
21002A511;Chaussée de Wavre - Saint-Julien;212;1185;0,178902954
21002A23-;Chaussée de Wavre - Saint-Julien;102;1185;0,086075949
21002A22-;Chaussée de Wavre - Saint-Julien;56;1185;0,047257384
21002A24-;Chaussée de Wavre - Saint-Julien;90;1185;0,075949367
21002A25-;Chaussée de Wavre - Saint-Julien;112;1185;0,094514768
21002A45-;Chaussée de Wavre - Saint-Julien;59;1185;0,04978903
21002A441;Chant d'Oiseau;111;889;0,124859393
21002A130;Transvaal;124;564;0,219858156
21002A311;Chaussée de Wavre - Saint-Julien;76;1185;0,064135021
21002A372;Chaussée de Wavre - Saint-Julien;44;1185;0,037130802
21002A30-;Chaussée de Wavre - Saint-Julien;94;1185;0,079324895
21002A21-;Chaussée de Wavre - Saint-Julien;184;1185;0,155274262
21002A411;Putdael;40;74;0,540540541
21002A00-;Auderghem centre;74;376;0,196808511
21002A02-;Auderghem centre;60;376;0,159574468
21002A030;Trois Tilleuls;153;580;0,263793103
21002A11-;Transvaal;64;564;0,113475177
21002A10-;Transvaal;226;564;0,40070922
21002A14-;Transvaal;32;564;0,056737589
21002A12-;Transvaal;118;564;0,209219858
21002A43-;Auderghem centre;142;376;0,377659574
21002A041;Auderghem centre;40;376;0,106382979
21002A01-;Auderghem centre;60;376;0,159574468
21002A52-;Watermael Centre;50;608;0,082236842
21003A312;Potaarde;185;299;0,618729097
21003A323;Berchem Sainte-Agathe Centre;68;1418;0,047954866
21003A342;Korenbeek;70;777;0,09009009
21003A331;Berchem Sainte-Agathe Centre;68;1418;0,047954866
21003A04-;Potaarde;114;299;0,381270903
21003A0AJ;Berchem Sainte-Agathe Centre;120;1418;0,084626234
21003A02-;Berchem Sainte-Agathe Centre;272;1418;0,191819464
