SectorStatID,Commune,nb_sec_com_pop,nb_sec_ss_pop,ratio_com_ss,places_com,places_ss
21002A10-,Auderghem,2082,193,0.092699328,3134,185
21002A030,Auderghem,2082,146,0.07012488,3134,81
21005A10-,Etterbeek,2347,199,0.084789092,7668,436
21006A201,Evere,2744,193,0.070335277,1118,50
21006A22-,Evere,2744,101,0.03680758,1118,8
21007A53-,Forest,2254,163,0.072315883,2298,88
21007A51-,Forest,2254,63,0.027950311,2298,2
21010A03-,Jette,3617,237,0.065523915,4474,132
21010A05-,Jette,3617,414,0.114459497,4474,311
21011A30-,Koekelberg,1573,163,0.103623649,2485,131
21012A72-,Molenbeek Saint-Jean,7714,248,0.032149339,2831,10
21012A24-,Molenbeek Saint-Jean,7714,247,0.032019704,2831,33
21013A22-,Saint-Gilles,2633,224,0.08507406,3334,254
21013A121,Saint-Gilles,2633,52,0.019749335,3334,23
21014A04-,Saint-Josse-ten-Noode,1800,214,0.118888889,1043,3
21015A421,Schaerbeek,9297,126,0.013552759,9490,18
21015A03-,Schaerbeek,9297,435,0.046789287,9490,300
21015A021,Schaerbeek,9297,282,0.030332365,9490,142
21015A40-,Schaerbeek,9297,295,0.031730666,9490,164
21015A152,Schaerbeek,9297,286,0.030762612,9490,179
21015A32-,Schaerbeek,9297,192,0.020651823,9490,37
21015A24-,Schaerbeek,9297,193,0.020759385,9490,37
21016A82-,Uccle,5159,226,0.043806939,7699,264
21016A81-,Uccle,5159,162,0.031401434,7699,179
21016A831,Uccle,5159,181,0.035084319,7699,203
21016A311,Uccle,5159,129,0.025004846,7699,123
21017A512,Watermael-Boitsfort,1582,69,0.043615676,1628,34
21017A443,Watermael-Boitsfort,1582,72,0.04551201,1628,58
21017A212,Watermael-Boitsfort,1582,116,0.073324905,1628,73
21018A13-,Woluwe Saint-Lambert,3166,61,0.019267214,4195,45
21018A24-,Woluwe Saint-Lambert,3166,125,0.039481996,4195,135
21019A45-,Woluwe Saint-Pierre,2551,64,0.025088201,5604,101
21019A131,Woluwe Saint-Pierre,2551,118,0.04625637,5604,219
21002A441,Auderghem,2082,98,0.047070125,3134,8
21002A43-,Auderghem,2082,87,0.041786744,3134,15
21005A00-,Etterbeek,2347,191,0.081380486,7668,402
21005A12-,Etterbeek,2347,338,0.144013634,7668,897
21005A042,Etterbeek,2347,226,0.09629314,7668,549
21007A201,Forest,2254,133,0.059006211,2298,37
21010A00-,Jette,3617,409,0.113077136,4474,357
21010A1AJ,Jette,3617,220,0.060823887,4474,141
21010A02-,Jette,3617,320,0.088471109,4474,209
21010A04-,Jette,3617,270,0.074647498,4474,137
21011A12-,Koekelberg,1573,110,0.06993007,2485,101
21012A41-,Molenbeek Saint-Jean,7714,109,0.014130153,2831,3
21012A60-,Molenbeek Saint-Jean,7714,434,0.056261343,2831,17
21012A10-,Molenbeek Saint-Jean,7714,208,0.026963962,2831,24
21012A152,Molenbeek Saint-Jean,7714,485,0.062872699,2831,117
21012A71-,Molenbeek Saint-Jean,7714,325,0.04213119,2831,50
21013A201,Saint-Gilles,2633,146,0.055450057,3334,128
21013A422,Saint-Gilles,2633,207,0.078617547,3334,232
21014A00-,Saint-Josse-ten-Noode,1800,216,0.12,1043,50
21015A12-,Schaerbeek,9297,169,0.018177907,9490,71
21015A22-,Schaerbeek,9297,326,0.035065075,9490,239
21015A41-,Schaerbeek,9297,243,0.026137464,9490,125
21015A50-,Schaerbeek,9297,269,0.028934065,9490,157
21015A20-,Schaerbeek,9297,429,0.046143917,9490,315
21016A701,Uccle,5159,161,0.031207598,7699,160
21016A05-,Uccle,5159,220,0.042643923,7699,250
21016A102,Uccle,5159,166,0.032176778,7699,160
21016A933,Uccle,5159,176,0.034115139,7699,179
21017A000,Watermael-Boitsfort,1582,77,0.048672566,1628,40
21017A01-,Watermael-Boitsfort,1582,92,0.058154235,1628,52
21017A635,Watermael-Boitsfort,1582,36,0.022756005,1628,2
21018A83-,Woluwe Saint-Lambert,3166,54,0.017056222,4195,51
21018A20-,Woluwe Saint-Lambert,3166,170,0.053695515,4195,199
21018A21-,Woluwe Saint-Lambert,3166,166,0.052432091,4195,192
21018A031,Woluwe Saint-Lambert,3166,80,0.025268478,4195,61
21019A43-,Woluwe Saint-Pierre,2551,34,0.013328107,5604,38
21019A34-,Woluwe Saint-Pierre,2551,74,0.029008232,5604,115
21019A10-,Woluwe Saint-Pierre,2551,121,0.047432379,5604,221
21019A35-,Woluwe Saint-Pierre,2551,102,0.03998432,5604,188
21002A511,Auderghem,2082,152,0.073006724,3134,96
21002A25-,Auderghem,2082,94,0.045148895,3134,6
21002A130,Auderghem,2082,108,0.051873199,3134,67
21002A21-,Auderghem,2082,143,0.068683958,3134,85
21002A12-,Auderghem,2082,100,0.04803074,3134,42
21005A02-,Etterbeek,2347,135,0.057520239,7668,224
21005A33-,Etterbeek,2347,63,0.026842778,7668,6
21005A14-,Etterbeek,2347,162,0.069024286,7668,330
21005A13-,Etterbeek,2347,85,0.036216447,7668,65
21005A01-,Etterbeek,2347,144,0.061354921,7668,286
21005A311,Etterbeek,2347,89,0.03792075,7668,77
21005A20-,Etterbeek,2347,75,0.031955688,7668,34
21005A15-,Etterbeek,2347,123,0.052407329,7668,216
21005A031,Etterbeek,2347,83,0.035364295,7668,50
21005A051,Etterbeek,2347,190,0.08095441,7668,414
21005A11-,Etterbeek,2347,132,0.056242011,7668,222
21006A403,Evere,2744,108,0.039358601,1118,2
21006A21-,Evere,2744,98,0.035714286,1118,9
21006A23-,Evere,2744,137,0.049927114,1118,13
21006A101,Evere,2744,290,0.105685131,1118,57
21006A001,Evere,2744,233,0.084912536,1118,50
21006A414,Evere,2744,178,0.064868805,1118,37
21006A25-,Evere,2744,92,0.033527697,1118,5
21006A011,Evere,2744,210,0.076530612,1118,35
21006A052,Evere,2744,153,0.055758017,1118,9
21007A03-,Forest,2254,108,0.047914818,2298,39
21007A142,Forest,2254,84,0.037267081,2298,17
21007A50-,Forest,2254,197,0.087400177,2298,132
21007A61-,Forest,2254,329,0.145962733,2298,259
21007A00-,Forest,2254,224,0.099378882,2298,156
21007A101,Forest,2254,157,0.069653949,2298,91
21007A70-,Forest,2254,162,0.071872227,2298,91
21007A239,Forest,2254,164,0.072759539,2298,79
21010A10-,Jette,3617,147,0.040641416,4474,52
