Code;Name;Commune
21001A041;VEEWEYDE-SUD;Anderlecht
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht
21001A83-;PETERBOS;Anderlecht
21001A503;VIVES;Anderlecht
21001A3MJ;CERIA I;Anderlecht
21001A331;WALCOURT;Anderlecht
21001A332;ROUE;Anderlecht
21001A43-;VAN BEETHOVEN;Anderlecht
21001A401;ARBORETUM;Anderlecht
21001A32-;AURORE;Anderlecht
21001A53-;NELLIE MELBA;Anderlecht
21001A41-;ROMAIN ROLLAND;Anderlecht
21001A492;ETANGS - PARC;Anderlecht
21001A37-;ZUEN - INDUSTRIE;Anderlecht
21001A85-;AUBADE;Anderlecht
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht
21001A51-;SCHERDEMAEL;Anderlecht
21001A42-;KAT;Anderlecht
21001A52-;SCHERDEMAEL-NORD;Anderlecht
21001C70-;BON AIR - CENTRE;Anderlecht
21001A552;TREFLE;Anderlecht
21001A84-;POESIE;Anderlecht
21001A34-;ROUE - CITE JARDIN;Anderlecht
21001A350;CERIA - ZONE D'HABITAT;Anderlecht
21001A441;DOCTEUR ROUX;Anderlecht
21001C512;CHANTS D'OISEAUX;Anderlecht
21001C71-;BON AIR - CITE JARDIN;Anderlecht
21001A82-;MOORTEBEEK;Anderlecht
21001C611;SOETKIN;Anderlecht
21001C581;CIMETIERE;Anderlecht
21001C522;HOPITAL U.L.B.;Anderlecht
21001A451;VENIZELOS;Anderlecht
21001A30-;BIZET;Anderlecht
21001A80-;SILLON;Anderlecht
21001A81-;BROECK;Anderlecht
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht
21001A031;RAUTER-SUD;Anderlecht
21001B22-;BROGNIEZ-SUD;Anderlecht
21001B321;ALBERT I- QUARTIER;Anderlecht
21001B20-;CONSEIL-NORD;Anderlecht
21001B23-;CONSEIL-SUD;Anderlecht
21001A142;VEEWEYDE-NORD;Anderlecht
21001A051;LINDE-EST;Anderlecht
21001A941;CROCUS;Anderlecht
21001A732;SCHEUTVELD;Anderlecht
21001A982;PARC FORESTIER;Anderlecht
21001A90-;SCHEUTKAPEL;Anderlecht
21001A783;SCHEUT-INTERNAT;Anderlecht
21001A132;RAUTER-NORD;Anderlecht
21001B31-;ALBERT I- IMMEUBLES;Anderlecht
21001B25-;REVISION-NORD;Anderlecht
21001B11-;ROSEE-OUEST;Anderlecht
21001A72-;OSSEGEM;Anderlecht
21001A011;KLEINMOLEN;Anderlecht
21001B17-;ABATTOIR;Anderlecht
21001A712;SCHEUT - DE SMET;Anderlecht
21001A07-;BIRMINGHAM;Anderlecht
21001B21-;BROGNIEZ-NORD;Anderlecht
21001A911;SCHEUT-EST;Anderlecht
21001A931;AGRAFE-NORBERT GILLE;Anderlecht
21001A74-;SCHEUT-OUEST;Anderlecht
21001A92-;JAKOB SMITS;Anderlecht
21001A00-;RESISTANCE;Anderlecht
