,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
0,Promotion sociale supérieur,156,Enseignement de Promotion et de Formation continue EPFC 8,"E,P,F,C, 8","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",598,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
1,École supérieure des Arts,181,École nationale supérieure des Arts visuels de La Cambre,La Cambre,"http://www,lacambre,be",Abbaye de la Cambre 21,1000,BRUXELLES,"50,8178008","4,3751015","50,8178008, 4,3751015",8101,Hôtel van de Velde,Avenue Franklin Roosevelt 27,1050,IXELLES,Bruxelles-Capitale,"50,8114617","4,3796422","50,8114617, 4,3796422",Brussels,21004C642
2,École supérieure des Arts,381,École supérieure des Arts - Saint-Luc de Bruxelles,Saint-Luc Bxl,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259076","4,3519499","50,8259076, 4,3519499",721,Irlande,Rue d'Irlande 57,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8259076","4,3519499","50,8259076, 4,3519499",Hors Brussels,21013A01-
3,École supérieure des Arts,518,École supérieure des Arts de l'Image LE 75,LE 75,"http://www,leseptantecinq,be/fr/",Avenue Jean-François Debecker 10,1200,WOLUWE-SAINT-LAMBERT,"50,8446166","4,4399664","50,8446166, 4,4399664",10456,Site Gulledelle,Gulledelle 98,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8558911","4,4246462","50,8558911, 4,4246462",Brussels,21018A37-
4,Promotion sociale supérieur,646,Institut provincial d'enseignement de promotion sociale et de formation continuée,"I,P,P,S, form continuée","http://www,ipfc,be",Rue Demulder 1,1400,NIVELLES,"50,6009988","4,330337","50,6009988, 4,330337",1149,,Rue Demulder 1,1400,NIVELLES,Nivelles,"50,6029747","4,3315798","50,6029747, 4,3315798",Hors Brussels,
5,Promotion sociale supérieur,915,Institut supérieur industriel de la province de Hainaut,"Inst, ind, prov, Hainaut","https://www,etudierenhainaut,be/isips-charleroi,html",Boulevard Solvay 31,6000,CHARLEROI,"50,4138124","4,4438734","50,4138124, 4,4438734",1668,,Boulevard Solvay 31,6000,CHARLEROI,Charleroi,"50,4138124","4,4438734","50,4138124, 4,4438734",Hors Brussels,
6,Promotion sociale supérieur,1737,Institut provincial d'enseignement de promotion sociale de Wallonie picarde,IP PS Wallonie picarde,"http://www,etudierenhainaut,be",Rue Paul Pastur 2,7500,TOURNAI,"50,6093298","3,4035929","50,6093298, 3,4035929",3454,,Rue Paul Pastur 49,7900,LEUZE-EN-HAINAUT,Tournai-Mouscron,"50,5971064","3,6210741","50,5971064, 3,6210741",Hors Brussels,
7,Promotion sociale supérieur,2048,Institut des Langues modernes - Enseignement de promotion sociale,"Inst, langues modernes","http://www,institutdeslanguesmodernes,com",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",4048,,Rue Hazinelle 2,4000,LIEGE,Liège,"50,6396997","5,5700175","50,6396997, 5,5700175",Hors Brussels,
8,Promotion sociale supérieur,2053,Ecole des Femmes prévoyantes socialistes de Liège,Ecole FPS Liège,"https://www,ecolesfps,be/",Quai du Longdoz 22,4020,LIEGE,,,,4081,,Rue des Ecoles 30,4171,POULSEUR,Liège,"50,5088859","5,5810395","50,5088859, 5,5810395",Hors Brussels,
9,École supérieure des Arts,2064,École supérieure des Arts de la Ville de Liège,ESAVL,,Rue des Anglais 21,4000,LIEGE,"50,6476858","5,5665113","50,6476858, 5,5665113",4142,ESA de la Ville de Liège,Rue des Anglais 21,4000,LIEGE,Liège,"50,6476858","5,5665113","50,6476858, 5,5665113",Hors Brussels,
10,École supérieure des Arts,2066,Conservatoire royal de musique de Liège,CRL,"http://www,crlg,be",Boulevard Piercot 29,4000,LIEGE,"50,635406","5,570046","50,635406, 5,570046",9149,Esact,Quai Banning 14,4000,LIEGE,Liège,"50,6130164","5,5749496","50,6130164, 5,5749496",Hors Brussels,
11,Promotion sociale supérieur,2075,Ecole des Arts et Métiers,Ecole Arts et Métiers,"http://www,artsetmetiers-liege,be",Rue Agimont 9,4000,LIEGE,"50,6462021","5,5676109","50,6462021, 5,5676109",4170,,Rue Agimont 9,4000,LIEGE,Liège,"50,6462021","5,5676109","50,6462021, 5,5676109",Hors Brussels,
12,Promotion sociale supérieur,2160,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale,be",Rue Charles de Liège 9,4623,MAGNEE,"50,6086826","5,6143999","50,6086826, 5,6143999",10001,,Rue des Prairies 40,4630,SOUMAGNE,Liège,"50,6303186","5,734837","50,6303186, 5,734837",Hors Brussels,
13,Promotion sociale supérieur,2196,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-blegny,be",Espace Simone Veil 7,4670,BLEGNY,"50,6792685","5,7246643","50,6792685, 5,7246643",4427,,Rue du Gollet 2,4600,VISE,Liège,"50,738431","5,698514","50,738431, 5,698514",Hors Brussels,
14,Promotion sociale supérieur,2196,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-blegny,be",Espace Simone Veil 7,4670,BLEGNY,"50,6792685","5,7246643","50,6792685, 5,7246643",4428,,Espace Simone Veil 7,4670,BLEGNY,Liège,"50,6792685","5,7246643","50,6792685, 5,7246643",Hors Brussels,
15,Promotion sociale supérieur,2468,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","https://www,promsoc-arlon,be/index,php",Chemin de Weyler 2,6700,ARLON,"49,6730393","5,8151121","49,6730393, 5,8151121",5014,,Rue Neuve 32,6791,ATHUS,Arlon,"49,5641969","5,8386482","49,5641969, 5,8386482",Hors Brussels,
16,Promotion sociale supérieur,2764,Institut libre luxembourgeois d'enseignement de promotion sociale - Arts et Métiers Pierrard,Arts et Métiers Pierrard,"http://www,illeps,be",Rue des Chars-à-boeufs 12,6690,VIELSALM,"49,5698555","5,5409179","49,5698555, 5,5409179",5471,,Rue des Chars-à-boeufs 12,6690,VIELSALM,Bastogne,"49,5698555","5,5409179","49,5698555, 5,5409179",Hors Brussels,
17,Promotion sociale supérieur,2825,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscfdinant,be",Chemin d'Herbuchenne 1 Bte 4,5500,DINANT,"50,2574402","4,9236774","50,2574402, 4,9236774",5588,,Avenue Président Roosevelt 57,5060,TAMINES,Namur,"50,436598","4,610256","50,436598, 4,610256",Hors Brussels,
18,Promotion sociale supérieur,2898,Ecole industrielle et commerciale de la Ville d'Andenne,"Ec, ind, et com, Andenne","http://www,eicandenne,be",Rue Adeline Henin 1,5300,ANDENNE,"50,4875138","5,099268","50,4875138, 5,099268",5744,,Rue Adeline Henin 3,5300,ANDENNE,Namur,,,,Hors Brussels,
19,Promotion sociale supérieur,3000,Institut technique de promotion sociale,Inst technique prom soc,"http://www,itn-namur,be/",Rue Asty-Moulin 60,5000,NAMUR,"50,4727166","4,8589557","50,4727166, 4,8589557",5951,,Rue Félix Hap 14,1040,ETTERBEEK,Bruxelles-Capitale,"50,8372939","4,3905804","50,8372939, 4,3905804",Brussels,21005A01-
20,Promotion sociale supérieur,3000,Institut technique de promotion sociale,Inst technique prom soc,"http://www,itn-namur,be/",Rue Asty-Moulin 60,5000,NAMUR,"50,4727166","4,8589557","50,4727166, 4,8589557",5953,,Rue Asty-Moulin 60,5000,NAMUR,Namur,"50,4727166","4,8589557","50,4727166, 4,8589557",Hors Brussels,
21,Promotion sociale supérieur,3004,Institut d'enseignement de promotion sociale de la Communauté française - Cefor,"I,E,P,S,C,F, - Cefor","http://www,cefor,be",Boulevard Cauchy 9-10,5000,NAMUR,,,,5959,,Boulevard Cauchy 9-10,5000,NAMUR,Namur,,,,Hors Brussels,
