Code;Territoire;Commune;Surface_ss;Surface_commune;Rapport_surface;Nb_touristes_Commune;Nb_touristes_ss
21001A041;VEEWEYDE-SUD;Anderlecht;0,15746;17,91204;0,008790735;298,6575342;2,62541929
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;0,08541;17,91204;0,004768301;298,6575342;1,424089048
21001A83-;PETERBOS;Anderlecht;0,17297;17,91204;0,009656633;298,6575342;2,884026258
21001A503;VIVES;Anderlecht;0,05791;17,91204;0,003233021;298,6575342;0,965566055
21001A3MJ;CERIA I;Anderlecht;0,25102;17,91204;0,014014037;298,6575342;4,18539788
21001A331;WALCOURT;Anderlecht;0,07169;17,91204;0,004002336;298,6575342;1,195327759
21001A332;ROUE;Anderlecht;0,07748;17,91204;0,004325582;298,6575342;1,291867691
21001A43-;VAN BEETHOVEN;Anderlecht;0,07357;17,91204;0,004107293;298,6575342;1,226674058
21001A401;ARBORETUM;Anderlecht;0,06047;17,91204;0,003375942;298,6575342;1,008250378
21001A32-;AURORE;Anderlecht;0,16058;17,91204;0,00896492;298,6575342;2,677440808
21001A53-;NELLIE MELBA;Anderlecht;0,08969;17,91204;0,005007247;298,6575342;1,4954519
21001A41-;ROMAIN ROLLAND;Anderlecht;0,19839;17,91204;0,01107579;298,6575342;3,307868239
21001A492;ETANGS - PARC;Anderlecht;0,07544;17,91204;0,004211692;298,6575342;1,257853622
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0,23869;17,91204;0,013325674;298,6575342;3,979812844
21001A85-;AUBADE;Anderlecht;0,08354;17,91204;0,004663902;298,6575342;1,392909485
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;1,97042;17,91204;0,110005337;298,6575342;32,85392276
21001A51-;SCHERDEMAEL;Anderlecht;0,18852;17,91204;0,010524764;298,6575342;3,143300169
21001A42-;KAT;Anderlecht;0,06366;17,91204;0,003554034;298,6575342;1,061439045
21001A52-;SCHERDEMAEL-NORD;Anderlecht;0,1722;17,91204;0,009613645;298,6575342;2,871187614
21001C70-;BON AIR - CENTRE;Anderlecht;0,06943;17,91204;0,003876164;298,6575342;1,157645506
21001A552;TREFLE;Anderlecht;0,46947;17,91204;0,026209745;298,6575342;7,827737801
21001A84-;POESIE;Anderlecht;0,11765;17,91204;0,006568208;298,6575342;1,961644732
21001A34-;ROUE - CITE JARDIN;Anderlecht;0,20229;17,91204;0,011293521;298,6575342;3,372895137
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;0,18902;17,91204;0,010552679;298,6575342;3,151636951
21001A441;DOCTEUR ROUX;Anderlecht;0,12758;17,91204;0,007122583;298,6575342;2,127213216
21001C512;CHANTS D'OISEAUX;Anderlecht;0,26559;17,91204;0,014827457;298,6575342;4,428331699
21001C71-;BON AIR - CITE JARDIN;Anderlecht;0,23128;17,91204;0,012911985;298,6575342;3,856261739
21001A82-;MOORTEBEEK;Anderlecht;0,3266;17,91204;0,018233546;298,6575342;5,445585801
21001C611;SOETKIN;Anderlecht;0,45042;17,91204;0,025146215;298,6575342;7,510106419
21001C581;CIMETIERE;Anderlecht;0,69207;17,91204;0,03863714;298,6575342;11,53927301
21001C522;HOPITAL U.L.B.;Anderlecht;0,53166;17,91204;0,029681711;298,6575342;8,864666708
21001A451;VENIZELOS;Anderlecht;0,11868;17,91204;0,006625711;298,6575342;1,978818502
21001A30-;BIZET;Anderlecht;0,19448;17,91204;0,010857501;298,6575342;3,242674607
21001A80-;SILLON;Anderlecht;0,23276;17,91204;0,012994611;298,6575342;3,880938613
21001A81-;BROECK;Anderlecht;0,23399;17,91204;0,01306328;298,6575342;3,901447096
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;0,2015;17,91204;0,011249417;298,6575342;3,359723022
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;0,09467;17,91204;0,005285272;298,6575342;1,578486245
21001A031;RAUTER-SUD;Anderlecht;0,10894;17,91204;0,006081943;298,6575342;1,816417995
21001B22-;BROGNIEZ-SUD;Anderlecht;0,07465;17,91204;0,004167588;298,6575342;1,244681506
21001B321;ALBERT I- QUARTIER;Anderlecht;0,14636;17,91204;0,00817104;298,6575342;2,440342737
21001B20-;CONSEIL-NORD;Anderlecht;0,19645;17,91204;0,010967483;298,6575342;3,275521526
21001B23-;CONSEIL-SUD;Anderlecht;0,09088;17,91204;0,005073682;298,6575342;1,51529344
21001A142;VEEWEYDE-NORD;Anderlecht;0,08827;17,91204;0,00492797;298,6575342;1,47177544
21001A051;LINDE-EST;Anderlecht;0,1042;17,91204;0,005817316;298,6575342;1,737385304
21001A941;CROCUS;Anderlecht;0,13282;17,91204;0,007415124;298,6575342;2,214582688
21001A732;SCHEUTVELD;Anderlecht;0,12322;17,91204;0,006879172;298,6575342;2,05451648
21001A982;PARC FORESTIER;Anderlecht;0,04665;17,91204;0,002604393;298,6575342;0,777821732
21001A90-;SCHEUTKAPEL;Anderlecht;0,16311;17,91204;0,009106165;298,6575342;2,719624923
21001A783;SCHEUT-INTERNAT;Anderlecht;0,04418;17,91204;0,002466497;298,6575342;0,73663803
21001A132;RAUTER-NORD;Anderlecht;0,07615;17,91204;0,00425133;298,6575342;1,269691852
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;0,03662;17,91204;0,002044435;298,6575342;0,610585891
21001B25-;REVISION-NORD;Anderlecht;0,17753;17,91204;0,009911211;298,6575342;2,960057707
21001B11-;ROSEE-OUEST;Anderlecht;0,09011;17,91204;0,005030694;298,6575342;1,502454796
21001A72-;OSSEGEM;Anderlecht;0,19547;17,91204;0,010912772;298,6575342;3,259181434
21001A011;KLEINMOLEN;Anderlecht;0,17884;17,91204;0,009984346;298,6575342;2,981900075
21001B17-;ABATTOIR;Anderlecht;0,26546;17,91204;0,014820199;298,6575342;4,426164135
21001A712;SCHEUT - DE SMET;Anderlecht;0,08418;17,91204;0,004699632;298,6575342;1,403580566
21001A07-;BIRMINGHAM;Anderlecht;0,25362;17,91204;0,014159191;298,6575342;4,228749145
21001B21-;BROGNIEZ-NORD;Anderlecht;0,1416;17,91204;0,007905297;298,6575342;2,360976575
21001A911;SCHEUT-EST;Anderlecht;0,13878;17,91204;0,007747861;298,6575342;2,313957126
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;0,15085;17,91204;0,00842171;298,6575342;2,515207036
21001A74-;SCHEUT-OUEST;Anderlecht;0,1519;17,91204;0,008480329;298,6575342;2,532714278
21001A92-;JAKOB SMITS;Anderlecht;0,21014;17,91204;0,011731774;298,6575342;3,503782609
21001A00-;RESISTANCE;Anderlecht;0,12514;17,91204;0,006986362;298,6575342;2,086529722
21001A08-;ASTRID (PARC);Anderlecht;0,16494;17,91204;0,009208331;298,6575342;2,750137544
21001A95-;BUFFON;Anderlecht;0,20044;17,91204;0,011190239;298,6575342;3,342049044
21001B10-;ROSEE-EST;Anderlecht;0,14214;17,91204;0,007935445;298,6575342;2,369980299
21001B332;GOUJONS;Anderlecht;0,05648;17,91204;0,003153186;298,6575342;0,94172286
21001B241;REVISION-SUD;Anderlecht;0,14656;17,91204;0,008182206;298,6575342;2,443677449
21001B372;DEUX GARES;Anderlecht;0,10827;17,91204;0,006044538;298,6575342;1,805246707
21001A10-;PORSELEIN;Anderlecht;0,08005;17,91204;0,004469061;298,6575342;1,334718749
21001A120;MINIMES;Anderlecht;0,1278;17,91204;0,007134866;298,6575342;2,1308814
21001A152;LINDE-OUEST;Anderlecht;0,07549;17,91204;0,004214484;298,6575342;1,2586873
21001A02-;WAYEZ;Anderlecht;0,03875;17,91204;0,002163349;298,6575342;0,646100581
