Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Sum of Compte
1000;BRUXELLES;Femme;17;5
1000;BRUXELLES;Femme;18;147
1000;BRUXELLES;Femme;19;315
1000;BRUXELLES;Femme;20;342
1000;BRUXELLES;Femme;21;351
1000;BRUXELLES;Femme;22;372
1000;BRUXELLES;Femme;23;274
1000;BRUXELLES;Femme;24;151
1000;BRUXELLES;Femme;25;107
1000;BRUXELLES;Femme;26;66
1000;BRUXELLES;Femme;27;45
1000;BRUXELLES;Femme;28;30
1000;BRUXELLES;Femme;29;18
1000;BRUXELLES;Femme;30;15
1000;BRUXELLES;Femme;31;18
1000;BRUXELLES;Femme;32;12
1000;BRUXELLES;Femme;33;7
1000;BRUXELLES;Femme;34;7
1000;BRUXELLES;Femme;35;3
1000;BRUXELLES;Femme;36;1
1000;BRUXELLES;Femme;37;6
1000;BRUXELLES;Femme;38;3
1000;BRUXELLES;Femme;39;3
1000;BRUXELLES;Femme;40;4
1000;BRUXELLES;Femme;41;2
1000;BRUXELLES;Femme;42;3
1000;BRUXELLES;Femme;43;3
1000;BRUXELLES;Femme;44;2
1000;BRUXELLES;Femme;45;4
1000;BRUXELLES;Femme;46;1
1000;BRUXELLES;Femme;47;1
1000;BRUXELLES;Femme;48;2
1000;BRUXELLES;Femme;49;3
1000;BRUXELLES;Homme;17;4
1000;BRUXELLES;Homme;18;76
1000;BRUXELLES;Homme;19;173
1000;BRUXELLES;Homme;20;199
1000;BRUXELLES;Homme;21;232
1000;BRUXELLES;Homme;22;218
1000;BRUXELLES;Homme;23;176
1000;BRUXELLES;Homme;24;121
1000;BRUXELLES;Homme;25;85
1000;BRUXELLES;Homme;26;75
1000;BRUXELLES;Homme;27;47
1000;BRUXELLES;Homme;28;26
1000;BRUXELLES;Homme;29;15
1000;BRUXELLES;Homme;30;12
1000;BRUXELLES;Homme;31;12
1000;BRUXELLES;Homme;32;7
1000;BRUXELLES;Homme;33;6
1000;BRUXELLES;Homme;34;6
1000;BRUXELLES;Homme;35;3
1000;BRUXELLES;Homme;36;9
1000;BRUXELLES;Homme;37;3
1000;BRUXELLES;Homme;38;2
1000;BRUXELLES;Homme;40;2
1000;BRUXELLES;Homme;41;1
1000;BRUXELLES;Homme;42;2
1000;BRUXELLES;Homme;43;1
1000;BRUXELLES;Homme;44;2
1000;BRUXELLES;Homme;45;1
1000;BRUXELLES;Homme;47;1
1000;BRUXELLES;Homme;49;1
1000;BRUXELLES;Homme;50;1
1000;BRUXELLES;Homme;53;1
1000;BRUXELLES;Homme;55;1
1000;BRUXELLES;Homme;(blank);1
1030;SCHAERBEEK;Femme;17;1
1030;SCHAERBEEK;Femme;18;53
1030;SCHAERBEEK;Femme;19;151
1030;SCHAERBEEK;Femme;20;197
1030;SCHAERBEEK;Femme;21;178
1030;SCHAERBEEK;Femme;22;126
1030;SCHAERBEEK;Femme;23;103
1030;SCHAERBEEK;Femme;24;42
1030;SCHAERBEEK;Femme;25;26
1030;SCHAERBEEK;Femme;26;11
1030;SCHAERBEEK;Femme;27;9
1030;SCHAERBEEK;Femme;28;7
1030;SCHAERBEEK;Femme;29;3
1030;SCHAERBEEK;Femme;30;4
1030;SCHAERBEEK;Femme;31;4
1030;SCHAERBEEK;Femme;32;3
1030;SCHAERBEEK;Femme;33;2
1030;SCHAERBEEK;Femme;34;2
1030;SCHAERBEEK;Femme;35;2
1030;SCHAERBEEK;Femme;36;3
1030;SCHAERBEEK;Femme;37;1
1030;SCHAERBEEK;Femme;38;1
1030;SCHAERBEEK;Femme;39;4
1030;SCHAERBEEK;Femme;40;2
1030;SCHAERBEEK;Femme;41;1
1030;SCHAERBEEK;Femme;42;1
1030;SCHAERBEEK;Femme;43;4
1030;SCHAERBEEK;Femme;45;1
1030;SCHAERBEEK;Femme;46;1
1030;SCHAERBEEK;Femme;48;3
1030;SCHAERBEEK;Homme;18;30
1030;SCHAERBEEK;Homme;19;89
1030;SCHAERBEEK;Homme;20;114
1030;SCHAERBEEK;Homme;21;102
1030;SCHAERBEEK;Homme;22;84
1030;SCHAERBEEK;Homme;23;69
1030;SCHAERBEEK;Homme;24;36
1030;SCHAERBEEK;Homme;25;19
1030;SCHAERBEEK;Homme;26;9
1030;SCHAERBEEK;Homme;27;2
1030;SCHAERBEEK;Homme;28;5
1030;SCHAERBEEK;Homme;29;1
1030;SCHAERBEEK;Homme;30;1
1030;SCHAERBEEK;Homme;31;2
