Code postal de l'implantation;Sexe;Age;Sum of Compte;Commune
1000;Femme;17;5;Bruxelles
1000;Femme;18;147;Bruxelles
1000;Femme;19;315;Bruxelles
1000;Femme;20;342;Bruxelles
1000;Femme;21;351;Bruxelles
1000;Femme;22;372;Bruxelles
1000;Femme;23;274;Bruxelles
1000;Femme;24;151;Bruxelles
1000;Femme;25;107;Bruxelles
1000;Femme;26;66;Bruxelles
1000;Femme;27;45;Bruxelles
1000;Femme;28;30;Bruxelles
1000;Femme;29;18;Bruxelles
1000;Femme;30;15;Bruxelles
1000;Femme;31;18;Bruxelles
1000;Femme;32;12;Bruxelles
1000;Femme;33;7;Bruxelles
1000;Femme;34;7;Bruxelles
1000;Femme;35;3;Bruxelles
1000;Femme;36;1;Bruxelles
1000;Femme;37;6;Bruxelles
1000;Femme;38;3;Bruxelles
1000;Femme;39;3;Bruxelles
1000;Femme;40;4;Bruxelles
1000;Femme;41;2;Bruxelles
1000;Femme;42;3;Bruxelles
1000;Femme;43;3;Bruxelles
1000;Femme;44;2;Bruxelles
1000;Femme;45;4;Bruxelles
1000;Femme;46;1;Bruxelles
1000;Femme;47;1;Bruxelles
1000;Femme;48;2;Bruxelles
1000;Femme;49;3;Bruxelles
1000;Homme;17;4;Bruxelles
1000;Homme;18;76;Bruxelles
1000;Homme;19;173;Bruxelles
1000;Homme;20;199;Bruxelles
1000;Homme;21;232;Bruxelles
1000;Homme;22;218;Bruxelles
1000;Homme;23;176;Bruxelles
1000;Homme;24;121;Bruxelles
1000;Homme;25;85;Bruxelles
1000;Homme;26;75;Bruxelles
1000;Homme;27;47;Bruxelles
1000;Homme;28;26;Bruxelles
1000;Homme;29;15;Bruxelles
1000;Homme;30;12;Bruxelles
1000;Homme;31;12;Bruxelles
1000;Homme;32;7;Bruxelles
1000;Homme;33;6;Bruxelles
1000;Homme;34;6;Bruxelles
1000;Homme;35;3;Bruxelles
1000;Homme;36;9;Bruxelles
1000;Homme;37;3;Bruxelles
1000;Homme;38;2;Bruxelles
1000;Homme;40;2;Bruxelles
1000;Homme;41;1;Bruxelles
1000;Homme;42;2;Bruxelles
1000;Homme;43;1;Bruxelles
1000;Homme;44;2;Bruxelles
1000;Homme;45;1;Bruxelles
1000;Homme;47;1;Bruxelles
1000;Homme;49;1;Bruxelles
1000;Homme;50;1;Bruxelles
1000;Homme;53;1;Bruxelles
1000;Homme;55;1;Bruxelles
1000;Homme;(blank);1;Bruxelles
1030;Femme;17;1;Schaerbeek
1030;Femme;18;53;Schaerbeek
1030;Femme;19;151;Schaerbeek
1030;Femme;20;197;Schaerbeek
1030;Femme;21;178;Schaerbeek
1030;Femme;22;126;Schaerbeek
1030;Femme;23;103;Schaerbeek
1030;Femme;24;42;Schaerbeek
1030;Femme;25;26;Schaerbeek
1030;Femme;26;11;Schaerbeek
1030;Femme;27;9;Schaerbeek
1030;Femme;28;7;Schaerbeek
1030;Femme;29;3;Schaerbeek
1030;Femme;30;4;Schaerbeek
1030;Femme;31;4;Schaerbeek
1030;Femme;32;3;Schaerbeek
1030;Femme;33;2;Schaerbeek
1030;Femme;34;2;Schaerbeek
1030;Femme;35;2;Schaerbeek
1030;Femme;36;3;Schaerbeek
1030;Femme;37;1;Schaerbeek
1030;Femme;38;1;Schaerbeek
1030;Femme;39;4;Schaerbeek
1030;Femme;40;2;Schaerbeek
1030;Femme;41;1;Schaerbeek
1030;Femme;42;1;Schaerbeek
1030;Femme;43;4;Schaerbeek
1030;Femme;45;1;Schaerbeek
1030;Femme;46;1;Schaerbeek
1030;Femme;48;3;Schaerbeek
1030;Homme;18;30;Schaerbeek
1030;Homme;19;89;Schaerbeek
1030;Homme;20;114;Schaerbeek
1030;Homme;21;102;Schaerbeek
1030;Homme;22;84;Schaerbeek
1030;Homme;23;69;Schaerbeek
1030;Homme;24;36;Schaerbeek
1030;Homme;25;19;Schaerbeek
1030;Homme;26;9;Schaerbeek
1030;Homme;27;2;Schaerbeek
1030;Homme;28;5;Schaerbeek
1030;Homme;29;1;Schaerbeek
1030;Homme;30;1;Schaerbeek
1030;Homme;31;2;Schaerbeek
1030;Homme;33;1;Schaerbeek
1030;Homme;34;2;Schaerbeek
1030;Homme;36;2;Schaerbeek
1030;Homme;38;2;Schaerbeek
1030;Homme;42;1;Schaerbeek
1030;Homme;43;1;Schaerbeek
1030;Homme;45;1;Schaerbeek
1030;Homme;47;1;Schaerbeek
1040;Femme;18;11;Etterbeek
1040;Femme;19;33;Etterbeek
1040;Femme;20;48;Etterbeek
1040;Femme;21;55;Etterbeek
1040;Femme;22;39;Etterbeek
1040;Femme;23;18;Etterbeek
1040;Femme;24;12;Etterbeek
1040;Femme;25;5;Etterbeek
1040;Femme;27;2;Etterbeek
1040;Femme;28;2;Etterbeek
1040;Homme;19;9;Etterbeek
1040;Homme;20;15;Etterbeek
1040;Homme;21;9;Etterbeek
1040;Homme;22;15;Etterbeek
1040;Homme;23;8;Etterbeek
1040;Homme;24;6;Etterbeek
1040;Homme;25;3;Etterbeek
1040;Homme;26;2;Etterbeek
1040;Homme;27;1;Etterbeek
1040;Homme;28;1;Etterbeek
1040;Homme;29;1;Etterbeek
1050;Femme;17;2;Ixelles
1050;Femme;18;67;Ixelles
1050;Femme;19;154;Ixelles
1050;Femme;20;198;Ixelles
1050;Femme;21;180;Ixelles
1050;Femme;22;142;Ixelles
