CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21001A00-;RESISTANCE;146;199;1,362176683;;;;
BE100;21001A011;KLEINMOLEN;147;200;1,362176683;;;;
BE100;21001A02-;WAYEZ;49;67;1,362176683;;;;
BE100;21001A031;RAUTER-SUD;107;146;1,362176683;;;;
BE100;21001A041;VEEWEYDE-SUD;156;212;1,362176683;;;;
BE100;21001A051;LINDE-EST;66;90;1,362176683;;;;
BE100;21001A07-;BIRMINGHAM;22;30;1,362176683;;;;
BE100;21001A10-;PORSELEIN;56;76;1,362176683;;;;
BE100;21001A112;BIESTEBROEK;149;203;1,362176683;;;;
BE100;21001A120;MINIMES;187;255;1,362176683;;;;
BE100;21001A132;RAUTER-NORD;53;72;1,362176683;;;;
BE100;21001A142;VEEWEYDE-NORD;78;106;1,362176683;;;;
BE100;21001A152;LINDE-OUEST;77;105;1,362176683;;;;
BE100;21001A30-;BIZET;176;240;1,362176683;;;;
BE100;21001A31-;CHAUSSEE DE MONS - SAINT-LUC;54;74;1,362176683;;;;
BE100;21001A32-;AURORE;229;312;1,362176683;;;;
BE100;21001A331;WALCOURT;16;22;1,362176683;;;;
BE100;21001A332;ROUE;71;97;1,362176683;;;;
BE100;21001A34-;ROUE - CITE JARDIN;110;150;1,362176683;;;;
BE100;21001A350;CERIA - ZONE D'HABITAT;74;101;1,362176683;;;;
BE100;21001A401;ARBORETUM;39;53;1,362176683;;;;
BE100;21001A41-;ROMAIN ROLLAND;138;188;1,362176683;;;;
BE100;21001A42-;KAT;37;50;1,362176683;;;;
BE100;21001A43-;VAN BEETHOVEN;84;114;1,362176683;;;;
BE100;21001A441;DOCTEUR ROUX;159;217;1,362176683;;;;
BE100;21001A451;VENIZELOS;112;153;1,362176683;;;;
BE100;21001A472;STADE COMMUNAL - INDUSTRIE;20;27;1,362176683;;;;
BE100;21001A503;VIVES;91;124;1,362176683;;;;
BE100;21001A51-;SCHERDEMAEL;87;119;1,362176683;;;;
BE100;21001A52-;SCHERDEMAEL-NORD;35;48;1,362176683;;;;
BE100;21001A53-;NELLIE MELBA;34;46;1,362176683;;;;
BE100;21001A552;TREFLE;134;183;1,362176683;;;;
BE100;21001A712;SCHEUT - DE SMET;54;74;1,362176683;;;;
BE100;21001A72-;OSSEGEM;181;247;1,362176683;;;;
BE100;21001A732;SCHEUTVELD;8;11;1,362176683;;;;
BE100;21001A74-;SCHEUT-OUEST;141;192;1,362176683;;;;
BE100;21001A783;SCHEUT-INTERNAT;1;1;1,362176683;;;;
BE100;21001A80-;SILLON;152;207;1,362176683;;;;
BE100;21001A81-;BROECK;107;146;1,362176683;;;;
BE100;21001A82-;MOORTEBEEK;59;80;1,362176683;;;;
BE100;21001A83-;PETERBOS;96;131;1,362176683;;;;
BE100;21001A84-;POESIE;57;78;1,362176683;;;;
BE100;21001A85-;AUBADE;41;56;1,362176683;;;;
BE100;21001A90-;SCHEUTKAPEL;124;169;1,362176683;;;;
BE100;21001A911;SCHEUT-EST;152;207;1,362176683;;;;
BE100;21001A92-;JAKOB SMITS;184;251;1,362176683;;;;
BE100;21001A931;AGRAFE-NORBERT GILLE;114;155;1,362176683;;;;
BE100;21001A941;CROCUS;138;188;1,362176683;;;;
BE100;21001A95-;BUFFON;206;281;1,362176683;;;;
BE100;21001B10-;ROSEE-EST;134;183;1,362176683;;;;
BE100;21001B11-;ROSEE-OUEST;49;67;1,362176683;;;;
BE100;21001B17-;ABATTOIR;29;40;1,362176683;;;;
BE100;21001B20-;CONSEIL-NORD;305;415;1,362176683;;;;
BE100;21001B21-;BROGNIEZ-NORD;147;200;1,362176683;;;;
BE100;21001B22-;BROGNIEZ-SUD;74;101;1,362176683;;;;
BE100;21001B23-;CONSEIL-SUD;109;148;1,362176683;;;;
BE100;21001B241;REVISION-SUD;92;125;1,362176683;;;;
BE100;21001B25-;REVISION-NORD;235;320;1,362176683;;;;
