SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21001A00-;RESISTANCE;349;364
21001A011;KLEINMOLEN;124;129
21001A02-;WAYEZ;81;84
21001A031;RAUTER-SUD;222;231
21001A041;VEEWEYDE-SUD;52;54
21001A051;LINDE-EST;862;899
21001A07-;BIRMINGHAM;1201;1252
21001A08-;ASTRID (PARC);95;99
21001A10-;PORSELEIN;251;262
21001A112;BIESTEBROEK;289;301
21001A120;MINIMES;90;94
21001A132;RAUTER-NORD;123;128
21001A142;VEEWEYDE-NORD;66;69
21001A152;LINDE-OUEST;24;25
21001A30-;BIZET;273;285
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;339;353
21001A32-;AURORE;25;26
21001A331;WALCOURT;373;389
21001A332;ROUE;13;14
21001A34-;ROUE - CITE JARDIN;66;69
21001A350;CERIA - ZONE D'HABITAT;30;31
21001A37-;ZUEN - INDUSTRIE;903;941
21001A3MJ;CERIA I;362;377
21001A401;ARBORETUM;3;3
21001A41-;ROMAIN ROLLAND;131;137
21001A42-;KAT;10;10
21001A43-;VAN BEETHOVEN;28;29
21001A441;DOCTEUR ROUX;82;85
21001A451;VENIZELOS;242;252
21001A472;STADE COMMUNAL - INDUSTRIE;94;98
21001A503;VIVES;25;26
21001A51-;SCHERDEMAEL;34;35
21001A52-;SCHERDEMAEL-NORD;49;51
21001A53-;NELLIE MELBA;17;18
21001A552;TREFLE;1389;1448
21001A712;SCHEUT - DE SMET;104;108
21001A72-;OSSEGEM;142;148
21001A732;SCHEUTVELD;7;7
21001A74-;SCHEUT-OUEST;132;138
21001A80-;SILLON;102;106
21001A81-;BROECK;808;842
21001A82-;MOORTEBEEK;11;11
21001A83-;PETERBOS;72;75
21001A84-;POESIE;128;133
21001A85-;AUBADE;44;46
21001A90-;SCHEUTKAPEL;181;189
21001A911;SCHEUT-EST;312;325
21001A92-;JAKOB SMITS;63;66
21001A931;AGRAFE-NORBERT GILLE;863;900
21001A941;CROCUS;23;24
21001A95-;BUFFON;54;56
21001B10-;ROSEE-EST;201;210
21001B11-;ROSEE-OUEST;201;210
21001B17-;ABATTOIR;472;492
21001B20-;CONSEIL-NORD;762;794
21001B21-;BROGNIEZ-NORD;358;373
21001B22-;BROGNIEZ-SUD;541;564
21001B23-;CONSEIL-SUD;1069;1114
21001B241;REVISION-SUD;1587;1654
21001B25-;REVISION-NORD;226;236
21001B31-;ALBERT I- IMMEUBLES;1;1
21001B321;ALBERT I- QUARTIER;100;104
21001B332;GOUJONS;45;47
21001B372;DEUX GARES;1680;1751
21001B3MJ;PETITE ILE- RIVE DROITE;5887;6137
21001C512;CHANTS D'OISEAUX;113;118
21001C522;HOPITAL U.L.B.;2430;2533
21001C581;CIMETIERE;312;325
21001C5MA;MEYLEMEERSCH;1799;1875
21001C5PA;MEERVELD;6;6
21001C611;SOETKIN;27;28
21001C6MB;MEYLEMEERSCH-EST;329;343
21001C6PB;ZONE RURALE;34;35
21001C70-;BON AIR - CENTRE;15;16
21001C71-;BON AIR - CITE JARDIN;60;63
