,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
5,21001A83-,PETERBOS,5,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS,21.0
8,21001A3MJ,CERIA I,8,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I,21.0
77,21001A552,TREFLE,77,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A552,TREFLE,21.0
105,21001C611,SOETKIN,105,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001C611,SOETKIN,21.0
175,21001B11-,ROSEE-OUEST,175,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B11-,ROSEE-OUEST,21.0
191,21001A07-,BIRMINGHAM,191,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A07-,BIRMINGHAM,21.0
192,21001B21-,BROGNIEZ-NORD,192,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B21-,BROGNIEZ-NORD,21.0
224,21001A152,LINDE-OUEST,224,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A152,LINDE-OUEST,21.0
292,21004F511,AVENUE DES PAGODES,292,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004F511,AVENUE DES PAGODES,21.0
317,21004C62-,BOENDAAL-OUEST,317,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004C62-,BOENDAAL-OUEST,21.0
342,21004C65-,VIVIER D'OIE,342,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004C65-,VIVIER D'OIE,21.0
375,21004G310,HAREN-SUD-OUEST,375,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,21.0
392,21004G310,HAREN-SUD-OUEST,392,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,21.0
395,21004G310,HAREN-SUD-OUEST,395,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,21.0
396,21004G310,HAREN-SUD-OUEST,396,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004G310,HAREN-SUD-OUEST,21.0
443,21004D6MJ,QUAI DES USINES - MONNOYER,443,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004D6MJ,QUAI DES USINES - MONNOYER,21.0
456,21004D6MJ,QUAI DES USINES - MONNOYER,456,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004D6MJ,QUAI DES USINES - MONNOYER,21.0
486,21004D6MJ,QUAI DES USINES - MONNOYER,486,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21004D6MJ,QUAI DES USINES - MONNOYER,21.0
