Hour;Min;position;regression;proba
0;0;0;0,6336;0,01
0;1;1;0,6296;0,01
0;2;2;0,6256;0,01
0;3;3;0,6216;0,01
0;4;4;0,6176;0,01
0;5;5;0,6136;0,01
0;6;6;0,6096;0,01
0;7;7;0,6056;0,01
0;8;8;0,6016;0,01
0;9;9;0,5976;0,01
0;10;10;0,5936;0,01
0;11;11;0,5896;0,01
0;12;12;0,5856;0,01
0;13;13;0,5816;0,01
0;14;14;0,5776;0,01
0;15;15;0,5736;0,01
0;16;16;0,5696;0,01
0;17;17;0,5656;0,01
0;18;18;0,5616;0,01
0;19;19;0,5576;0,01
0;20;20;0,5536;0,01
0;21;21;0,5496;0,01
0;22;22;0,5456;0,01
0;23;23;0,5416;0,01
0;24;24;0,5376;0,01
0;25;25;0,5336;0,01
0;26;26;0,5296;0,01
0;27;27;0,5256;0,01
0;28;28;0,5216;0,01
0;29;29;0,5176;0,01
0;30;30;0,5136;0,01
0;31;31;0,5096;0,01
0;32;32;0,5056;0,01
0;33;33;0,5016;0,01
0;34;34;0,4976;0,01
0;35;35;0,4936;0,01
0;36;36;0,4896;0,01
0;37;37;0,4856;0,01
0;38;38;0,4816;0,01
0;39;39;0,4776;0,01
0;40;40;0,4736;0,01
0;41;41;0,4696;0,01
0;42;42;0,4656;0,01
0;43;43;0,4616;0,01
0;44;44;0,4576;0,01
0;45;45;0,4536;0,01
0;46;46;0,4496;0,01
0;47;47;0,4456;0,01
0;48;48;0,4416;0,01
0;49;49;0,4376;0,01
0;50;50;0,4336;0,01
0;51;51;0,4296;0,01
0;52;52;0,4256;0,01
0;53;53;0,4216;0,01
0;54;54;0,4176;0,01
0;55;55;0,4136;0,01
0;56;56;0,4096;0,01
0;57;57;0,4056;0,01
0;58;58;0,4016;0,01
0;59;59;0,3976;0,01
1;0;60;0,3936;0,01
1;1;61;0,392266667;0,01
1;2;62;0,390933333;0,01
1;3;63;0,3896;0,01
1;4;64;0,388266667;0,01
1;5;65;0,386933333;0,01
1;6;66;0,3856;0,01
1;7;67;0,384266667;0,01
1;8;68;0,382933333;0,01
1;9;69;0,3816;0,01
1;10;70;0,380266667;0,01
1;11;71;0,378933333;0,01
1;12;72;0,3776;0,01
1;13;73;0,376266667;0,01
1;14;74;0,374933333;0,01
1;15;75;0,3736;0,01
1;16;76;0,372266667;0,01
1;17;77;0,370933333;0,01
1;18;78;0,3696;0,01
1;19;79;0,368266667;0,01
1;20;80;0,366933333;0,01
1;21;81;0,3656;0,01
1;22;82;0,364266667;0,01
1;23;83;0,362933333;0,01
1;24;84;0,3616;0,01
1;25;85;0,360266667;0,01
1;26;86;0,358933333;0,01
1;27;87;0,3576;0,01
1;28;88;0,356266667;0,01
1;29;89;0,354933333;0,01
1;30;90;0,3536;0,01
1;31;91;0,352266667;0,01
1;32;92;0,350933333;0,01
1;33;93;0,3496;0,01
1;34;94;0,348266667;0,01
1;35;95;0,346933333;0,01
1;36;96;0,3456;0,01
1;37;97;0,344266667;0,01
1;38;98;0,342933333;0,01
1;39;99;0,3416;0,01
1;40;100;0,340266667;0,01
1;41;101;0,338933333;0,01
1;42;102;0,3376;0,01
1;43;103;0,336266667;0,01
1;44;104;0,334933333;0,01
1;45;105;0,3336;0,01
1;46;106;0,332266667;0,01
1;47;107;0,330933333;0,01
1;48;108;0,3296;0,01
1;49;109;0,328266667;0,01
1;50;110;0,326933333;0,01
1;51;111;0,3256;0,01
1;52;112;0,324266667;0,01
1;53;113;0,322933333;0,01
1;54;114;0,3216;0,01
1;55;115;0,320266667;0,01
1;56;116;0,318933333;0,01
1;57;117;0,3176;0,01
1;58;118;0,316266667;0,01
1;59;119;0,314933333;0,01
2;0;120;0,3136;0,01
2;1;121;0,310933333;0,01
2;2;122;0,308266667;0,01
2;3;123;0,3056;0,01
2;4;124;0,302933333;0,01
2;5;125;0,300266667;0,01
2;6;126;0,2976;0,00
2;7;127;0,294933333;0,00
2;8;128;0,292266667;0,00
2;9;129;0,2896;0,00
2;10;130;0,286933333;0,00
2;11;131;0,284266667;0,00
2;12;132;0,2816;0,00
2;13;133;0,278933333;0,00
2;14;134;0,276266667;0,00
2;15;135;0,2736;0,00
2;16;136;0,270933333;0,00
2;17;137;0,268266667;0,00
2;18;138;0,2656;0,00
2;19;139;0,262933333;0,00
2;20;140;0,260266667;0,00
2;21;141;0,2576;0,00
2;22;142;0,254933333;0,00
2;23;143;0,252266667;0,00
2;24;144;0,2496;0,00
2;25;145;0,246933333;0,00
2;26;146;0,244266667;0,00
2;27;147;0,2416;0,00
2;28;148;0,238933333;0,00
2;29;149;0,236266667;0,00
2;30;150;0,2336;0,00
2;31;151;0,230933333;0,00
2;32;152;0,228266667;0,00
2;33;153;0,2256;0,00
2;34;154;0,222933333;0,00
2;35;155;0,220266667;0,00
2;36;156;0,2176;0,00
2;37;157;0,214933333;0,00
2;38;158;0,212266667;0,00
2;39;159;0,2096;0,00
2;40;160;0,206933333;0,00
2;41;161;0,204266667;0,00
2;42;162;0,2016;0,00
2;43;163;0,198933333;0,00
2;44;164;0,196266667;0,00
2;45;165;0,1936;0,00
2;46;166;0,190933333;0,00
2;47;167;0,188266667;0,00
2;48;168;0,1856;0,00
2;49;169;0,182933333;0,00
2;50;170;0,180266667;0,00
2;51;171;0,1776;0,00
2;52;172;0,174933333;0,00
2;53;173;0,172266667;0,00
2;54;174;0,1696;0,00
2;55;175;0,166933333;0,00
2;56;176;0,164266667;0,00
2;57;177;0,1616;0,00
2;58;178;0,158933333;0,00
2;59;179;0,156266667;0,00
3;0;180;0,1536;0,00
3;1;181;0,1536;0,00
3;2;182;0,1536;0,00
3;3;183;0,1536;0,00
3;4;184;0,1536;0,00
3;5;185;0,1536;0,00
3;6;186;0,1536;0,00
3;7;187;0,1536;0,00
3;8;188;0,1536;0,00
3;9;189;0,1536;0,00
3;10;190;0,1536;0,00
3;11;191;0,1536;0,00
3;12;192;0,1536;0,00
3;13;193;0,1536;0,00
3;14;194;0,1536;0,00
3;15;195;0,1536;0,00
3;16;196;0,1536;0,00
3;17;197;0,1536;0,00
3;18;198;0,1536;0,00
3;19;199;0,1536;0,00
3;20;200;0,1536;0,00
3;21;201;0,1536;0,00
3;22;202;0,1536;0,00
3;23;203;0,1536;0,00
3;24;204;0,1536;0,00
