,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType
0,21001A34-,ROUE - CITE JARDIN,29542,18,1,female,child,16020,1,couple_with_child,21001A34-,Anderlecht,21001A34-,ROUE - CITE JARDIN,Anderlecht,7,StayHome
1,21001B21-,BROGNIEZ-NORD,90946,18,1,female,parent,48540,3,single,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,7,StayHome
2,21006A011,CENTRE,473287,18,1,female,child,259436,1,couple_with_child,21006A011,Evere,21006A011,CENTRE,Evere,7,StayHome
3,21007A61-,MONTENEGRO (RUE),501720,18,1,female,child,274238,1,couple_with_child,21007A61-,Forest,21007A61-,MONTENEGRO (RUE),Forest,7,StayHome
4,21010A00-,CENTRE,626244,18,1,female,child,347044,1,couple_with_child,21010A00-,Jette,21010A00-,CENTRE,Jette,7,StayHome
5,21016A701,MERLO,1032534,18,1,female,child,559408,1,couple_with_child,21016A701,Uccle,21016A701,MERLO,Uccle,7,StayHome
6,21001A011,KLEINMOLEN,84822,18,0,male,parent,45392,1,couple_with_child,21001A011,Anderlecht,21001A011,KLEINMOLEN,Anderlecht,7,StayHome
7,21001A112,BIESTEBROEK,125444,18,0,male,parent,66102,3,single,21001A112,Anderlecht,21001A112,BIESTEBROEK,Anderlecht,7,StayHome
8,21001B31-,ALBERT I- IMMEUBLES,73679,18,0,male,child,39913,1,couple_with_child,21001B31-,Anderlecht,21001B31-,ALBERT I- IMMEUBLES,Anderlecht,7,StayHome
9,21001B20-,CONSEIL-NORD,60748,18,0,male,parent,32527,2,couple_no_child,21001B20-,Anderlecht,21001B20-,CONSEIL-NORD,Anderlecht,7,StayHome
10,21001A80-,SILLON,47617,18,0,male,parent,25973,1,couple_with_child,21001A80-,Anderlecht,21001A80-,SILLON,Anderlecht,7,StayHome
11,21001A041,VEEWEYDE-SUD,2061,18,0,male,parent,821,2,couple_no_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,7,StayHome
12,21001A32-,AURORE,13658,18,0,male,child,7571,4,single_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,7,StayHome
13,21001A451,VENIZELOS,41452,18,0,male,child,22791,1,couple_with_child,21001A451,Anderlecht,21001A451,VENIZELOS,Anderlecht,7,StayHome
14,21001B332,GOUJONS,113010,18,0,male,parent,59716,1,couple_with_child,21001B332,Anderlecht,21001B332,GOUJONS,Anderlecht,7,StayHome
15,21001A95-,BUFFON,108666,18,0,male,parent,57335,2,couple_no_child,21001A95-,Anderlecht,21001A95-,BUFFON,Anderlecht,7,StayHome
