,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune
6832,21001A83-,PETERBOS,6832,19,1,female,parent,3536,6,collectif,21001A83-,Anderlecht
6833,21001A83-,PETERBOS,6833,19,1,female,parent,3537,6,collectif,21001A83-,Anderlecht
6834,21001A83-,PETERBOS,6834,19,1,female,parent,3538,6,collectif,21001A83-,Anderlecht
6835,21001A83-,PETERBOS,6835,19,1,female,parent,3539,6,collectif,21001A83-,Anderlecht
6836,21001A83-,PETERBOS,6836,19,1,female,parent,3540,6,collectif,21001A83-,Anderlecht
6837,21001A83-,PETERBOS,6837,19,1,female,parent,3541,6,collectif,21001A83-,Anderlecht
6838,21001A83-,PETERBOS,6838,19,1,female,parent,3542,6,collectif,21001A83-,Anderlecht
10213,21001A332,ROUE,10223,19,1,female,parent,5571,6,collectif,21001A332,Anderlecht
10214,21001A332,ROUE,10224,19,1,female,parent,5572,6,collectif,21001A332,Anderlecht
10312,21001A332,ROUE,10322,20,0,male,parent,5670,6,collectif,21001A332,Anderlecht
10313,21001A332,ROUE,10323,20,0,male,parent,5671,6,collectif,21001A332,Anderlecht
10314,21001A332,ROUE,10324,20,0,male,parent,5672,6,collectif,21001A332,Anderlecht
10315,21001A332,ROUE,10325,19,0,male,parent,5673,6,collectif,21001A332,Anderlecht
10316,21001A332,ROUE,10326,19,0,male,parent,5674,6,collectif,21001A332,Anderlecht
10317,21001A332,ROUE,10327,19,0,male,parent,5675,6,collectif,21001A332,Anderlecht
10318,21001A332,ROUE,10328,18,0,male,parent,5676,6,collectif,21001A332,Anderlecht
10319,21001A332,ROUE,10329,18,0,male,parent,5677,6,collectif,21001A332,Anderlecht
10320,21001A332,ROUE,10330,18,0,male,parent,5678,6,collectif,21001A332,Anderlecht
10321,21001A332,ROUE,10331,18,0,male,parent,5679,6,collectif,21001A332,Anderlecht
20908,21001A85-,AUBADE,20919,20,1,female,parent,11407,6,collectif,21001A85-,Anderlecht
20909,21001A85-,AUBADE,20920,20,1,female,parent,11408,6,collectif,21001A85-,Anderlecht
23360,21001A42-,KAT,23372,20,1,female,parent,12897,6,collectif,21001A42-,Anderlecht
23423,21001A42-,KAT,23435,19,0,male,parent,12960,6,collectif,21001A42-,Anderlecht
23424,21001A42-,KAT,23436,19,0,male,parent,12961,6,collectif,21001A42-,Anderlecht
23425,21001A42-,KAT,23437,19,0,male,parent,12962,6,collectif,21001A42-,Anderlecht
23426,21001A42-,KAT,23438,18,0,male,parent,12963,6,collectif,21001A42-,Anderlecht
23427,21001A42-,KAT,23439,18,0,male,parent,12964,6,collectif,21001A42-,Anderlecht
23428,21001A42-,KAT,23440,18,0,male,parent,12965,6,collectif,21001A42-,Anderlecht
23429,21001A42-,KAT,23441,18,0,male,parent,12966,6,collectif,21001A42-,Anderlecht
23932,21001A52-,SCHERDEMAEL-NORD,23944,20,1,female,parent,13231,6,collectif,21001A52-,Anderlecht
24279,21001C70-,BON AIR - CENTRE,24293,19,1,female,parent,13446,6,collectif,21001C70-,Anderlecht
24280,21001C70-,BON AIR - CENTRE,24294,18,1,female,parent,13447,6,collectif,21001C70-,Anderlecht
28294,21001A84-,POESIE,28309,19,1,female,parent,15474,6,collectif,21001A84-,Anderlecht
28295,21001A84-,POESIE,28310,19,1,female,parent,15475,6,collectif,21001A84-,Anderlecht
28296,21001A84-,POESIE,28311,19,1,female,parent,15476,6,collectif,21001A84-,Anderlecht
30499,21001A34-,ROUE - CITE JARDIN,30515,19,1,female,parent,16525,6,collectif,21001A34-,Anderlecht
30500,21001A34-,ROUE - CITE JARDIN,30516,19,1,female,parent,16526,6,collectif,21001A34-,Anderlecht
30501,21001A34-,ROUE - CITE JARDIN,30517,19,1,female,parent,16527,6,collectif,21001A34-,Anderlecht
30502,21001A34-,ROUE - CITE JARDIN,30518,19,1,female,parent,16528,6,collectif,21001A34-,Anderlecht
