,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName,WorkerID,WorkerType
2694,21001A041,VEEWEYDE-SUD,2836,5,0,male,parent,1406,6,collectif,10,Hospital
2695,21001A041,VEEWEYDE-SUD,2837,5,0,male,parent,1407,6,collectif,10,Hospital
6616,21001A83-,PETERBOS,7166,5,0,male,parent,3870,6,collectif,10,Hospital
6617,21001A83-,PETERBOS,7171,5,0,male,parent,3875,6,collectif,10,Hospital
6618,21001A83-,PETERBOS,7172,5,0,male,parent,3876,6,collectif,10,Hospital
9509,21001A332,ROUE,10273,5,1,female,parent,5621,6,collectif,10,Hospital
9580,21001A332,ROUE,10394,5,0,male,parent,5742,6,collectif,10,Hospital
11718,21001A401,ARBORETUM,12659,5,0,male,parent,6946,6,collectif,10,Hospital
19536,21001A85-,AUBADE,20941,5,1,female,parent,11429,6,collectif,10,Hospital
19537,21001A85-,AUBADE,20942,5,1,female,parent,11430,6,collectif,10,Hospital
19538,21001A85-,AUBADE,20943,3,1,female,parent,11431,6,collectif,10,Hospital
19539,21001A85-,AUBADE,20944,3,1,female,parent,11432,6,collectif,10,Hospital
19616,21001A85-,AUBADE,21032,5,0,male,parent,11520,6,collectif,10,Hospital
19617,21001A85-,AUBADE,21034,5,0,male,parent,11522,6,collectif,10,Hospital
19618,21001A85-,AUBADE,21035,5,0,male,parent,11523,6,collectif,10,Hospital
19619,21001A85-,AUBADE,21036,5,0,male,parent,11524,6,collectif,10,Hospital
19620,21001A85-,AUBADE,21037,5,0,male,parent,11525,6,collectif,10,Hospital
19621,21001A85-,AUBADE,21038,4,0,male,parent,11526,6,collectif,10,Hospital
19622,21001A85-,AUBADE,21039,4,0,male,parent,11527,6,collectif,10,Hospital
19623,21001A85-,AUBADE,21040,4,0,male,parent,11528,6,collectif,10,Hospital
19624,21001A85-,AUBADE,21041,4,0,male,parent,11529,6,collectif,10,Hospital
19625,21001A85-,AUBADE,21042,4,0,male,parent,11530,6,collectif,10,Hospital
21888,21001A42-,KAT,23469,5,0,male,parent,12994,6,collectif,10,Hospital
21889,21001A42-,KAT,23470,5,0,male,parent,12995,6,collectif,10,Hospital
21890,21001A42-,KAT,23471,5,0,male,parent,12996,6,collectif,10,Hospital
22405,21001A52-,SCHERDEMAEL-NORD,24034,4,0,male,parent,13321,6,collectif,10,Hospital
22406,21001A52-,SCHERDEMAEL-NORD,24035,3,0,male,parent,13322,6,collectif,10,Hospital
22665,21001C70-,BON AIR - CENTRE,24303,5,1,female,parent,13456,6,collectif,10,Hospital
26425,21001A84-,POESIE,28335,4,1,female,parent,15500,6,collectif,10,Hospital
26426,21001A84-,POESIE,28337,4,1,female,parent,15502,6,collectif,10,Hospital
26427,21001A84-,POESIE,28338,4,1,female,parent,15503,6,collectif,10,Hospital
26428,21001A84-,POESIE,28339,3,1,female,parent,15504,6,collectif,10,Hospital
26429,21001A84-,POESIE,28342,3,1,female,parent,15507,6,collectif,10,Hospital
26430,21001A84-,POESIE,28343,3,1,female,parent,15508,6,collectif,10,Hospital
26442,21001A84-,POESIE,28401,4,0,male,parent,15566,6,collectif,10,Hospital
32116,21001A441,DOCTEUR ROUX,34382,5,1,female,parent,18669,6,collectif,10,Hospital
32117,21001A441,DOCTEUR ROUX,34383,5,1,female,parent,18670,6,collectif,10,Hospital
32272,21001A441,DOCTEUR ROUX,34567,4,0,male,parent,18854,6,collectif,10,Hospital
33785,21001C512,CHANTS D'OISEAUX,36232,5,0,male,parent,19875,6,collectif,10,Hospital
33786,21001C512,CHANTS D'OISEAUX,36233,5,0,male,parent,19876,6,collectif,10,Hospital
33787,21001C512,CHANTS D'OISEAUX,36235,4,0,male,parent,19878,6,collectif,10,Hospital
37010,21001A82-,MOORTEBEEK,39637,5,1,female,parent,21712,6,collectif,10,Hospital
37011,21001A82-,MOORTEBEEK,39638,5,1,female,parent,21713,6,collectif,10,Hospital
37012,21001A82-,MOORTEBEEK,39639,5,1,female,parent,21714,6,collectif,10,Hospital
37013,21001A82-,MOORTEBEEK,39640,5,1,female,parent,21715,6,collectif,10,Hospital
37014,21001A82-,MOORTEBEEK,39643,5,1,female,parent,21718,6,collectif,10,Hospital
37050,21001A82-,MOORTEBEEK,39758,5,0,male,parent,21833,6,collectif,10,Hospital
42140,21001A30-,BIZET,45097,5,1,female,parent,24676,6,collectif,10,Hospital
42141,21001A30-,BIZET,45098,5,1,female,parent,24677,6,collectif,10,Hospital
42142,21001A30-,BIZET,45099,5,1,female,parent,24678,6,collectif,10,Hospital
42143,21001A30-,BIZET,45100,5,1,female,parent,24679,6,collectif,10,Hospital
42144,21001A30-,BIZET,45101,5,1,female,parent,24680,6,collectif,10,Hospital
42145,21001A30-,BIZET,45102,5,1,female,parent,24681,6,collectif,10,Hospital
42146,21001A30-,BIZET,45103,5,1,female,parent,24682,6,collectif,10,Hospital
47946,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51474,4,0,male,parent,28360,6,collectif,10,Hospital
47947,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51475,4,0,male,parent,28361,6,collectif,10,Hospital
49898,21001A031,RAUTER-SUD,53521,5,0,male,parent,29443,6,collectif,10,Hospital
51077,21001B22-,BROGNIEZ-SUD,54704,5,1,female,parent,30026,6,collectif,10,Hospital
51078,21001B22-,BROGNIEZ-SUD,54705,5,1,female,parent,30027,6,collectif,10,Hospital
51079,21001B22-,BROGNIEZ-SUD,54706,5,1,female,parent,30028,6,collectif,10,Hospital
51080,21001B22-,BROGNIEZ-SUD,54707,5,1,female,parent,30029,6,collectif,10,Hospital
51081,21001B22-,BROGNIEZ-SUD,54708,5,1,female,parent,30030,6,collectif,10,Hospital
51082,21001B22-,BROGNIEZ-SUD,54709,5,1,female,parent,30031,6,collectif,10,Hospital
51083,21001B22-,BROGNIEZ-SUD,54710,5,1,female,parent,30032,6,collectif,10,Hospital
51084,21001B22-,BROGNIEZ-SUD,54711,5,1,female,parent,30033,6,collectif,10,Hospital
51085,21001B22-,BROGNIEZ-SUD,54712,4,1,female,parent,30034,6,collectif,10,Hospital
51086,21001B22-,BROGNIEZ-SUD,54713,4,1,female,parent,30035,6,collectif,10,Hospital
51087,21001B22-,BROGNIEZ-SUD,54714,4,1,female,parent,30036,6,collectif,10,Hospital
51088,21001B22-,BROGNIEZ-SUD,54715,4,1,female,parent,30037,6,collectif,10,Hospital
51089,21001B22-,BROGNIEZ-SUD,54716,4,1,female,parent,30038,6,collectif,10,Hospital
51090,21001B22-,BROGNIEZ-SUD,54717,4,1,female,parent,30039,6,collectif,10,Hospital
51091,21001B22-,BROGNIEZ-SUD,54718,4,1,female,parent,30040,6,collectif,10,Hospital
51092,21001B22-,BROGNIEZ-SUD,54719,3,1,female,parent,30041,6,collectif,10,Hospital
51156,21001B22-,BROGNIEZ-SUD,54822,4,0,male,parent,30144,6,collectif,10,Hospital
51157,21001B22-,BROGNIEZ-SUD,54824,4,0,male,parent,30146,6,collectif,10,Hospital
