,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName,WorkerID,WorkerType
2681,21001A041,VEEWEYDE-SUD,2816,11,0,male,parent,1386,6,collectif,10,Hospital
2682,21001A041,VEEWEYDE-SUD,2817,11,0,male,parent,1387,6,collectif,10,Hospital
2683,21001A041,VEEWEYDE-SUD,2818,11,0,male,parent,1388,6,collectif,10,Hospital
2684,21001A041,VEEWEYDE-SUD,2819,11,0,male,parent,1389,6,collectif,10,Hospital
2685,21001A041,VEEWEYDE-SUD,2820,10,0,male,parent,1390,6,collectif,10,Hospital
2686,21001A041,VEEWEYDE-SUD,2822,10,0,male,parent,1392,6,collectif,10,Hospital
2687,21001A041,VEEWEYDE-SUD,2825,9,0,male,parent,1395,6,collectif,10,Hospital
2688,21001A041,VEEWEYDE-SUD,2827,9,0,male,parent,1397,6,collectif,10,Hospital
2689,21001A041,VEEWEYDE-SUD,2828,9,0,male,parent,1398,6,collectif,10,Hospital
2690,21001A041,VEEWEYDE-SUD,2829,9,0,male,parent,1399,6,collectif,10,Hospital
2691,21001A041,VEEWEYDE-SUD,2832,8,0,male,parent,1402,6,collectif,10,Hospital
2692,21001A041,VEEWEYDE-SUD,2833,8,0,male,parent,1403,6,collectif,10,Hospital
2693,21001A041,VEEWEYDE-SUD,2835,7,0,male,parent,1405,6,collectif,10,Hospital
6608,21001A83-,PETERBOS,7128,11,0,male,parent,3832,6,collectif,10,Hospital
6609,21001A83-,PETERBOS,7134,10,0,male,parent,3838,6,collectif,10,Hospital
6610,21001A83-,PETERBOS,7136,10,0,male,parent,3840,6,collectif,10,Hospital
6611,21001A83-,PETERBOS,7144,9,0,male,parent,3848,6,collectif,10,Hospital
6612,21001A83-,PETERBOS,7147,9,0,male,parent,3851,6,collectif,10,Hospital
6613,21001A83-,PETERBOS,7148,9,0,male,parent,3852,6,collectif,10,Hospital
6614,21001A83-,PETERBOS,7160,8,0,male,parent,3864,6,collectif,10,Hospital
6615,21001A83-,PETERBOS,7162,8,0,male,parent,3866,6,collectif,10,Hospital
9505,21001A332,ROUE,10252,11,1,female,parent,5600,6,collectif,10,Hospital
9506,21001A332,ROUE,10258,10,1,female,parent,5606,6,collectif,10,Hospital
9507,21001A332,ROUE,10261,9,1,female,parent,5609,6,collectif,10,Hospital
9508,21001A332,ROUE,10268,8,1,female,parent,5616,6,collectif,10,Hospital
9560,21001A332,ROUE,10365,11,0,male,parent,5713,6,collectif,10,Hospital
9561,21001A332,ROUE,10366,11,0,male,parent,5714,6,collectif,10,Hospital
9562,21001A332,ROUE,10367,11,0,male,parent,5715,6,collectif,10,Hospital
9563,21001A332,ROUE,10368,11,0,male,parent,5716,6,collectif,10,Hospital
9564,21001A332,ROUE,10370,10,0,male,parent,5718,6,collectif,10,Hospital
9565,21001A332,ROUE,10371,10,0,male,parent,5719,6,collectif,10,Hospital
9566,21001A332,ROUE,10372,10,0,male,parent,5720,6,collectif,10,Hospital
9567,21001A332,ROUE,10373,9,0,male,parent,5721,6,collectif,10,Hospital
9568,21001A332,ROUE,10375,9,0,male,parent,5723,6,collectif,10,Hospital
9569,21001A332,ROUE,10376,9,0,male,parent,5724,6,collectif,10,Hospital
9570,21001A332,ROUE,10378,8,0,male,parent,5726,6,collectif,10,Hospital
9571,21001A332,ROUE,10380,8,0,male,parent,5728,6,collectif,10,Hospital
9572,21001A332,ROUE,10381,8,0,male,parent,5729,6,collectif,10,Hospital
9573,21001A332,ROUE,10382,8,0,male,parent,5730,6,collectif,10,Hospital
9574,21001A332,ROUE,10383,7,0,male,parent,5731,6,collectif,10,Hospital
9575,21001A332,ROUE,10386,7,0,male,parent,5734,6,collectif,10,Hospital
9576,21001A332,ROUE,10388,6,0,male,parent,5736,6,collectif,10,Hospital
9577,21001A332,ROUE,10389,6,0,male,parent,5737,6,collectif,10,Hospital
9578,21001A332,ROUE,10390,6,0,male,parent,5738,6,collectif,10,Hospital
9579,21001A332,ROUE,10391,6,0,male,parent,5739,6,collectif,10,Hospital
11714,21001A401,ARBORETUM,12654,11,0,male,parent,6941,6,collectif,10,Hospital
11715,21001A401,ARBORETUM,12656,9,0,male,parent,6943,6,collectif,10,Hospital
11716,21001A401,ARBORETUM,12657,8,0,male,parent,6944,6,collectif,10,Hospital
11717,21001A401,ARBORETUM,12658,8,0,male,parent,6945,6,collectif,10,Hospital
16513,21001A53-,NELLIE MELBA,17718,10,1,female,parent,9632,6,collectif,10,Hospital
16514,21001A53-,NELLIE MELBA,17719,8,1,female,parent,9633,6,collectif,10,Hospital
16515,21001A53-,NELLIE MELBA,17720,6,1,female,parent,9634,6,collectif,10,Hospital
16516,21001A53-,NELLIE MELBA,17721,6,1,female,parent,9635,6,collectif,10,Hospital
16551,21001A53-,NELLIE MELBA,17764,9,0,male,parent,9678,6,collectif,10,Hospital
16552,21001A53-,NELLIE MELBA,17765,9,0,male,parent,9679,6,collectif,10,Hospital
16553,21001A53-,NELLIE MELBA,17767,7,0,male,parent,9681,6,collectif,10,Hospital
16554,21001A53-,NELLIE MELBA,17768,7,0,male,parent,9682,6,collectif,10,Hospital
18867,21001A41-,ROMAIN ROLLAND,20210,9,1,female,parent,11020,6,collectif,10,Hospital
18868,21001A41-,ROMAIN ROLLAND,20211,9,1,female,parent,11021,6,collectif,10,Hospital
18869,21001A41-,ROMAIN ROLLAND,20213,8,1,female,parent,11023,6,collectif,10,Hospital
