,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName,WorkerID,WorkerType
2670,21001A041,VEEWEYDE-SUD,2794,15,0,male,parent,1364,6,collectif,10,Hospital
2671,21001A041,VEEWEYDE-SUD,2795,15,0,male,parent,1365,6,collectif,10,Hospital
2672,21001A041,VEEWEYDE-SUD,2796,15,0,male,parent,1366,6,collectif,10,Hospital
2673,21001A041,VEEWEYDE-SUD,2798,14,0,male,parent,1368,6,collectif,10,Hospital
2674,21001A041,VEEWEYDE-SUD,2799,14,0,male,parent,1369,6,collectif,10,Hospital
2675,21001A041,VEEWEYDE-SUD,2802,13,0,male,parent,1372,6,collectif,10,Hospital
2676,21001A041,VEEWEYDE-SUD,2803,13,0,male,parent,1373,6,collectif,10,Hospital
2677,21001A041,VEEWEYDE-SUD,2804,13,0,male,parent,1374,6,collectif,10,Hospital
2678,21001A041,VEEWEYDE-SUD,2806,12,0,male,parent,1376,6,collectif,10,Hospital
2679,21001A041,VEEWEYDE-SUD,2807,12,0,male,parent,1377,6,collectif,10,Hospital
2680,21001A041,VEEWEYDE-SUD,2812,12,0,male,parent,1382,6,collectif,10,Hospital
3507,21001A472,STADE COMMUNAL - INDUSTRIE,3694,15,1,female,parent,1861,6,collectif,10,Hospital
3548,21001A472,STADE COMMUNAL - INDUSTRIE,3760,15,0,male,parent,1927,6,collectif,10,Hospital
3549,21001A472,STADE COMMUNAL - INDUSTRIE,3761,15,0,male,parent,1928,6,collectif,10,Hospital
3550,21001A472,STADE COMMUNAL - INDUSTRIE,3762,15,0,male,parent,1929,6,collectif,10,Hospital
3551,21001A472,STADE COMMUNAL - INDUSTRIE,3764,13,0,male,parent,1931,6,collectif,10,Hospital
3552,21001A472,STADE COMMUNAL - INDUSTRIE,3765,13,0,male,parent,1932,6,collectif,10,Hospital
3553,21001A472,STADE COMMUNAL - INDUSTRIE,3766,13,0,male,parent,1933,6,collectif,10,Hospital
3554,21001A472,STADE COMMUNAL - INDUSTRIE,3767,12,0,male,parent,1934,6,collectif,10,Hospital
6590,21001A83-,PETERBOS,7076,15,0,male,parent,3780,6,collectif,10,Hospital
6591,21001A83-,PETERBOS,7079,15,0,male,parent,3783,6,collectif,10,Hospital
6592,21001A83-,PETERBOS,7083,14,0,male,parent,3787,6,collectif,10,Hospital
6593,21001A83-,PETERBOS,7090,14,0,male,parent,3794,6,collectif,10,Hospital
6594,21001A83-,PETERBOS,7092,13,0,male,parent,3796,6,collectif,10,Hospital
6595,21001A83-,PETERBOS,7093,13,0,male,parent,3797,6,collectif,10,Hospital
6596,21001A83-,PETERBOS,7095,13,0,male,parent,3799,6,collectif,10,Hospital
6597,21001A83-,PETERBOS,7096,13,0,male,parent,3800,6,collectif,10,Hospital
6598,21001A83-,PETERBOS,7099,13,0,male,parent,3803,6,collectif,10,Hospital
6599,21001A83-,PETERBOS,7100,13,0,male,parent,3804,6,collectif,10,Hospital
