,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune
2619,2619,21001A041,VEEWEYDE-SUD,2619,84,1,female,parent,1189,6,collectif,21001A041,Anderlecht
2620,2620,21001A041,VEEWEYDE-SUD,2620,83,1,female,parent,1190,6,collectif,21001A041,Anderlecht
2622,2622,21001A041,VEEWEYDE-SUD,2622,83,1,female,parent,1192,6,collectif,21001A041,Anderlecht
2626,2626,21001A041,VEEWEYDE-SUD,2626,81,1,female,parent,1196,6,collectif,21001A041,Anderlecht
2627,2627,21001A041,VEEWEYDE-SUD,2627,81,1,female,parent,1197,6,collectif,21001A041,Anderlecht
2628,2628,21001A041,VEEWEYDE-SUD,2628,81,1,female,parent,1198,6,collectif,21001A041,Anderlecht
2630,2630,21001A041,VEEWEYDE-SUD,2630,80,1,female,parent,1200,6,collectif,21001A041,Anderlecht
2631,2631,21001A041,VEEWEYDE-SUD,2631,80,1,female,parent,1201,6,collectif,21001A041,Anderlecht
2635,2635,21001A041,VEEWEYDE-SUD,2635,78,1,female,parent,1205,6,collectif,21001A041,Anderlecht
2636,2636,21001A041,VEEWEYDE-SUD,2636,78,1,female,parent,1206,6,collectif,21001A041,Anderlecht
2637,2637,21001A041,VEEWEYDE-SUD,2637,78,1,female,parent,1207,6,collectif,21001A041,Anderlecht
2638,2638,21001A041,VEEWEYDE-SUD,2638,77,1,female,parent,1208,6,collectif,21001A041,Anderlecht
2639,2639,21001A041,VEEWEYDE-SUD,2639,77,1,female,parent,1209,6,collectif,21001A041,Anderlecht
2640,2640,21001A041,VEEWEYDE-SUD,2640,77,1,female,parent,1210,6,collectif,21001A041,Anderlecht
2642,2642,21001A041,VEEWEYDE-SUD,2642,76,1,female,parent,1212,6,collectif,21001A041,Anderlecht
2643,2643,21001A041,VEEWEYDE-SUD,2643,75,1,female,parent,1213,6,collectif,21001A041,Anderlecht
2645,2645,21001A041,VEEWEYDE-SUD,2645,74,1,female,parent,1215,6,collectif,21001A041,Anderlecht
2648,2648,21001A041,VEEWEYDE-SUD,2648,74,1,female,parent,1218,6,collectif,21001A041,Anderlecht
2649,2649,21001A041,VEEWEYDE-SUD,2649,74,1,female,parent,1219,6,collectif,21001A041,Anderlecht
2651,2651,21001A041,VEEWEYDE-SUD,2651,73,1,female,parent,1221,6,collectif,21001A041,Anderlecht
2652,2652,21001A041,VEEWEYDE-SUD,2652,73,1,female,parent,1222,6,collectif,21001A041,Anderlecht
2656,2656,21001A041,VEEWEYDE-SUD,2656,72,1,female,parent,1226,6,collectif,21001A041,Anderlecht
2661,2661,21001A041,VEEWEYDE-SUD,2661,71,1,female,parent,1231,6,collectif,21001A041,Anderlecht
2662,2662,21001A041,VEEWEYDE-SUD,2662,71,1,female,parent,1232,6,collectif,21001A041,Anderlecht
2669,2669,21001A041,VEEWEYDE-SUD,2669,67,1,female,parent,1239,6,collectif,21001A041,Anderlecht
2670,2670,21001A041,VEEWEYDE-SUD,2670,66,1,female,parent,1240,6,collectif,21001A041,Anderlecht
2671,2671,21001A041,VEEWEYDE-SUD,2671,65,1,female,parent,1241,6,collectif,21001A041,Anderlecht
2672,2672,21001A041,VEEWEYDE-SUD,2672,65,1,female,parent,1242,6,collectif,21001A041,Anderlecht
2713,2713,21001A041,VEEWEYDE-SUD,2713,81,0,male,parent,1283,6,collectif,21001A041,Anderlecht
2714,2714,21001A041,VEEWEYDE-SUD,2714,80,0,male,parent,1284,6,collectif,21001A041,Anderlecht
2718,2718,21001A041,VEEWEYDE-SUD,2718,79,0,male,parent,1288,6,collectif,21001A041,Anderlecht
2721,2721,21001A041,VEEWEYDE-SUD,2721,78,0,male,parent,1291,6,collectif,21001A041,Anderlecht
2722,2722,21001A041,VEEWEYDE-SUD,2722,77,0,male,parent,1292,6,collectif,21001A041,Anderlecht
2723,2723,21001A041,VEEWEYDE-SUD,2723,77,0,male,parent,1293,6,collectif,21001A041,Anderlecht
2727,2727,21001A041,VEEWEYDE-SUD,2727,75,0,male,parent,1297,6,collectif,21001A041,Anderlecht
2730,2730,21001A041,VEEWEYDE-SUD,2730,69,0,male,parent,1300,6,collectif,21001A041,Anderlecht
2732,2732,21001A041,VEEWEYDE-SUD,2732,69,0,male,parent,1302,6,collectif,21001A041,Anderlecht
2733,2733,21001A041,VEEWEYDE-SUD,2733,69,0,male,parent,1303,6,collectif,21001A041,Anderlecht
2737,2737,21001A041,VEEWEYDE-SUD,2737,68,0,male,parent,1307,6,collectif,21001A041,Anderlecht
