,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004G30-,SAINTE-ELISABETH,203382,21,1,female,child,107714,4,single_with_child,21004G30-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
1,21004A70-,BLAES (RUE)-SUD,254035,21,1,female,parent,136380,2,couple_no_child,21004A70-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
2,21004A22-,SENNE (RUE DE LA),264497,21,1,female,parent,142985,3,single,21004A22-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
3,21004F930,COIN DES CERISES,206417,21,1,female,child,109216,1,couple_with_child,21004F930,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
4,21004E12-,PRINCE LEOPOLD (SQUARE),352373,21,1,female,parent,191323,1,couple_with_child,21004E12-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
5,21004F531,RUE DES FAINES,232358,21,1,female,parent,124588,3,single,21004F531,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
6,21004A70-,BLAES (RUE)-SUD,254043,21,1,female,parent,136387,4,single_with_child,21004A70-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
7,21004A22-,SENNE (RUE DE LA),264467,21,1,female,parent,142971,1,couple_with_child,21004A22-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
8,21004F94-,VAL MARIA,199720,21,1,female,parent,105872,1,couple_with_child,21004F94-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
9,21004C63-,NATIONS (SQUARE DES),244732,21,1,female,parent,131274,1,couple_with_child,21004C63-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
