,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
92,21001A031,RAUTER-SUD,53223,19,1,female,parent,29191,5,colloc,21001A031,Anderlecht,4 or 5,Unif on or off campus
101,21004A70-,BLAES (RUE)-SUD,255129,19,1,female,parent,137234,5,colloc,21004A70-,Bruxelles,4 or 5,Unif on or off campus
128,21012A62-,LIBERATEURS,716278,19,1,female,parent,392257,5,colloc,21012A62-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
133,21001A011,KLEINMOLEN,85633,19,1,female,parent,46037,5,colloc,21001A011,Anderlecht,4 or 5,Unif on or off campus
195,21001A011,KLEINMOLEN,85639,19,1,female,parent,46038,5,colloc,21001A011,Anderlecht,4 or 5,Unif on or off campus
248,21012A62-,LIBERATEURS,716274,19,1,female,parent,392257,5,colloc,21012A62-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
311,21004F522,AVENUE DE VERSAILLES,369275,19,1,female,parent,200848,5,colloc,21004F522,Bruxelles,4 or 5,Unif on or off campus
312,21017A212,AVENUE DE LA TENDERIE,1110956,19,1,female,parent,602722,5,colloc,21017A212,Watermael-Boitsfort,4 or 5,Unif on or off campus
379,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51338,19,1,female,parent,28248,5,colloc,21001A31-,Anderlecht,4 or 5,Unif on or off campus
468,21001B31-,ALBERT I- IMMEUBLES,74066,19,1,female,parent,40071,5,colloc,21001B31-,Anderlecht,4 or 5,Unif on or off campus
530,21016A639,HOMBORCH,1081433,19,1,female,parent,585910,5,colloc,21016A639,Uccle,4 or 5,Unif on or off campus
596,21012A172,GARE OUEST,686933,19,1,female,parent,377870,5,colloc,21012A172,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
614,21010A04-,NOTRE-DAME DE LOURDES,597548,19,1,female,parent,332200,5,colloc,21010A04-,Jette,4 or 5,Unif on or off campus
634,21015A00-,COLIGNON (PLACE),975845,19,1,female,parent,528669,5,colloc,21015A00-,Schaerbeek,4 or 5,Unif on or off campus
645,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51344,19,1,female,parent,28248,5,colloc,21001A31-,Anderlecht,4 or 5,Unif on or off campus
646,21001A011,KLEINMOLEN,85634,19,1,female,parent,46037,5,colloc,21001A011,Anderlecht,4 or 5,Unif on or off campus
657,21015A04-,L'OLIVIER (RUE),947137,19,1,female,parent,514975,5,colloc,21015A04-,Schaerbeek,4 or 5,Unif on or off campus
794,21004A70-,BLAES (RUE)-SUD,255055,19,1,female,parent,137224,5,colloc,21004A70-,Bruxelles,4 or 5,Unif on or off campus
919,21018A37-,COMMUNAUTES,1141631,19,1,female,parent,620148,5,colloc,21018A37-,Woluwe Saint-Lambert,4 or 5,Unif on or off campus
1020,21001B31-,ALBERT I- IMMEUBLES,74073,19,1,female,parent,40072,5,colloc,21001B31-,Anderlecht,4 or 5,Unif on or off campus
1037,21004E70-,MARIE-CHRISTINE (RUE),304991,19,1,female,parent,168469,5,colloc,21004E70-,Bruxelles,4 or 5,Unif on or off campus
1132,21017A541,LOUTRIER - WIENER,1090123,19,1,female,parent,590647,5,colloc,21017A541,Watermael-Boitsfort,4 or 5,Unif on or off campus
1157,21004G30-,SAINTE-ELISABETH,205237,19,1,female,parent,108410,5,colloc,21004G30-,Bruxelles,4 or 5,Unif on or off campus
1161,21001A00-,RESISTANCE,105576,19,1,female,parent,56000,5,colloc,21001A00-,Anderlecht,4 or 5,Unif on or off campus
1202,21004A70-,BLAES (RUE)-SUD,255049,19,1,female,parent,137222,5,colloc,21004A70-,Bruxelles,4 or 5,Unif on or off campus
1207,21019A252,MONTGOLFIER,1181040,19,1,female,parent,642705,5,colloc,21019A252,Woluwe Saint-Pierre,4 or 5,Unif on or off campus
1322,21004E72-,MAISON ROUGE (PLACE)-SUD,340392,19,1,female,parent,185417,5,colloc,21004E72-,Bruxelles,4 or 5,Unif on or off campus
1427,21014A41-,BOSSUET,839334,19,1,female,parent,459423,5,colloc,21014A41-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
1445,21004D610,ANVERS (CHAUSSEE D')-SUD,382114,19,1,female,parent,207917,5,colloc,21004D610,Bruxelles,4 or 5,Unif on or off campus
1477,21004F522,AVENUE DE VERSAILLES,369271,19,1,female,parent,200848,5,colloc,21004F522,Bruxelles,4 or 5,Unif on or off campus
1568,21012A21-,MARIE-JOSE BLOCS,740212,19,1,female,parent,404536,5,colloc,21012A21-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
