,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21013A41-,VILLAS (AVENUE DES),819227,18,1,female,child,448059,1,couple_with_child,21013A41-,Saint-Gilles,5,Unif off campus
1,21010A02-,LEOPOLD I,645794,18,1,female,child,356890,1,couple_with_child,21010A02-,Jette,5,Unif off campus
2,21009A21-,ETE,546237,18,1,female,parent,300098,3,single,21009A21-,Ixelles,5,Unif off campus
3,21016A44-,PECHERIE,1070046,18,1,female,child,579669,4,single_with_child,21016A44-,Uccle,5,Unif off campus
4,21014A04-,HAECHT (CHAUSSEE DE),846759,18,1,female,child,463288,4,single_with_child,21014A04-,Saint-Josse-ten-Noode,5,Unif off campus
5,21004A34-,MONNAIE,271097,18,1,female,parent,147623,3,single,21004A34-,Bruxelles,5,Unif off campus
6,21014A05-,HOUWAERT,854779,18,1,female,parent,466942,3,single,21014A05-,Saint-Josse-ten-Noode,5,Unif off campus
7,21004A23-,NOUVEAU MARCHE AU GRAIN,260158,18,1,female,parent,140341,3,single,21004A23-,Bruxelles,5,Unif off campus
8,21014A05-,HOUWAERT,852909,18,1,female,child,466257,4,single_with_child,21014A05-,Saint-Josse-ten-Noode,5,Unif off campus
9,21005A14-,ARMEE (AVENUE DE L'),397750,18,1,female,child,216911,4,single_with_child,21005A14-,Etterbeek,5,Unif off campus
10,21005A00-,HOTEL COMMUNAL,425335,18,1,female,parent,232647,3,single,21005A00-,Etterbeek,5,Unif off campus
11,21002A53-,PECHERIES,127807,18,1,female,child,67474,1,couple_with_child,21002A53-,Auderghem,5,Unif off campus
12,21019A41-,CITE JOLI-BOIS,1222045,18,1,female,child,665105,4,single_with_child,21019A41-,Woluwe Saint-Pierre,5,Unif off campus
13,21015A20-,HELMET,993638,18,1,female,parent,537089,1,couple_with_child,21015A20-,Schaerbeek,5,Unif off campus
14,21007A70-,ALTITUDE  CENT,516946,18,1,female,parent,282312,3,single,21007A70-,Forest,5,Unif off campus
15,21016A65-,ALSEMBERG-SUD,1051667,18,1,female,parent,569948,1,couple_with_child,21016A65-,Uccle,5,Unif off campus
16,21018A81-,KAPELLEVELD-SUD,1158537,18,1,female,parent,629566,1,couple_with_child,21018A81-,Woluwe Saint-Lambert,5,Unif off campus
17,21016A322,CHAUSSEE DE WATERLOO-EST,1072459,18,1,female,parent,581133,3,single,21016A322,Uccle,5,Unif off campus
18,21007A03-,FOYER FORESTOIS - FAMILLE,482265,18,1,female,parent,263869,1,couple_with_child,21007A03-,Forest,5,Unif off campus
19,21014A04-,HAECHT (CHAUSSEE DE),847918,18,1,female,parent,463750,3,single,21014A04-,Saint-Josse-ten-Noode,5,Unif off campus
20,21015A612,BRICHAUT (RUE DE),964825,18,1,female,child,523718,1,couple_with_child,21015A612,Schaerbeek,5,Unif off campus
21,21009A53-,LONDRES (PLACE DE),579584,18,1,female,child,321358,4,single_with_child,21009A53-,Ixelles,5,Unif off campus
22,21012A62-,LIBERATEURS,715376,18,1,female,parent,391507,3,single,21012A62-,Molenbeek Saint-Jean,5,Unif off campus
23,21004F901,PLACE PETER BENOIT,201710,18,1,female,parent,106880,2,couple_no_child,21004F901,Bruxelles,5,Unif off campus
24,21016A64-,MOLENSTEEN,1044143,18,1,female,parent,565760,2,couple_no_child,21016A64-,Uccle,5,Unif off campus
25,21007A071,BOLLINCKX,513841,18,1,female,parent,280711,3,single,21007A071,Forest,5,Unif off campus
26,21017A451,FUTAIE,1113465,18,1,female,parent,604048,1,couple_with_child,21017A451,Watermael-Boitsfort,5,Unif off campus
27,21019A20-,SAINT-PAUL,1206604,18,1,female,child,656626,1,couple_with_child,21019A20-,Woluwe Saint-Pierre,5,Unif off campus
28,21007A101,BOURGOGNE,510967,18,1,female,child,279227,4,single_with_child,21007A101,Forest,5,Unif off campus
29,21002A23-,TH. BALIS (PLACE),132841,18,1,female,parent,70049,2,couple_no_child,21002A23-,Auderghem,5,Unif off campus
30,21006A101,CONSCIENCE,458622,18,1,female,child,251534,4,single_with_child,21006A101,Evere,5,Unif off campus
31,21016A639,HOMBORCH,1080324,18,0,male,child,585388,1,couple_with_child,21016A639,Uccle,5,Unif off campus
32,21009A33-,SAINT-ADRIEN,540805,18,0,male,child,296911,4,single_with_child,21009A33-,Ixelles,5,Unif off campus
33,21019A42-,SALOME AVENUE,1220284,18,0,male,parent,663944,1,couple_with_child,21019A42-,Woluwe Saint-Pierre,5,Unif off campus
34,21004E72-,MAISON ROUGE (PLACE)-SUD,340216,18,0,male,parent,185362,3,single,21004E72-,Bruxelles,5,Unif off campus
35,21017A523,MARTIN-PECHEUR,1099768,18,0,male,parent,596203,2,couple_no_child,21017A523,Watermael-Boitsfort,5,Unif off campus
36,21006A23-,DU BONHEUR,454844,18,0,male,parent,249577,3,single,21006A23-,Evere,5,Unif off campus
37,21016A342,FOND,1085360,18,0,male,parent,587759,2,couple_no_child,21016A342,Uccle,5,Unif off campus
38,21003A312,POTAARDE  VLAK,164299,18,0,male,parent,86800,1,couple_with_child,21003A312,Berchem Sainte-Agathe,5,Unif off campus
39,21005A042,PH. BAUCQ (RUE),390602,18,0,male,parent,212708,3,single,21005A042,Etterbeek,5,Unif off campus
40,21014A10-,SAINT-FRANCOIS,841490,18,0,male,parent,460388,1,couple_with_child,21014A10-,Saint-Josse-ten-Noode,5,Unif off campus
41,21011A00-,VANHUFFEL,668611,18,0,male,child,368039,1,couple_with_child,21011A00-,Koekelberg,5,Unif off campus
42,21009A52-,GRAY (RUE),554894,18,0,male,child,305479,1,couple_with_child,21009A52-,Ixelles,5,Unif off campus
43,21004A21-,ANNEESSENS (PLACE),293899,18,0,male,child,162713,1,couple_with_child,21004A21-,Bruxelles,5,Unif off campus
44,21001B20-,CONSEIL-NORD,57654,18,0,male,child,31526,4,single_with_child,21001B20-,Anderlecht,5,Unif off campus
45,21012A60-,LAEKENVELD,707732,18,0,male,parent,387848,1,couple_with_child,21012A60-,Molenbeek Saint-Jean,5,Unif off campus
46,21005A14-,ARMEE (AVENUE DE L'),397827,18,0,male,child,216942,1,couple_with_child,21005A14-,Etterbeek,5,Unif off campus
47,21004F930,COIN DES CERISES,207203,18,0,male,parent,109533,1,couple_with_child,21004F930,Bruxelles,5,Unif off campus
48,21018A61-,HEYDENBERG-EST,1146736,18,0,male,parent,622715,1,couple_with_child,21018A61-,Woluwe Saint-Lambert,5,Unif off campus
49,21009A121,GENERAL DE GAULLE,528382,18,0,male,parent,289392,3,single,21009A121,Ixelles,5,Unif off campus
50,21016A521,VERREWINKEL,1082716,18,0,male,parent,586723,2,couple_no_child,21016A521,Uccle,5,Unif off campus
51,21004C63-,NATIONS (SQUARE DES),244724,18,0,male,parent,131268,2,couple_no_child,21004C63-,Bruxelles,5,Unif off campus
52,21016A44-,PECHERIE,1069995,18,0,male,child,579649,4,single_with_child,21016A44-,Uccle,5,Unif off campus
53,21002A030,LAMMERENDRIES,151333,18,0,male,child,80202,1,couple_with_child,21002A030,Auderghem,5,Unif off campus
54,21004A22-,SENNE (RUE DE LA),265173,18,0,male,parent,143580,3,single,21004A22-,Bruxelles,5,Unif off campus
55,21016A311,FORT JACO,1087529,18,0,male,parent,589123,1,couple_with_child,21016A311,Uccle,5,Unif off campus
56,21014A41-,BOSSUET,836333,18,0,male,child,458144,1,couple_with_child,21014A41-,Saint-Josse-ten-Noode,5,Unif off campus
57,21015A21-,GUIDO GEZELLE (RUE),997063,18,0,male,child,539116,4,single_with_child,21015A21-,Schaerbeek,5,Unif off campus
58,21001A83-,PETERBOS,4721,18,0,male,child,2509,1,couple_with_child,21001A83-,Anderlecht,5,Unif off campus
59,21006A403,QUARTIER CICERO,446581,18,0,male,parent,245209,3,single,21006A403,Evere,5,Unif off campus
60,21015A01-,VAN YSENDYCK (RUE),977328,18,0,male,child,529755,4,single_with_child,21015A01-,Schaerbeek,5,Unif off campus
61,21003A05-,DE SELLIERS DE MORANVILLE,183070,18,0,male,child,96598,1,couple_with_child,21003A05-,Berchem Sainte-Agathe,5,Unif off campus
62,21013A252,DANEMARK (RUE DE),797469,18,0,male,child,434991,1,couple_with_child,21013A252,Saint-Gilles,5,Unif off campus
63,21004G30-,SAINTE-ELISABETH,203256,19,1,female,child,107672,1,couple_with_child,21004G30-,Bruxelles,5,Unif off campus
64,21014A01-,STEURS,845273,19,1,female,parent,462564,3,single,21014A01-,Saint-Josse-ten-Noode,5,Unif off campus
65,21017A13-,BOULEAUX,1108067,19,1,female,child,601130,1,couple_with_child,21017A13-,Watermael-Boitsfort,5,Unif off campus
66,21004F91-,CROIX DE GUERRE (AVENUE DES),234787,19,1,female,child,125984,1,couple_with_child,21004F91-,Bruxelles,5,Unif off campus
67,21010A05-,ALBERT (QUARTIER),617490,19,1,female,parent,342037,2,couple_no_child,21010A05-,Jette,5,Unif off campus
68,21019A001,CENTRE,1192418,19,1,female,child,649061,4,single_with_child,21019A001,Woluwe Saint-Pierre,5,Unif off campus
69,21005A10-,GENERAL HENRI (RUE),385474,19,1,female,parent,209673,1,couple_with_child,21005A10-,Etterbeek,5,Unif off campus
70,21009A73-,BERCKENDAEL,589751,19,1,female,parent,327851,3,single,21009A73-,Ixelles,5,Unif off campus
71,21015A04-,L'OLIVIER (RUE),943647,19,1,female,child,513601,1,couple_with_child,21015A04-,Schaerbeek,5,Unif off campus
72,21011A20-,PLATEAU,655755,19,1,female,child,361667,1,couple_with_child,21011A20-,Koekelberg,5,Unif off campus
73,21016A64-,MOLENSTEEN,1043128,19,1,female,child,565387,1,couple_with_child,21016A64-,Uccle,5,Unif off campus
74,21004A14-,GRAND SABLON,280391,19,1,female,parent,153807,3,single,21004A14-,Bruxelles,5,Unif off campus
75,21017A451,FUTAIE,1113153,19,1,female,child,603927,1,couple_with_child,21017A451,Watermael-Boitsfort,5,Unif off campus
76,21006A201,HAUT-EVERE,449216,19,1,female,child,246596,1,couple_with_child,21006A201,Evere,5,Unif off campus
77,21015A24-,WAELHEM (RUE),979416,19,1,female,child,530659,1,couple_with_child,21015A24-,Schaerbeek,5,Unif off campus
78,21018A22-,DE BROQUEVILLE (AVENUE)-SUD,1133937,19,1,female,parent,615859,2,couple_no_child,21018A22-,Woluwe Saint-Lambert,5,Unif off campus
79,21005A12-,SAINT-ANTOINE,431734,19,1,female,parent,236223,3,single,21005A12-,Etterbeek,5,Unif off campus
80,21013A11-,PARME (RUE DE),787438,19,1,female,child,429430,1,couple_with_child,21013A11-,Saint-Gilles,5,Unif off campus
81,21004E201,AVENUE JEAN DE BOLOGNE,315200,19,1,female,child,173636,4,single_with_child,21004E201,Bruxelles,5,Unif off campus
82,21019A10-,STOCKEL,1211775,19,1,female,parent,659329,2,couple_no_child,21019A10-,Woluwe Saint-Pierre,5,Unif off campus
83,21002A11-,SACRE-COEUR,153369,19,1,female,parent,81264,3,single,21002A11-,Auderghem,5,Unif off campus
84,21004A02-,SAINT-FRANCOIS XAVIER,249905,19,1,female,parent,134216,3,single,21004A02-,Bruxelles,5,Unif off campus
85,21017A11-,FLOREAL,1092117,19,1,female,parent,591731,2,couple_no_child,21017A11-,Watermael-Boitsfort,5,Unif off campus
86,21015A50-,OPALE,860152,19,1,female,child,470248,1,couple_with_child,21015A50-,Schaerbeek,5,Unif off campus
87,21012A26-,MACHTENS-NORD,684188,19,1,female,parent,376222,3,single,21012A26-,Molenbeek Saint-Jean,5,Unif off campus
88,21009A21-,ETE,546193,19,1,female,parent,300056,3,single,21009A21-,Ixelles,5,Unif off campus
89,21019A14-,VAL DE SEIGNEURS,1209158,19,1,female,parent,657847,1,couple_with_child,21019A14-,Woluwe Saint-Pierre,5,Unif off campus
90,21012A10-,DUCHESSE DE BRABANT,691218,19,1,female,parent,379852,3,single,21012A10-,Molenbeek Saint-Jean,5,Unif off campus
91,21006A042,KERKHOEK,476577,19,1,female,child,261071,4,single_with_child,21006A042,Evere,5,Unif off campus
93,21012A10-,DUCHESSE DE BRABANT,691217,19,1,female,parent,379851,3,single,21012A10-,Molenbeek Saint-Jean,5,Unif off campus
