,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
156,21019A252,MONTGOLFIER,1181037,21,1,female,parent,642705,5,colloc,21019A252,Woluwe Saint-Pierre,4 or 5,Unif on or off campus
200,21017A635,PRINCES BRABANCONS,1090619,21,1,female,parent,590962,5,colloc,21017A635,Watermael-Boitsfort,4 or 5,Unif on or off campus
557,21001A031,RAUTER-SUD,53224,21,1,female,parent,29191,5,colloc,21001A031,Anderlecht,4 or 5,Unif on or off campus
588,21018A35-,HOF TEN BERG-NORD,1125457,21,1,female,parent,611076,5,colloc,21018A35-,Woluwe Saint-Lambert,4 or 5,Unif on or off campus
1136,21002A441,CHANT D'OISEAUX,138968,21,1,female,parent,73256,5,colloc,21002A441,Auderghem,4 or 5,Unif on or off campus
2226,21014A14-,PRAIRIE,835602,21,0,male,parent,457667,5,colloc,21014A14-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
2241,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51343,21,0,male,parent,28248,5,colloc,21001A31-,Anderlecht,4 or 5,Unif on or off campus
2324,21015A04-,L'OLIVIER (RUE),947253,21,0,male,parent,514994,5,colloc,21015A04-,Schaerbeek,4 or 5,Unif on or off campus
2383,21015A03-,JOSAPHAT (RUE),890376,21,0,male,parent,486327,5,colloc,21015A03-,Schaerbeek,4 or 5,Unif on or off campus
2405,21001C522,HOPITAL U.L.B.,40551,21,0,male,parent,22390,5,colloc,21001C522,Anderlecht,4 or 5,Unif on or off campus
2468,21004A04-,NOTRE-DAME DE LA CHAPELLE,273478,21,0,male,parent,149287,5,colloc,21004A04-,Bruxelles,4 or 5,Unif on or off campus
2493,21015A44-,REINE (AVENUE),959040,21,0,male,parent,521009,5,colloc,21015A44-,Schaerbeek,4 or 5,Unif on or off campus
2628,21001A911,SCHEUT-EST,94235,21,0,male,parent,50446,5,colloc,21001A911,Anderlecht,4 or 5,Unif on or off campus
2676,21001B20-,CONSEIL-NORD,61910,21,0,male,parent,33344,5,colloc,21001B20-,Anderlecht,4 or 5,Unif on or off campus
2765,21010A13-,CITE-JARDIN,623414,21,0,male,parent,345510,5,colloc,21010A13-,Jette,4 or 5,Unif on or off campus
2766,21015A36-,CAMBIER (AVENUE E.),871901,21,0,male,parent,477095,5,colloc,21015A36-,Schaerbeek,4 or 5,Unif on or off campus
2831,21015A612,BRICHAUT (RUE DE),966836,21,0,male,parent,524633,5,colloc,21015A612,Schaerbeek,4 or 5,Unif on or off campus
2840,21014A14-,PRAIRIE,835609,21,0,male,parent,457668,5,colloc,21014A14-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
2844,21001A112,BIESTEBROEK,125576,21,0,male,parent,66136,5,colloc,21001A112,Anderlecht,4 or 5,Unif on or off campus
2845,21014A04-,HAECHT (CHAUSSEE DE),848591,21,0,male,parent,464266,5,colloc,21014A04-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
2881,21001A441,DOCTEUR ROUX,34175,21,0,male,parent,18511,5,colloc,21001A441,Anderlecht,4 or 5,Unif on or off campus
2958,21015A36-,CAMBIER (AVENUE E.),871897,21,0,male,parent,477095,5,colloc,21015A36-,Schaerbeek,4 or 5,Unif on or off campus
3155,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334298,21,0,male,parent,182660,5,colloc,21004E73-,Bruxelles,4 or 5,Unif on or off campus
3172,21015A44-,REINE (AVENUE),958992,21,0,male,parent,521001,5,colloc,21015A44-,Schaerbeek,4 or 5,Unif on or off campus
3203,21013A22-,REGIES,807707,21,0,male,parent,440993,5,colloc,21013A22-,Saint-Gilles,4 or 5,Unif on or off campus
3232,21015A03-,JOSAPHAT (RUE),890372,21,0,male,parent,486327,5,colloc,21015A03-,Schaerbeek,4 or 5,Unif on or off campus
3233,21014A14-,PRAIRIE,835590,21,0,male,parent,457664,5,colloc,21014A14-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
3272,21014A14-,PRAIRIE,835604,21,0,male,parent,457667,5,colloc,21014A14-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
3336,21014A04-,HAECHT (CHAUSSEE DE),848583,21,0,male,parent,464265,5,colloc,21014A04-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
3371,21014A14-,PRAIRIE,835608,21,0,male,parent,457667,5,colloc,21014A14-,Saint-Josse-ten-Noode,4 or 5,Unif on or off campus
3373,21019A15-,KAPELLEVELD,1218873,21,0,male,parent,663082,5,colloc,21019A15-,Woluwe Saint-Pierre,4 or 5,Unif on or off campus
