,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,333649,21,1,female,parent,182164,3,single,21004E73-,Bruxelles,5,Unif off campus
1,21015A021,HOUFFALIZE (PLACE),893533,21,1,female,parent,487778,4,single_with_child,21015A021,Schaerbeek,5,Unif off campus
2,21012A84-,METTEWIE-BUILDINGS,674852,21,1,female,child,371533,4,single_with_child,21012A84-,Molenbeek Saint-Jean,5,Unif off campus
3,21012A11-,INDUSTRIE,770598,21,1,female,parent,420210,4,single_with_child,21012A11-,Molenbeek Saint-Jean,5,Unif off campus
4,21005A042,PH. BAUCQ (RUE),388352,21,1,female,child,211326,1,couple_with_child,21005A042,Etterbeek,5,Unif off campus
5,21014A05-,HOUWAERT,854536,21,1,female,parent,466838,1,couple_with_child,21014A05-,Saint-Josse-ten-Noode,5,Unif off campus
6,21009A21-,ETE,546086,21,1,female,parent,299980,3,single,21009A21-,Ixelles,5,Unif off campus
7,21016A831,LONGCHAMP,1012803,21,1,female,parent,548017,1,couple_with_child,21016A831,Uccle,5,Unif off campus
8,21006A001,VIEIL EVERE,463189,21,1,female,parent,253754,2,couple_no_child,21006A001,Evere,5,Unif off campus
9,21001A142,VEEWEYDE-NORD,64769,21,1,female,child,35174,4,single_with_child,21001A142,Anderlecht,5,Unif off campus
10,21016A232,BEAU SEJOUR,1010011,21,1,female,parent,546582,1,couple_with_child,21016A232,Uccle,5,Unif off campus
11,21003A00-,CENTRE,180283,21,1,female,parent,95085,1,couple_with_child,21003A00-,Berchem Sainte-Agathe,5,Unif off campus
12,21001A95-,BUFFON,106517,21,1,female,child,56627,1,couple_with_child,21001A95-,Anderlecht,5,Unif off campus
13,21015A13-,PORTAELS (RUE),981659,21,1,female,child,531888,1,couple_with_child,21015A13-,Schaerbeek,5,Unif off campus
14,21018A33-,NEERVELD,1130662,21,1,female,child,614086,1,couple_with_child,21018A33-,Woluwe Saint-Lambert,5,Unif off campus
15,21015A04-,L'OLIVIER (RUE),943544,21,1,female,child,513569,1,couple_with_child,21015A04-,Schaerbeek,5,Unif off campus
16,21005A01-,SAINTE-GERTRUDE,404269,21,1,female,parent,220506,2,couple_no_child,21005A01-,Etterbeek,5,Unif off campus
17,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,333651,21,1,female,parent,182166,3,single,21004E73-,Bruxelles,5,Unif off campus
18,21018A42-,VERVLOESEM,1165482,21,1,female,parent,633667,3,single,21018A42-,Woluwe Saint-Lambert,5,Unif off campus
19,21018A311,PARC SCHUMAN,1128383,21,1,female,child,612732,1,couple_with_child,21018A311,Woluwe Saint-Lambert,5,Unif off campus
20,21016A400,SAINT-JOB,1073926,21,1,female,child,581930,1,couple_with_child,21016A400,Uccle,5,Unif off campus
21,21015A021,HOUFFALIZE (PLACE),892447,21,1,female,child,487427,1,couple_with_child,21015A021,Schaerbeek,5,Unif off campus
22,21009A52-,GRAY (RUE),554527,21,1,female,child,305335,4,single_with_child,21009A52-,Ixelles,5,Unif off campus
23,21004F531,RUE DES FAINES,232349,21,1,female,parent,124585,1,couple_with_child,21004F531,Bruxelles,5,Unif off campus
24,21004A35-,AD. MAX (BOULEVARD),227618,21,1,female,parent,121941,3,single,21004A35-,Bruxelles,5,Unif off campus
25,21013A201,ANGLETERRE (RUE D'),794390,21,1,female,child,433462,1,couple_with_child,21013A201,Saint-Gilles,5,Unif off campus
26,21015A831,LATINIS (AVENUE G.),884408,21,1,female,parent,483596,2,couple_no_child,21015A831,Schaerbeek,5,Unif off campus
27,21012A152,ETANGS NOIRS,741755,21,1,female,child,405377,4,single_with_child,21012A152,Molenbeek Saint-Jean,5,Unif off campus
28,21002A01-,SAINTE-ANNE,161656,21,1,female,parent,85663,1,couple_with_child,21002A01-,Auderghem,5,Unif off campus
29,21003A02-,LAURE - BASILIQUE,172555,21,1,female,parent,91277,1,couple_with_child,21003A02-,Berchem Sainte-Agathe,5,Unif off campus
30,21016A533,MOENSBERG,1049357,21,1,female,child,568718,1,couple_with_child,21016A533,Uccle,5,Unif off campus
31,21014A02-,CHARITE,833611,21,1,female,parent,456374,3,single,21014A02-,Saint-Josse-ten-Noode,5,Unif off campus
32,21004E72-,MAISON ROUGE (PLACE)-SUD,339379,21,1,female,parent,184682,1,couple_with_child,21004E72-,Bruxelles,5,Unif off campus
33,21004F922,RUE CHATEAU BEYAERD,239065,21,1,female,parent,127845,1,couple_with_child,21004F922,Bruxelles,5,Unif off campus
34,21003A05-,DE SELLIERS DE MORANVILLE,183161,21,1,female,child,96630,1,couple_with_child,21003A05-,Berchem Sainte-Agathe,5,Unif off campus
35,21012A141,INDEPENDANCE,765829,21,1,female,child,417864,4,single_with_child,21012A141,Molenbeek Saint-Jean,5,Unif off campus
36,21018A24-,LAMBEAU (AVENUE),1151532,21,1,female,child,625469,1,couple_with_child,21018A24-,Woluwe Saint-Lambert,5,Unif off campus
37,21004D610,ANVERS (CHAUSSEE D')-SUD,380431,21,1,female,child,207136,1,couple_with_child,21004D610,Bruxelles,5,Unif off campus
38,21013A00-,HOTEL DE VILLE,825717,21,1,female,parent,451638,3,single,21013A00-,Saint-Gilles,5,Unif off campus
39,21001A00-,RESISTANCE,104940,21,1,female,parent,55538,1,couple_with_child,21001A00-,Anderlecht,5,Unif off campus
40,21004B44-,AMBIORIX-SUD (SQUARE),215945,21,1,female,parent,114833,1,couple_with_child,21004B44-,Bruxelles,5,Unif off campus
41,21002A43-,SOUVERAIN (BOULEVARD DU) NORD,159957,21,1,female,parent,84689,2,couple_no_child,21002A43-,Auderghem,5,Unif off campus
42,21014A01-,STEURS,844725,21,1,female,child,462392,1,couple_with_child,21014A01-,Saint-Josse-ten-Noode,5,Unif off campus
43,21010A00-,CENTRE,628815,21,1,female,parent,347998,1,couple_with_child,21010A00-,Jette,5,Unif off campus
44,21015A612,BRICHAUT (RUE DE),965927,21,1,female,parent,524073,1,couple_with_child,21015A612,Schaerbeek,5,Unif off campus
45,21001A90-,SCHEUTKAPEL,70635,21,1,female,child,38202,1,couple_with_child,21001A90-,Anderlecht,5,Unif off campus
46,21006A101,CONSCIENCE,459575,21,1,female,parent,251861,4,single_with_child,21006A101,Evere,5,Unif off campus
47,21015A35-,JEAN STOBBAERTS (AVENUE),908587,21,1,female,child,495629,1,couple_with_child,21015A35-,Schaerbeek,5,Unif off campus
48,21014A05-,HOUWAERT,851468,21,1,female,child,465712,1,couple_with_child,21014A05-,Saint-Josse-ten-Noode,5,Unif off campus
49,21009A83-,L. ERNOTTE (RUE),552832,21,1,female,child,304446,1,couple_with_child,21009A83-,Ixelles,5,Unif off campus
50,21017A432,DRIES,1103244,21,1,female,parent,598317,1,couple_with_child,21017A432,Watermael-Boitsfort,5,Unif off campus
51,21006A323,GERMINAL II,480455,21,1,female,child,262983,4,single_with_child,21006A323,Evere,5,Unif off campus
52,21018A21-,DE BROQUEVILLE (AVENUE)-NORD,1122031,21,1,female,child,609228,1,couple_with_child,21018A21-,Woluwe Saint-Lambert,5,Unif off campus
53,21012A23-,MACHTENS-SUD,756235,21,1,female,parent,412810,2,couple_no_child,21012A23-,Molenbeek Saint-Jean,5,Unif off campus
54,21012A00-,CENTRE,692633,21,1,female,child,380756,1,couple_with_child,21012A00-,Molenbeek Saint-Jean,5,Unif off campus
55,21004A03-,BON SECOURS - PALAIS DU MIDI,256886,21,1,female,parent,138363,1,couple_with_child,21004A03-,Bruxelles,5,Unif off campus
56,21009A41-,SAINT-GEORGES,551694,21,1,female,parent,303608,3,single,21009A41-,Ixelles,5,Unif off campus
57,21015A45-,STEPHENSON (PLACE),968142,21,1,female,child,525416,1,couple_with_child,21015A45-,Schaerbeek,5,Unif off campus
58,21010A02-,LEOPOLD I,647904,21,1,female,parent,357642,1,couple_with_child,21010A02-,Jette,5,Unif off campus
59,21015A021,HOUFFALIZE (PLACE),891739,21,1,female,child,487193,1,couple_with_child,21015A021,Schaerbeek,5,Unif off campus
60,21015A04-,L'OLIVIER (RUE),944960,21,1,female,child,514021,1,couple_with_child,21015A04-,Schaerbeek,5,Unif off campus
61,21015A50-,OPALE,861592,21,1,female,parent,470850,3,single,21015A50-,Schaerbeek,5,Unif off campus
62,21004A24-,MARCHE AU PORCS,225236,21,1,female,parent,120241,1,couple_with_child,21004A24-,Bruxelles,5,Unif off campus
63,21001B20-,CONSEIL-NORD,60735,21,1,female,parent,32524,1,couple_with_child,21001B20-,Anderlecht,5,Unif off campus
64,21006A052,CHAMP DE REPOS,479646,21,1,female,parent,262353,1,couple_with_child,21006A052,Evere,5,Unif off campus
65,21015A50-,OPALE,859614,21,1,female,child,470015,1,couple_with_child,21015A50-,Schaerbeek,5,Unif off campus
66,21019A31-,BEMEL,1200572,21,1,female,child,653415,1,couple_with_child,21019A31-,Woluwe Saint-Pierre,5,Unif off campus
67,21004E72-,MAISON ROUGE (PLACE)-SUD,337519,21,1,female,child,184090,4,single_with_child,21004E72-,Bruxelles,5,Unif off campus
68,21005A15-,SAINT-MICHEL COLLEGE,411414,21,1,female,parent,224767,1,couple_with_child,21005A15-,Etterbeek,5,Unif off campus
69,21015A73-,H. EVENEPOEL (RUE),866583,21,1,female,parent,474079,2,couple_no_child,21015A73-,Schaerbeek,5,Unif off campus
70,21004E74-,EM. DELVA (RUE),312182,21,1,female,parent,171455,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus
71,21012A172,GARE OUEST,686748,21,1,female,parent,377754,4,single_with_child,21012A172,Molenbeek Saint-Jean,5,Unif off campus
72,21016A44-,PECHERIE,1070610,21,1,female,parent,579880,1,couple_with_child,21016A44-,Uccle,5,Unif off campus
73,21005A051,RINSDELLE,415791,21,1,female,child,227349,4,single_with_child,21005A051,Etterbeek,5,Unif off campus
74,21012A152,ETANGS NOIRS,744505,21,1,female,parent,406273,1,couple_with_child,21012A152,Molenbeek Saint-Jean,5,Unif off campus
75,21015A34-,PAQUERETTES (RUE),877046,21,1,female,parent,479785,2,couple_no_child,21015A34-,Schaerbeek,5,Unif off campus
76,21001A41-,ROMAIN ROLLAND,19627,21,1,female,parent,10563,1,couple_with_child,21001A41-,Anderlecht,5,Unif off campus
