,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
221,221,21001A041,VEEWEYDE-SUD,221,17,1,female,child,138,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
274,274,21001A041,VEEWEYDE-SUD,274,16,1,female,child,168,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
286,286,21001A041,VEEWEYDE-SUD,286,17,0,male,child,176,4,single_with_child,21001A041,Anderlecht,3,Secondaires
318,318,21001A041,VEEWEYDE-SUD,318,16,0,male,child,189,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
338,338,21001A041,VEEWEYDE-SUD,338,17,0,male,child,195,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
417,417,21001A041,VEEWEYDE-SUD,417,17,0,male,child,227,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
542,542,21001A041,VEEWEYDE-SUD,542,16,1,female,child,276,4,single_with_child,21001A041,Anderlecht,3,Secondaires
562,562,21001A041,VEEWEYDE-SUD,562,17,1,female,child,281,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
608,608,21001A041,VEEWEYDE-SUD,608,17,1,female,child,299,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
689,689,21001A041,VEEWEYDE-SUD,689,17,1,female,child,331,4,single_with_child,21001A041,Anderlecht,3,Secondaires
720,720,21001A041,VEEWEYDE-SUD,720,16,1,female,child,338,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
854,854,21001A041,VEEWEYDE-SUD,854,16,1,female,child,389,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
936,936,21001A041,VEEWEYDE-SUD,936,16,1,female,child,422,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
940,940,21001A041,VEEWEYDE-SUD,940,16,1,female,child,423,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
948,948,21001A041,VEEWEYDE-SUD,948,17,1,female,child,425,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
989,989,21001A041,VEEWEYDE-SUD,989,16,1,female,child,441,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1011,1011,21001A041,VEEWEYDE-SUD,1011,17,0,male,child,446,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1037,1037,21001A041,VEEWEYDE-SUD,1037,16,0,male,child,459,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1060,1060,21001A041,VEEWEYDE-SUD,1060,17,1,female,child,465,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1123,1123,21001A041,VEEWEYDE-SUD,1123,16,1,female,child,492,4,single_with_child,21001A041,Anderlecht,3,Secondaires
1137,1137,21001A041,VEEWEYDE-SUD,1137,16,1,female,child,495,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1178,1178,21001A041,VEEWEYDE-SUD,1178,17,0,male,child,512,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1203,1203,21001A041,VEEWEYDE-SUD,1203,17,0,male,child,519,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1249,1249,21001A041,VEEWEYDE-SUD,1249,16,1,female,child,536,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1268,1268,21001A041,VEEWEYDE-SUD,1268,17,1,female,child,546,4,single_with_child,21001A041,Anderlecht,3,Secondaires
1282,1282,21001A041,VEEWEYDE-SUD,1282,16,1,female,child,549,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1289,1289,21001A041,VEEWEYDE-SUD,1289,17,0,male,child,551,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1326,1326,21001A041,VEEWEYDE-SUD,1326,17,1,female,child,566,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1335,1335,21001A041,VEEWEYDE-SUD,1335,17,0,male,child,568,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1339,1339,21001A041,VEEWEYDE-SUD,1339,17,1,female,child,569,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1346,1346,21001A041,VEEWEYDE-SUD,1346,17,0,male,child,571,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1371,1371,21001A041,VEEWEYDE-SUD,1371,16,0,male,child,583,4,single_with_child,21001A041,Anderlecht,3,Secondaires
1381,1381,21001A041,VEEWEYDE-SUD,1381,16,0,male,child,586,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1437,1437,21001A041,VEEWEYDE-SUD,1437,16,0,male,child,607,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1468,1468,21001A041,VEEWEYDE-SUD,1468,17,0,male,child,621,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1471,1471,21001A041,VEEWEYDE-SUD,1471,17,0,male,child,622,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1540,1540,21001A041,VEEWEYDE-SUD,1540,16,0,male,child,645,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1558,1558,21001A041,VEEWEYDE-SUD,1558,17,0,male,child,656,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1565,1565,21001A041,VEEWEYDE-SUD,1565,17,1,female,child,658,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1568,1568,21001A041,VEEWEYDE-SUD,1568,16,0,male,child,659,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
1600,1600,21001A041,VEEWEYDE-SUD,1600,16,1,female,child,673,4,single_with_child,21001A041,Anderlecht,3,Secondaires
1609,1609,21001A041,VEEWEYDE-SUD,1609,16,0,male,child,675,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
2481,2481,21001A041,VEEWEYDE-SUD,2481,17,1,female,child,1154,4,single_with_child,21001A041,Anderlecht,3,Secondaires
2482,2482,21001A041,VEEWEYDE-SUD,2482,16,0,male,child,1154,4,single_with_child,21001A041,Anderlecht,3,Secondaires
2494,2494,21001A041,VEEWEYDE-SUD,2494,16,0,male,child,1158,4,single_with_child,21001A041,Anderlecht,3,Secondaires
2971,2971,21001A472,STADE COMMUNAL - INDUSTRIE,2971,16,1,female,child,1488,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
2977,2977,21001A472,STADE COMMUNAL - INDUSTRIE,2977,16,0,male,child,1491,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3012,3012,21001A472,STADE COMMUNAL - INDUSTRIE,3012,17,1,female,child,1506,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3028,3028,21001A472,STADE COMMUNAL - INDUSTRIE,3028,16,1,female,child,1514,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3170,3170,21001A472,STADE COMMUNAL - INDUSTRIE,3170,16,0,male,child,1570,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3184,3184,21001A472,STADE COMMUNAL - INDUSTRIE,3184,17,0,male,child,1575,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3237,3237,21001A472,STADE COMMUNAL - INDUSTRIE,3237,16,1,female,child,1599,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3262,3262,21001A472,STADE COMMUNAL - INDUSTRIE,3262,16,0,male,child,1609,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3299,3299,21001A472,STADE COMMUNAL - INDUSTRIE,3299,17,0,male,child,1624,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3336,3336,21001A472,STADE COMMUNAL - INDUSTRIE,3336,17,0,male,child,1640,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3343,3343,21001A472,STADE COMMUNAL - INDUSTRIE,3343,17,1,female,child,1644,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
3349,3349,21001A472,STADE COMMUNAL - INDUSTRIE,3349,17,1,female,child,1645,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
4186,4186,21001A83-,PETERBOS,4186,17,1,female,child,2246,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4223,4223,21001A83-,PETERBOS,4223,17,0,male,child,2268,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4228,4228,21001A83-,PETERBOS,4228,16,1,female,child,2269,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4232,4232,21001A83-,PETERBOS,4232,17,0,male,child,2270,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4259,4259,21001A83-,PETERBOS,4259,16,1,female,child,2284,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4291,4291,21001A83-,PETERBOS,4291,16,1,female,child,2301,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4292,4292,21001A83-,PETERBOS,4292,16,0,male,child,2301,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4325,4325,21001A83-,PETERBOS,4325,17,0,male,child,2319,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4379,4379,21001A83-,PETERBOS,4379,17,1,female,child,2354,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4406,4406,21001A83-,PETERBOS,4406,17,0,male,child,2371,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4434,4434,21001A83-,PETERBOS,4434,17,1,female,child,2379,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4456,4456,21001A83-,PETERBOS,4456,17,1,female,child,2393,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4486,4486,21001A83-,PETERBOS,4486,17,1,female,child,2401,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4508,4508,21001A83-,PETERBOS,4508,17,0,male,child,2415,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4530,4530,21001A83-,PETERBOS,4530,16,0,male,child,2420,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4571,4571,21001A83-,PETERBOS,4571,17,1,female,child,2441,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4578,4578,21001A83-,PETERBOS,4578,16,1,female,child,2443,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4590,4590,21001A83-,PETERBOS,4590,17,0,male,child,2446,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4611,4611,21001A83-,PETERBOS,4611,17,0,male,child,2461,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4630,4630,21001A83-,PETERBOS,4630,16,0,male,child,2466,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4750,4750,21001A83-,PETERBOS,4750,16,1,female,child,2526,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4767,4767,21001A83-,PETERBOS,4767,17,0,male,child,2531,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4775,4775,21001A83-,PETERBOS,4775,16,1,female,child,2533,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4809,4809,21001A83-,PETERBOS,4809,17,1,female,child,2551,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4810,4810,21001A83-,PETERBOS,4810,17,1,female,child,2551,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4844,4844,21001A83-,PETERBOS,4844,17,0,male,child,2569,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4865,4865,21001A83-,PETERBOS,4865,17,0,male,child,2574,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
4948,4948,21001A83-,PETERBOS,4948,16,1,female,child,2613,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4951,4951,21001A83-,PETERBOS,4951,17,1,female,child,2614,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
4960,4960,21001A83-,PETERBOS,4960,17,0,male,child,2617,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
5052,5052,21001A83-,PETERBOS,5052,17,0,male,child,2659,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
5059,5059,21001A83-,PETERBOS,5059,16,1,female,child,2661,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
