,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType
62585,21001B20-,CONSEIL-NORD,62622,0,0,male,parent,34003,6,collectif,10,Hospital
62586,21001B20-,CONSEIL-NORD,62623,0,0,male,parent,34004,6,collectif,10,Hospital
62587,21001B20-,CONSEIL-NORD,62624,0,0,male,parent,34005,6,collectif,10,Hospital
62588,21001B20-,CONSEIL-NORD,62625,0,0,male,parent,34006,6,collectif,10,Hospital
62589,21001B20-,CONSEIL-NORD,62626,0,0,male,parent,34007,6,collectif,10,Hospital
62590,21001B20-,CONSEIL-NORD,62627,0,0,male,parent,34008,6,collectif,10,Hospital
79173,21001B11-,ROSEE-OUEST,79218,0,0,male,parent,42808,6,collectif,10,Hospital
79174,21001B11-,ROSEE-OUEST,79219,0,0,male,parent,42809,6,collectif,10,Hospital
79175,21001B11-,ROSEE-OUEST,79220,0,0,male,parent,42810,6,collectif,10,Hospital
79176,21001B11-,ROSEE-OUEST,79221,0,0,male,parent,42811,6,collectif,10,Hospital
86064,21001A011,KLEINMOLEN,86113,0,0,male,parent,46423,6,collectif,10,Hospital
86065,21001A011,KLEINMOLEN,86114,0,0,male,parent,46424,6,collectif,10,Hospital
88454,21001A07-,BIRMINGHAM,88504,0,0,male,parent,47667,6,collectif,10,Hospital
88455,21001A07-,BIRMINGHAM,88505,0,0,male,parent,47668,6,collectif,10,Hospital
142383,21002A372,QUARTIER INDUSTRIE,142445,0,0,male,parent,75238,6,collectif,10,Hospital
142384,21002A372,QUARTIER INDUSTRIE,142446,0,0,male,parent,75239,6,collectif,10,Hospital
167524,21003A331,ALLEE VERTE,167592,0,1,female,parent,88823,6,collectif,10,Hospital
213689,21004B2MJ,SCHUMAN (ROND-POINT),213781,0,0,male,parent,113711,6,collectif,10,Hospital
226450,21004A24-,MARCHE AU PORCS,226544,0,1,female,parent,121308,6,collectif,10,Hospital
226451,21004A24-,MARCHE AU PORCS,226545,0,1,female,parent,121309,6,collectif,10,Hospital
226452,21004A24-,MARCHE AU PORCS,226546,0,1,female,parent,121310,6,collectif,10,Hospital
226453,21004A24-,MARCHE AU PORCS,226547,0,1,female,parent,121311,6,collectif,10,Hospital
229662,21004A83-,E. JACQMAIN (BOULEVARD)-OUEST,229756,0,1,female,parent,123467,6,collectif,10,Hospital
229663,21004A83-,E. JACQMAIN (BOULEVARD)-OUEST,229757,0,1,female,parent,123468,6,collectif,10,Hospital
245410,21004B2NJ,CITE DE LA CHAUSSEE,245507,0,1,female,parent,131915,6,collectif,10,Hospital
245411,21004B2NJ,CITE DE LA CHAUSSEE,245508,0,1,female,parent,131916,6,collectif,10,Hospital
245496,21004B2NJ,CITE DE LA CHAUSSEE,245593,0,0,male,parent,132001,6,collectif,10,Hospital
245497,21004B2NJ,CITE DE LA CHAUSSEE,245594,0,0,male,parent,132002,6,collectif,10,Hospital
245498,21004B2NJ,CITE DE LA CHAUSSEE,245595,0,0,male,parent,132003,6,collectif,10,Hospital
248863,21004F9MJ,NEDER-HEEMBEEK-NORD,248961,0,1,female,parent,133672,6,collectif,10,Hospital
248864,21004F9MJ,NEDER-HEEMBEEK-NORD,248962,0,1,female,parent,133673,6,collectif,10,Hospital
248958,21004F9MJ,NEDER-HEEMBEEK-NORD,249056,0,0,male,parent,133767,6,collectif,10,Hospital
248959,21004F9MJ,NEDER-HEEMBEEK-NORD,249057,0,0,male,parent,133768,6,collectif,10,Hospital
248960,21004F9MJ,NEDER-HEEMBEEK-NORD,249058,0,0,male,parent,133769,6,collectif,10,Hospital
248961,21004F9MJ,NEDER-HEEMBEEK-NORD,249059,0,0,male,parent,133770,6,collectif,10,Hospital
248962,21004F9MJ,NEDER-HEEMBEEK-NORD,249060,0,0,male,parent,133771,6,collectif,10,Hospital
248963,21004F9MJ,NEDER-HEEMBEEK-NORD,249061,0,0,male,parent,133772,6,collectif,10,Hospital
270617,21004A002,BOURSE,270729,0,1,female,parent,147420,6,collectif,10,Hospital
270670,21004A002,BOURSE,270782,0,0,male,parent,147473,6,collectif,10,Hospital
271702,21004A34-,MONNAIE,271815,0,0,male,parent,148291,6,collectif,10,Hospital
271703,21004A34-,MONNAIE,271816,0,0,male,parent,148292,6,collectif,10,Hospital
272262,21004A15-,JACOBS (PLACE),272375,0,1,female,parent,148671,6,collectif,10,Hospital
284720,21004C52-,LOUISE (AVENUE)-NORD-OUEST,284837,0,1,female,parent,157098,6,collectif,10,Hospital
334790,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334921,0,0,male,parent,183144,6,collectif,10,Hospital
334791,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334922,0,0,male,parent,183145,6,collectif,10,Hospital
334792,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334923,0,0,male,parent,183146,6,collectif,10,Hospital
334793,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334924,0,0,male,parent,183147,6,collectif,10,Hospital
334794,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334925,0,0,male,parent,183148,6,collectif,10,Hospital
334795,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,334926,0,0,male,parent,183149,6,collectif,10,Hospital
347986,21004D631,ALLEE VERTE - BASSIN VERGOTE,348124,0,1,female,parent,189683,6,collectif,10,Hospital
347987,21004D631,ALLEE VERTE - BASSIN VERGOTE,348125,0,1,female,parent,189684,6,collectif,10,Hospital
347988,21004D631,ALLEE VERTE - BASSIN VERGOTE,348126,0,1,female,parent,189685,6,collectif,10,Hospital
348074,21004D631,ALLEE VERTE - BASSIN VERGOTE,348212,0,0,male,parent,189771,6,collectif,10,Hospital
354222,21004D6NJ,TOUR ET TAXIS,354368,0,1,female,parent,192713,6,collectif,10,Hospital
354223,21004D6NJ,TOUR ET TAXIS,354369,0,1,female,parent,192714,6,collectif,10,Hospital
354873,21004A822,RUE DES COMMERCANTS,355019,0,1,female,parent,193186,6,collectif,10,Hospital
355004,21004A822,RUE DES COMMERCANTS,355150,0,0,male,parent,193317,6,collectif,10,Hospital
355005,21004A822,RUE DES COMMERCANTS,355151,0,0,male,parent,193318,6,collectif,10,Hospital
359418,21004E101,PARVIS NOTRE DAME,359566,0,1,female,parent,195641,6,collectif,10,Hospital
359419,21004E101,PARVIS NOTRE DAME,359567,0,1,female,parent,195642,6,collectif,10,Hospital
359420,21004E101,PARVIS NOTRE DAME,359568,0,1,female,parent,195643,6,collectif,10,Hospital
359515,21004E101,PARVIS NOTRE DAME,359665,0,0,male,parent,195740,6,collectif,10,Hospital
435971,21005A21-,PORTE DE TERVUEREN - BRAFFORT,436139,0,0,male,parent,239491,6,collectif,10,Hospital
435972,21005A21-,PORTE DE TERVUEREN - BRAFFORT,436140,0,0,male,parent,239492,6,collectif,10,Hospital
442786,21006A094,BON PASTEUR,442959,0,1,female,parent,243366,6,collectif,10,Hospital
442787,21006A094,BON PASTEUR,442960,0,1,female,parent,243367,6,collectif,10,Hospital
442860,21006A094,BON PASTEUR,443033,0,0,male,parent,243440,6,collectif,10,Hospital
455604,21006A312,J. BORDET (AVENUE DE),455778,0,1,female,parent,250270,6,collectif,10,Hospital
455605,21006A312,J. BORDET (AVENUE DE),455779,0,1,female,parent,250271,6,collectif,10,Hospital
531700,21009A602,BELVEDERE,531895,0,1,female,parent,291686,6,collectif,10,Hospital
531797,21009A602,BELVEDERE,531992,0,0,male,parent,291783,6,collectif,10,Hospital
531798,21009A602,BELVEDERE,531993,0,0,male,parent,291784,6,collectif,10,Hospital
582474,21009A512,WIERTZ,582673,0,0,male,parent,323641,6,collectif,10,Hospital
587352,21009A922,CASERNE (Ixelles),587551,0,1,female,parent,326763,6,collectif,10,Hospital
587353,21009A922,CASERNE (Ixelles),587552,0,1,female,parent,326764,6,collectif,10,Hospital
587445,21009A922,CASERNE (Ixelles),587644,0,0,male,parent,326856,6,collectif,10,Hospital
667495,21011A02-,JACQUET (RUE DE),667712,0,1,female,parent,367581,6,collectif,10,Hospital
667496,21011A02-,JACQUET (RUE DE),667713,0,1,female,parent,367582,6,collectif,10,Hospital
667661,21011A02-,JACQUET (RUE DE),667880,0,0,male,parent,367749,6,collectif,10,Hospital
667662,21011A02-,JACQUET (RUE DE),667881,0,0,male,parent,367750,6,collectif,10,Hospital
667663,21011A02-,JACQUET (RUE DE),667882,0,0,male,parent,367751,6,collectif,10,Hospital
667664,21011A02-,JACQUET (RUE DE),667883,0,0,male,parent,367752,6,collectif,10,Hospital
667665,21011A02-,JACQUET (RUE DE),667884,0,0,male,parent,367753,6,collectif,10,Hospital
667666,21011A02-,JACQUET (RUE DE),667885,0,0,male,parent,367754,6,collectif,10,Hospital
696963,21012A851,CONDOR,697188,0,1,female,parent,383136,6,collectif,10,Hospital
696964,21012A851,CONDOR,697189,0,1,female,parent,383137,6,collectif,10,Hospital
697080,21012A851,CONDOR,697305,0,0,male,parent,383253,6,collectif,10,Hospital
697081,21012A851,CONDOR,697306,0,0,male,parent,383254,6,collectif,10,Hospital
703772,21012A672,ULENS,704006,0,0,male,parent,386565,6,collectif,10,Hospital
727264,21012A53-,SIPPELBERG,727515,0,0,male,parent,398141,6,collectif,10,Hospital
727265,21012A53-,SIPPELBERG,727516,0,0,male,parent,398142,6,collectif,10,Hospital
727266,21012A53-,SIPPELBERG,727517,0,0,male,parent,398143,6,collectif,10,Hospital
803984,21013A612,JAMAR,804272,0,0,male,parent,439132,6,collectif,10,Hospital
803985,21013A612,JAMAR,804273,0,0,male,parent,439133,6,collectif,10,Hospital
844118,21014A12-,SAINT-LAZARE,844417,0,0,male,parent,462278,6,collectif,10,Hospital
857291,21014A3MJ,MANHATTAN,857594,0,1,female,parent,468956,6,collectif,10,Hospital
857292,21014A3MJ,MANHATTAN,857595,0,1,female,parent,468957,6,collectif,10,Hospital
