,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType
0,21011A30-,ARCHERS - FOUREZ,654133,17,0,male,parent,361109,6,collectif,10,Hospital
1,21012A62-,LIBERATEURS,716722,12,1,female,parent,392600,6,collectif,10,Hospital
2,21007A03-,FOYER FORESTOIS - FAMILLE,482510,9,0,male,parent,264049,6,collectif,10,Hospital
3,21013A23-,ROI (AVENUE DU),800172,6,1,female,parent,436416,6,collectif,10,Hospital
4,21004E82-,CITE MODELE,373537,8,0,male,parent,203165,6,collectif,10,Hospital
5,21014A03-,MADOU,844033,9,0,male,parent,462035,6,collectif,10,Hospital
6,21001C70-,BON AIR - CENTRE,24302,9,1,female,parent,13455,6,collectif,10,Hospital
7,21015A152,PR. ELISABETH-NORD,934574,6,1,female,parent,509084,6,collectif,10,Hospital
8,21004D62-,ANVERS (CHAUSSEE D')-NORD,346589,7,0,male,parent,188758,6,collectif,10,Hospital
9,21004A34-,MONNAIE,271649,11,1,female,parent,148125,6,collectif,10,Hospital
10,21006A13-,MAISON COMMUNALE,440850,7,0,male,parent,242117,6,collectif,10,Hospital
11,21010A00-,CENTRE,630275,8,1,female,parent,349067,6,collectif,10,Hospital
12,21001B10-,ROSEE-EST,111917,12,1,female,parent,59082,6,collectif,10,Hospital
13,21015A01-,VAN YSENDYCK (RUE),977995,12,1,female,parent,530047,6,collectif,10,Hospital
14,21001B21-,BROGNIEZ-NORD,92158,3,0,male,parent,49558,6,collectif,10,Hospital
15,21001B241,REVISION-SUD,115258,17,1,female,parent,60919,6,collectif,10,Hospital
16,21016A601,BOURDON,1053071,15,0,male,parent,570794,6,collectif,10,Hospital
17,21004G30-,SAINTE-ELISABETH,205469,13,1,female,parent,108595,6,collectif,10,Hospital
18,21012A10-,DUCHESSE DE BRABANT,692018,4,0,male,parent,380527,6,collectif,10,Hospital
19,21011A20-,PLATEAU,657808,12,1,female,parent,362801,6,collectif,10,Hospital
20,21015A101,GARE,936658,8,1,female,parent,510153,6,collectif,10,Hospital
21,21010A21-,MADELEINE,644291,15,1,female,parent,356104,6,collectif,10,Hospital
22,21014A05-,HOUWAERT,857056,9,0,male,parent,468653,6,collectif,10,Hospital
23,21001A30-,BIZET,45250,12,0,male,parent,24829,6,collectif,10,Hospital
24,21012A71-,PIERS,738100,15,1,female,parent,403252,6,collectif,10,Hospital
25,21005A15-,SAINT-MICHEL COLLEGE,411928,14,1,female,parent,225118,6,collectif,10,Hospital
26,21015A40-,BRABANT (RUE DE),953568,14,1,female,parent,518428,6,collectif,10,Hospital
27,21012A12-,BIRMINGHAM-SUD,701090,8,1,female,parent,385076,6,collectif,10,Hospital
28,21002A12-,AVENUE SCHALLER,158607,13,0,male,parent,84079,6,collectif,10,Hospital
29,21016A731,ROETAERT,1031491,9,1,female,parent,558825,6,collectif,10,Hospital
30,21001B321,ALBERT I- QUARTIER,56682,13,1,female,parent,30977,6,collectif,10,Hospital
31,21001B10-,ROSEE-EST,112154,3,0,male,parent,59319,6,collectif,10,Hospital
32,21010A05-,ALBERT (QUARTIER),619094,10,0,male,parent,343324,6,collectif,10,Hospital
33,21013A211,FONTAINAS,810774,9,0,male,parent,442746,6,collectif,10,Hospital
34,21012A62-,LIBERATEURS,717065,15,0,male,parent,392943,6,collectif,10,Hospital
35,21004E82-,CITE MODELE,373584,5,0,male,parent,203212,6,collectif,10,Hospital
36,21004E74-,EM. DELVA (RUE),314464,9,0,male,parent,173107,6,collectif,10,Hospital
37,21013A201,ANGLETERRE (RUE D'),796441,8,1,female,parent,434491,6,collectif,10,Hospital
38,21012A02-,BRUNFAUT (QUARTIER),772115,16,0,male,parent,421237,6,collectif,10,Hospital
39,21001A82-,MOORTEBEEK,39740,9,0,male,parent,21815,6,collectif,10,Hospital
40,21006A011,CENTRE,474851,10,1,female,parent,260173,6,collectif,10,Hospital
41,21004E12-,PRINCE LEOPOLD (SQUARE),353878,14,0,male,parent,192408,6,collectif,10,Hospital
42,21004C65-,VIVIER D'OIE,198085,14,1,female,parent,105130,6,collectif,10,Hospital
43,21001B22-,BROGNIEZ-SUD,54681,14,1,female,parent,30003,6,collectif,10,Hospital
44,21004F522,AVENUE DE VERSAILLES,369405,15,1,female,parent,200937,6,collectif,10,Hospital
45,21016A533,MOENSBERG,1049774,9,0,male,parent,569026,6,collectif,10,Hospital
46,21015A111,MAETERLINCK,939654,9,1,female,parent,511490,6,collectif,10,Hospital
47,21004D610,ANVERS (CHAUSSEE D')-SUD,382370,6,1,female,parent,208083,6,collectif,10,Hospital
48,21004E800,DIVIN JESUS,356427,7,1,female,parent,193919,6,collectif,10,Hospital
49,21002A411,PUTDAAL,148105,12,0,male,parent,78471,6,collectif,10,Hospital
50,21004E72-,MAISON ROUGE (PLACE)-SUD,340951,6,1,female,parent,185807,6,collectif,10,Hospital
51,21004A32-,CONGRES - GARE,283595,12,0,male,parent,156299,6,collectif,10,Hospital
52,21001B21-,BROGNIEZ-NORD,91908,4,1,female,parent,49308,6,collectif,10,Hospital
53,21004A02-,SAINT-FRANCOIS XAVIER,250747,14,0,male,parent,134961,6,collectif,10,Hospital
54,21015A33-,BIENFAITEURS (PLACE DE),907333,8,1,female,parent,494993,6,collectif,10,Hospital
55,21004F94-,VAL MARIA,199925,13,1,female,parent,106032,6,collectif,10,Hospital
56,21001A83-,PETERBOS,7158,8,0,male,parent,3862,6,collectif,10,Hospital
57,21001B11-,ROSEE-OUEST,79052,6,1,female,parent,42642,6,collectif,10,Hospital
58,21004G30-,SAINTE-ELISABETH,205447,14,1,female,parent,108573,6,collectif,10,Hospital
59,21015A021,HOUFFALIZE (PLACE),894645,7,0,male,parent,488636,6,collectif,10,Hospital
60,21018A02-,SLEGERS (AVENUE),1141321,15,1,female,parent,619952,6,collectif,10,Hospital
61,21002A12-,AVENUE SCHALLER,158619,10,0,male,parent,84091,6,collectif,10,Hospital
62,21014A10-,SAINT-FRANCOIS,842468,12,1,female,parent,461100,6,collectif,10,Hospital
63,21005A15-,SAINT-MICHEL COLLEGE,412057,8,0,male,parent,225247,6,collectif,10,Hospital
64,21016A01-,DIEWEG,1058737,9,0,male,parent,573656,6,collectif,10,Hospital
65,21004E130,SACRE-COEUR,330475,15,1,female,parent,180834,6,collectif,10,Hospital
66,21004E70-,MARIE-CHRISTINE (RUE),305736,10,0,male,parent,169045,6,collectif,10,Hospital
67,21004G321,HAREN-EST,209007,14,1,female,parent,110565,6,collectif,10,Hospital
