,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21001A95-,BUFFON,108505,5,0,male,child,57288,1,couple_with_child,21001A95-,Anderlecht,2,Primaires
1,21001B241,REVISION-SUD,114403,5,0,male,child,60410,1,couple_with_child,21001B241,Anderlecht,2,Primaires
2,21001A92-,JAKOB SMITS,101079,5,0,male,child,53720,1,couple_with_child,21001A92-,Anderlecht,2,Primaires
3,21001A72-,OSSEGEM,81699,5,0,male,child,43812,4,single_with_child,21001A72-,Anderlecht,2,Primaires
4,21001A95-,BUFFON,108416,5,0,male,child,57263,4,single_with_child,21001A95-,Anderlecht,2,Primaires
5,21002A130,PARC DES PRINCES,140230,5,0,male,child,73897,1,couple_with_child,21002A130,Auderghem,2,Primaires
6,21003A2MJ,GARE,185630,5,0,male,parent,97848,1,couple_with_child,21003A2MJ,Berchem Sainte-Agathe,2,Primaires
7,21004D62-,ANVERS (CHAUSSEE D')-NORD,345119,5,0,male,child,187783,1,couple_with_child,21004D62-,Bruxelles,2,Primaires
8,21004E72-,MAISON ROUGE (PLACE)-SUD,341271,5,0,male,parent,184133,1,couple_with_child,21004E72-,Bruxelles,2,Primaires
9,21004A34-,MONNAIE,271020,5,0,male,child,147566,1,couple_with_child,21004A34-,Bruxelles,2,Primaires
10,21004E14-,ECOLE DES CADETS,365255,5,0,male,child,198656,1,couple_with_child,21004E14-,Bruxelles,2,Primaires
11,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,332272,5,0,male,child,181709,1,couple_with_child,21004E73-,Bruxelles,2,Primaires
12,21004A21-,ANNEESSENS (PLACE),298937,5,0,male,parent,163666,4,single_with_child,21004A21-,Bruxelles,2,Primaires
13,21004E82-,CITE MODELE,371178,5,0,male,child,201857,1,couple_with_child,21004E82-,Bruxelles,2,Primaires
