,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21001A43-,VAN BEETHOVEN,10939,11,0,male,child,5982,1,couple_with_child,21001A43-,Anderlecht,3,Secondaires
1,21001A90-,SCHEUTKAPEL,71360,11,0,male,child,38489,1,couple_with_child,21001A90-,Anderlecht,3,Secondaires
2,21001A90-,SCHEUTKAPEL,70927,11,0,male,child,38317,1,couple_with_child,21001A90-,Anderlecht,3,Secondaires
3,21001B23-,CONSEIL-SUD,64187,11,0,male,parent,34323,1,couple_with_child,21001B23-,Anderlecht,3,Secondaires
4,21001A02-,WAYEZ,122206,11,0,male,child,64469,1,couple_with_child,21001A02-,Anderlecht,3,Secondaires
5,21001A92-,JAKOB SMITS,101597,11,0,male,child,53900,1,couple_with_child,21001A92-,Anderlecht,3,Secondaires
6,21002A10-,TRANSVAAL,156309,11,0,male,child,82848,4,single_with_child,21002A10-,Auderghem,3,Secondaires
7,21002A30-,TRIOMPHE (BOULEVARD DU),143720,11,0,male,parent,75314,1,couple_with_child,21002A30-,Auderghem,3,Secondaires
8,21002A030,LAMMERENDRIES,151665,11,0,male,child,80336,1,couple_with_child,21002A030,Auderghem,3,Secondaires
9,21003A05-,DE SELLIERS DE MORANVILLE,183394,11,0,male,child,96717,4,single_with_child,21003A05-,Berchem Sainte-Agathe,3,Secondaires
10,21004E72-,MAISON ROUGE (PLACE)-SUD,336273,11,0,male,child,183681,1,couple_with_child,21004E72-,Bruxelles,3,Secondaires
11,21004E72-,MAISON ROUGE (PLACE)-SUD,338181,11,0,male,child,184303,1,couple_with_child,21004E72-,Bruxelles,3,Secondaires
12,21004F531,RUE DES FAINES,231130,11,0,male,child,124169,1,couple_with_child,21004F531,Bruxelles,3,Secondaires
13,21004D62-,ANVERS (CHAUSSEE D')-NORD,343440,11,0,male,child,187202,1,couple_with_child,21004D62-,Bruxelles,3,Secondaires
14,21004E800,DIVIN JESUS,355677,11,0,male,child,193547,1,couple_with_child,21004E800,Bruxelles,3,Secondaires
15,21004A70-,BLAES (RUE)-SUD,251950,11,0,male,child,135578,1,couple_with_child,21004A70-,Bruxelles,3,Secondaires
16,21004D610,ANVERS (CHAUSSEE D')-SUD,380229,11,0,male,child,207066,4,single_with_child,21004D610,Bruxelles,3,Secondaires
