,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21001A041,VEEWEYDE-SUD,1536,6,0,male,child,644,1,couple_with_child,21001A041,Anderlecht,1,Maternelles
1,21001A041,VEEWEYDE-SUD,1867,6,0,male,child,760,1,couple_with_child,21001A041,Anderlecht,1,Maternelles
2,21001A041,VEEWEYDE-SUD,1334,6,0,male,child,568,1,couple_with_child,21001A041,Anderlecht,1,Maternelles
3,21001A472,STADE COMMUNAL - INDUSTRIE,3278,6,0,male,child,1615,1,couple_with_child,21001A472,Anderlecht,1,Maternelles
4,21001A83-,PETERBOS,5626,6,0,male,child,2901,4,single_with_child,21001A83-,Anderlecht,1,Maternelles
5,21001A83-,PETERBOS,5313,6,0,male,child,2769,4,single_with_child,21001A83-,Anderlecht,1,Maternelles
6,21001A83-,PETERBOS,6227,6,0,male,child,3118,1,couple_with_child,21001A83-,Anderlecht,1,Maternelles
7,21001A503,VIVES,7974,6,0,male,child,4354,1,couple_with_child,21001A503,Anderlecht,1,Maternelles
8,21001A332,ROUE,9755,6,0,male,child,5326,1,couple_with_child,21001A332,Anderlecht,1,Maternelles
9,21001A43-,VAN BEETHOVEN,11664,6,0,male,child,6365,4,single_with_child,21001A43-,Anderlecht,1,Maternelles
10,21001A401,ARBORETUM,12275,6,0,male,child,6734,1,couple_with_child,21001A401,Anderlecht,1,Maternelles
11,21001A32-,AURORE,15871,6,0,male,child,8515,1,couple_with_child,21001A32-,Anderlecht,1,Maternelles
12,21001A32-,AURORE,16079,6,0,male,child,8580,1,couple_with_child,21001A32-,Anderlecht,1,Maternelles
13,21001A32-,AURORE,14773,6,0,male,child,8046,1,couple_with_child,21001A32-,Anderlecht,1,Maternelles
14,21001A32-,AURORE,15883,6,0,male,child,8518,1,couple_with_child,21001A32-,Anderlecht,1,Maternelles
15,21001A41-,ROMAIN ROLLAND,19348,6,0,male,child,10476,1,couple_with_child,21001A41-,Anderlecht,1,Maternelles
16,21001A41-,ROMAIN ROLLAND,18814,6,0,male,child,10251,1,couple_with_child,21001A41-,Anderlecht,1,Maternelles
17,21001A85-,AUBADE,20721,6,0,male,child,11272,1,couple_with_child,21001A85-,Anderlecht,1,Maternelles
18,21001A51-,SCHERDEMAEL,22280,6,0,male,child,12194,1,couple_with_child,21001A51-,Anderlecht,1,Maternelles
19,21001A42-,KAT,23182,6,0,male,child,12778,1,couple_with_child,21001A42-,Anderlecht,1,Maternelles
