,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType
0,21001A43-,VAN BEETHOVEN,10990,18,1,female,child,6003,4,single_with_child,21001A43-,Anderlecht,21001A43-,VAN BEETHOVEN,Anderlecht,7,StayHome
1,21001C70-,BON AIR - CENTRE,24248,18,1,female,parent,13411,5,colloc,21001C70-,Anderlecht,21001C70-,BON AIR - CENTRE,Anderlecht,7,StayHome
2,21006A23-,DU BONHEUR,454505,18,1,female,parent,249245,2,couple_no_child,21006A23-,Evere,21006A23-,DU BONHEUR,Evere,7,StayHome
3,21007A101,BOURGOGNE,510623,18,1,female,child,279086,1,couple_with_child,21007A101,Forest,21007A101,BOURGOGNE,Forest,7,StayHome
4,21010A04-,NOTRE-DAME DE LOURDES,595732,18,1,female,child,331316,1,couple_with_child,21010A04-,Jette,21010A04-,NOTRE-DAME DE LOURDES,Jette,7,StayHome
5,21016A111,VERT CHASSEUR,1014244,18,1,female,parent,548917,2,couple_no_child,21016A111,Uccle,21016A111,VERT CHASSEUR,Uccle,7,StayHome
6,21001A041,VEEWEYDE-SUD,2176,18,0,male,parent,861,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,7,StayHome
7,21001A451,VENIZELOS,41452,18,0,male,child,22791,1,couple_with_child,21001A451,Anderlecht,21001A451,VENIZELOS,Anderlecht,7,StayHome
8,21001A74-,SCHEUT-OUEST,97577,18,0,male,child,52028,1,couple_with_child,21001A74-,Anderlecht,21001A74-,SCHEUT-OUEST,Anderlecht,7,StayHome
9,21001A041,VEEWEYDE-SUD,2046,18,0,male,parent,817,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,7,StayHome
10,21001A152,LINDE-OUEST,121382,18,0,male,parent,64001,1,couple_with_child,21001A152,Anderlecht,21001A152,LINDE-OUEST,Anderlecht,7,StayHome
11,21001A120,MINIMES,118239,18,0,male,child,62380,1,couple_with_child,21001A120,Anderlecht,21001A120,MINIMES,Anderlecht,7,StayHome
12,21001A90-,SCHEUTKAPEL,71087,18,0,male,child,38386,1,couple_with_child,21001A90-,Anderlecht,21001A90-,SCHEUTKAPEL,Anderlecht,7,StayHome
13,21001A941,CROCUS,68524,18,0,male,child,37044,1,couple_with_child,21001A941,Anderlecht,21001A941,CROCUS,Anderlecht,7,StayHome
14,21001B21-,BROGNIEZ-NORD,91479,18,0,male,parent,49051,3,single,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,7,StayHome
15,21001A152,LINDE-OUEST,121278,18,0,male,parent,63962,1,couple_with_child,21001A152,Anderlecht,21001A152,LINDE-OUEST,Anderlecht,7,StayHome
