,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21001A041,VEEWEYDE-SUD,982,18,0,male,child,439,4,single_with_child,21001A041,Anderlecht,3,Secondaires
1,21001A041,VEEWEYDE-SUD,1271,18,0,male,child,547,4,single_with_child,21001A041,Anderlecht,3,Secondaires
2,21001A041,VEEWEYDE-SUD,622,18,0,male,child,303,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
3,21001A041,VEEWEYDE-SUD,1522,18,0,male,child,640,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
4,21001A041,VEEWEYDE-SUD,981,18,0,male,child,439,4,single_with_child,21001A041,Anderlecht,3,Secondaires
5,21001A041,VEEWEYDE-SUD,1517,18,0,male,child,639,1,couple_with_child,21001A041,Anderlecht,3,Secondaires
6,21001A472,STADE COMMUNAL - INDUSTRIE,3020,18,0,male,child,1510,1,couple_with_child,21001A472,Anderlecht,3,Secondaires
7,21001A83-,PETERBOS,4627,18,0,male,child,2465,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
8,21001A83-,PETERBOS,4824,18,0,male,child,2555,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
9,21001A83-,PETERBOS,5579,18,0,male,child,2882,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
10,21001A83-,PETERBOS,5159,18,0,male,child,2704,4,single_with_child,21001A83-,Anderlecht,3,Secondaires
11,21001A83-,PETERBOS,4870,18,0,male,child,2575,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
12,21001A83-,PETERBOS,4730,18,0,male,child,2512,1,couple_with_child,21001A83-,Anderlecht,3,Secondaires
13,21001A503,VIVES,7704,18,0,male,child,4220,1,couple_with_child,21001A503,Anderlecht,3,Secondaires
14,21001A503,VIVES,7608,18,0,male,child,4170,4,single_with_child,21001A503,Anderlecht,3,Secondaires
15,21001A503,VIVES,8134,18,0,male,child,4436,1,couple_with_child,21001A503,Anderlecht,3,Secondaires
16,21001A332,ROUE,9544,18,0,male,child,5249,1,couple_with_child,21001A332,Anderlecht,3,Secondaires
17,21001A332,ROUE,9715,18,0,male,child,5313,4,single_with_child,21001A332,Anderlecht,3,Secondaires
18,21001A332,ROUE,9317,18,0,male,child,5170,1,couple_with_child,21001A332,Anderlecht,3,Secondaires
19,21001A43-,VAN BEETHOVEN,10563,18,0,male,child,5832,1,couple_with_child,21001A43-,Anderlecht,3,Secondaires
20,21001A43-,VAN BEETHOVEN,10602,18,0,male,child,5847,4,single_with_child,21001A43-,Anderlecht,3,Secondaires
21,21001A43-,VAN BEETHOVEN,11103,18,0,male,child,6046,1,couple_with_child,21001A43-,Anderlecht,3,Secondaires
22,21001A32-,AURORE,15166,18,0,male,child,8223,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
23,21001A32-,AURORE,15383,18,0,male,child,8316,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
24,21001A32-,AURORE,14679,18,0,male,child,8008,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
25,21001A32-,AURORE,15312,18,0,male,child,8285,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
26,21001A32-,AURORE,14751,18,0,male,child,8040,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
27,21001A32-,AURORE,13375,18,0,male,child,7420,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
28,21001A32-,AURORE,14526,18,0,male,child,7943,4,single_with_child,21001A32-,Anderlecht,3,Secondaires
29,21001A32-,AURORE,15055,18,0,male,child,8170,1,couple_with_child,21001A32-,Anderlecht,3,Secondaires
