,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkID,WorkType
3,21001A041,VEEWEYDE-SUD,2032,18,0,male,parent,814,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
5,21001A041,VEEWEYDE-SUD,2061,18,0,male,parent,821,2,couple_no_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
8,21001A041,VEEWEYDE-SUD,2145,18,0,male,parent,848,2,couple_no_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
11,21001A041,VEEWEYDE-SUD,2162,18,0,male,parent,855,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
25,21001A041,VEEWEYDE-SUD,2193,18,1,female,parent,874,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
27,21001A041,VEEWEYDE-SUD,2197,18,1,female,parent,876,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
28,21001A041,VEEWEYDE-SUD,2198,18,1,female,parent,877,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
33,21001A041,VEEWEYDE-SUD,2475,18,0,male,parent,1150,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
34,21001A041,VEEWEYDE-SUD,2476,18,0,male,parent,1151,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
41,21001A041,VEEWEYDE-SUD,599,18,1,female,child,297,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
61,21001A472,STADE COMMUNAL - INDUSTRIE,3442,18,0,male,parent,1684,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
67,21001A472,STADE COMMUNAL - INDUSTRIE,3506,18,0,male,parent,1710,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
74,21001A472,STADE COMMUNAL - INDUSTRIE,3518,18,1,female,parent,1718,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
75,21001A472,STADE COMMUNAL - INDUSTRIE,3520,18,1,female,parent,1719,2,couple_no_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
77,21001A472,STADE COMMUNAL - INDUSTRIE,3523,18,1,female,parent,1721,3,single,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
81,21001A472,STADE COMMUNAL - INDUSTRIE,2963,18,1,female,child,1485,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
100,21001A83-,PETERBOS,6096,18,0,male,parent,3080,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
102,21001A83-,PETERBOS,6103,18,0,male,parent,3082,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
104,21001A83-,PETERBOS,6110,18,0,male,parent,3084,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
105,21001A83-,PETERBOS,6115,18,0,male,parent,3085,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
106,21001A83-,PETERBOS,6138,18,0,male,parent,3092,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
107,21001A83-,PETERBOS,6143,18,0,male,parent,3093,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
108,21001A83-,PETERBOS,6152,18,0,male,parent,3095,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
109,21001A83-,PETERBOS,6170,18,0,male,parent,3102,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
110,21001A83-,PETERBOS,6174,18,0,male,parent,3103,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
128,21001A83-,PETERBOS,6325,18,1,female,parent,3152,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
129,21001A83-,PETERBOS,6326,18,0,male,parent,3152,1,couple_with_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
130,21001A83-,PETERBOS,6327,18,1,female,parent,3153,2,couple_no_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
131,21001A83-,PETERBOS,6328,18,0,male,parent,3153,2,couple_no_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
132,21001A83-,PETERBOS,6329,18,1,female,parent,3154,2,couple_no_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
133,21001A83-,PETERBOS,6330,18,0,male,parent,3154,2,couple_no_child,21001A83-,Anderlecht,21001A83-,PETERBOS,Anderlecht,6,Worker
