,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21004E81-,DISQUE (RUE DU),377281,18,1,female,child,205357,1,couple_with_child,21004E81-,Bruxelles,5,Unif off campus
1,21002A372,QUARTIER INDUSTRIE,142173,18,1,female,parent,74995,1,couple_with_child,21002A372,Auderghem,5,Unif off campus
2,21007A61-,MONTENEGRO (RUE),499233,18,1,female,child,273273,1,couple_with_child,21007A61-,Forest,5,Unif off campus
3,21005A13-,LA CHASSE,400785,18,1,female,parent,218597,3,single,21005A13-,Etterbeek,5,Unif off campus
4,21003A323,SEPT ETOILES,165572,18,1,female,parent,87628,1,couple_with_child,21003A323,Berchem Sainte-Agathe,5,Unif off campus
5,21009A21-,ETE,546262,18,1,female,parent,300123,3,single,21009A21-,Ixelles,5,Unif off campus
6,21016A311,FORT JACO,1086848,18,1,female,child,588877,1,couple_with_child,21016A311,Uccle,5,Unif off campus
7,21002A130,PARC DES PRINCES,139893,18,1,female,child,73792,1,couple_with_child,21002A130,Auderghem,5,Unif off campus
8,21010A141,BRUGMANN,634206,18,1,female,parent,350938,2,couple_no_child,21010A141,Jette,5,Unif off campus
9,21004A03-,BON SECOURS - PALAIS DU MIDI,256960,18,1,female,parent,138410,3,single,21004A03-,Bruxelles,5,Unif off campus
10,21013A22-,REGIES,806905,18,1,female,parent,440281,2,couple_no_child,21013A22-,Saint-Gilles,5,Unif off campus
11,21009A40-,MELEZES,536389,18,1,female,parent,294209,3,single,21009A40-,Ixelles,5,Unif off campus
12,21003A312,POTAARDE  VLAK,164302,18,1,female,parent,86802,2,couple_no_child,21003A312,Berchem Sainte-Agathe,5,Unif off campus
13,21005A11-,NOTRE-DAME DU SACRE-COEUR,421455,18,1,female,parent,230498,3,single,21005A11-,Etterbeek,5,Unif off campus
14,21013A422,CRICKX (RUE),785626,18,1,female,parent,428290,2,couple_no_child,21013A422,Saint-Gilles,5,Unif off campus
15,21001A332,ROUE,9564,18,1,female,child,5256,1,couple_with_child,21001A332,Anderlecht,5,Unif off campus
16,21015A22-,MARBOTIN A. (RUE),986150,18,1,female,parent,533785,2,couple_no_child,21015A22-,Schaerbeek,5,Unif off campus
18,21006A22-,SAINT-EXUPERY,471422,18,1,female,parent,258452,3,single,21006A22-,Evere,5,Unif off campus
19,21004E82-,CITE MODELE,371214,18,1,female,child,201875,1,couple_with_child,21004E82-,Bruxelles,5,Unif off campus
20,21016A71-,KEIENBEMPT,1036956,18,1,female,child,561782,1,couple_with_child,21016A71-,Uccle,5,Unif off campus
21,21003A312,POTAARDE  VLAK,164304,18,1,female,parent,86803,2,couple_no_child,21003A312,Berchem Sainte-Agathe,5,Unif off campus
22,21009A2MJ,CAMPUS UNIVERSITAIRE,557965,18,1,female,parent,307512,3,single,21009A2MJ,Ixelles,5,Unif off campus
23,21019A21-,MANOIR,1212824,18,1,female,child,660053,1,couple_with_child,21019A21-,Woluwe Saint-Pierre,5,Unif off campus
24,21016A01-,DIEWEG,1056392,18,1,female,child,572329,1,couple_with_child,21016A01-,Uccle,5,Unif off campus
25,21001A552,TREFLE,26716,18,1,female,child,14603,4,single_with_child,21001A552,Anderlecht,5,Unif off campus
26,21005A12-,SAINT-ANTOINE,429765,18,1,female,child,235291,1,couple_with_child,21005A12-,Etterbeek,5,Unif off campus
27,21002A12-,AVENUE SCHALLER,157245,18,1,female,child,83416,1,couple_with_child,21002A12-,Auderghem,5,Unif off campus
28,21002A10-,TRANSVAAL,155978,18,1,female,parent,82561,1,couple_with_child,21002A10-,Auderghem,5,Unif off campus
29,21009A82-,FORET,567518,18,1,female,parent,313842,3,single,21009A82-,Ixelles,5,Unif off campus
30,21019A40-,SAINTE-ALIX,1216703,18,1,female,parent,661773,2,couple_no_child,21019A40-,Woluwe Saint-Pierre,5,Unif off campus
31,21005A311,CASERNE (Etterbeek),406351,18,0,male,child,222056,4,single_with_child,21005A311,Etterbeek,5,Unif off campus
32,21019A21-,MANOIR,1213714,18,0,male,parent,660397,1,couple_with_child,21019A21-,Woluwe Saint-Pierre,5,Unif off campus
33,21004A01-,VIEILLE HALLE AUX BLES,262147,18,0,male,parent,141954,3,single,21004A01-,Bruxelles,5,Unif off campus
34,21004G30-,SAINTE-ELISABETH,204855,18,0,male,parent,108154,1,couple_with_child,21004G30-,Bruxelles,5,Unif off campus
35,21010A05-,ALBERT (QUARTIER),615140,18,0,male,child,341218,1,couple_with_child,21010A05-,Jette,5,Unif off campus
36,21004F511,AVENUE DES PAGODES,196577,18,0,male,parent,104156,2,couple_no_child,21004F511,Bruxelles,5,Unif off campus
37,21004A21-,ANNEESSENS (PLACE),297637,18,0,male,parent,164712,3,single,21004A21-,Bruxelles,5,Unif off campus
38,21012A54-,DELHAIZE,728646,18,0,male,child,398597,4,single_with_child,21012A54-,Molenbeek Saint-Jean,5,Unif off campus
39,21009A21-,ETE,547317,18,0,male,parent,301174,3,single,21009A21-,Ixelles,5,Unif off campus
40,21019A131,KONKEL,1181704,18,0,male,child,643161,1,couple_with_child,21019A131,Woluwe Saint-Pierre,5,Unif off campus
41,21002A12-,AVENUE SCHALLER,158161,18,0,male,parent,83753,1,couple_with_child,21002A12-,Auderghem,5,Unif off campus
