,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
17,21011A20-,PLATEAU,657310,18,1,female,parent,362394,5,colloc,21011A20-,Koekelberg,4 or 5,Unif on or off campus
79,21015A00-,COLIGNON (PLACE),975901,19,1,female,parent,528677,5,colloc,21015A00-,Schaerbeek,4 or 5,Unif on or off campus
95,21004E70-,MARIE-CHRISTINE (RUE),304991,19,1,female,parent,168469,5,colloc,21004E70-,Bruxelles,4 or 5,Unif on or off campus
111,21004E12-,PRINCE LEOPOLD (SQUARE),353270,19,1,female,parent,191977,5,colloc,21004E12-,Bruxelles,4 or 5,Unif on or off campus
163,21001A00-,RESISTANCE,105577,19,1,female,parent,56000,5,colloc,21001A00-,Anderlecht,4 or 5,Unif on or off campus
166,21015A45-,STEPHENSON (PLACE),968775,19,1,female,parent,525677,5,colloc,21015A45-,Schaerbeek,4 or 5,Unif on or off campus
241,21013A51-,TOISON D'OR (AVENUE),828598,19,1,female,parent,453704,5,colloc,21013A51-,Saint-Gilles,4 or 5,Unif on or off campus
337,21012A23-,MACHTENS-SUD,756736,19,1,female,parent,413178,5,colloc,21012A23-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
380,21010A05-,ALBERT (QUARTIER),618244,19,1,female,parent,342620,5,colloc,21010A05-,Jette,4 or 5,Unif on or off campus
410,21001A011,KLEINMOLEN,85634,19,1,female,parent,46037,5,colloc,21001A011,Anderlecht,4 or 5,Unif on or off campus
440,21015A13-,PORTAELS (RUE),983007,19,1,female,parent,532421,5,colloc,21015A13-,Schaerbeek,4 or 5,Unif on or off campus
445,21012A10-,DUCHESSE DE BRABANT,691549,19,1,female,parent,380099,5,colloc,21012A10-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
451,21012A21-,MARIE-JOSE BLOCS,740211,19,1,female,parent,404536,5,colloc,21012A21-,Molenbeek Saint-Jean,4 or 5,Unif on or off campus
495,21015A44-,REINE (AVENUE),958970,19,1,female,parent,520998,5,colloc,21015A44-,Schaerbeek,4 or 5,Unif on or off campus
