,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
2183,21001A041,VEEWEYDE-SUD,2183,20,1,female,parent,866,4,single_with_child,21001A041,Anderlecht,6,Worker
2184,21001A041,VEEWEYDE-SUD,2184,20,1,female,parent,867,4,single_with_child,21001A041,Anderlecht,6,Worker
2191,21001A041,VEEWEYDE-SUD,2191,19,1,female,parent,872,4,single_with_child,21001A041,Anderlecht,6,Worker
2192,21001A041,VEEWEYDE-SUD,2192,19,1,female,parent,873,4,single_with_child,21001A041,Anderlecht,6,Worker
2199,21001A041,VEEWEYDE-SUD,2199,18,1,female,parent,878,4,single_with_child,21001A041,Anderlecht,6,Worker
2200,21001A041,VEEWEYDE-SUD,2200,18,1,female,parent,879,4,single_with_child,21001A041,Anderlecht,6,Worker
2479,21001A041,VEEWEYDE-SUD,2479,18,0,male,parent,1153,4,single_with_child,21001A041,Anderlecht,6,Worker
2503,21001A041,VEEWEYDE-SUD,2503,18,0,male,parent,1161,4,single_with_child,21001A041,Anderlecht,6,Worker
6310,21001A83-,PETERBOS,6310,20,1,female,parent,3141,4,single_with_child,21001A83-,Anderlecht,6,Worker
6312,21001A83-,PETERBOS,6312,20,1,female,parent,3142,4,single_with_child,21001A83-,Anderlecht,6,Worker
6313,21001A83-,PETERBOS,6313,20,1,female,parent,3143,4,single_with_child,21001A83-,Anderlecht,6,Worker
6314,21001A83-,PETERBOS,6314,20,1,female,parent,3144,4,single_with_child,21001A83-,Anderlecht,6,Worker
6321,21001A83-,PETERBOS,6321,19,1,female,parent,3148,4,single_with_child,21001A83-,Anderlecht,6,Worker
6322,21001A83-,PETERBOS,6322,19,1,female,parent,3149,4,single_with_child,21001A83-,Anderlecht,6,Worker
6323,21001A83-,PETERBOS,6323,19,1,female,parent,3150,4,single_with_child,21001A83-,Anderlecht,6,Worker
6324,21001A83-,PETERBOS,6324,19,1,female,parent,3151,4,single_with_child,21001A83-,Anderlecht,6,Worker
6331,21001A83-,PETERBOS,6331,18,1,female,parent,3155,4,single_with_child,21001A83-,Anderlecht,6,Worker
6332,21001A83-,PETERBOS,6332,18,1,female,parent,3156,4,single_with_child,21001A83-,Anderlecht,6,Worker
6333,21001A83-,PETERBOS,6333,18,1,female,parent,3157,4,single_with_child,21001A83-,Anderlecht,6,Worker
6334,21001A83-,PETERBOS,6334,18,1,female,parent,3158,4,single_with_child,21001A83-,Anderlecht,6,Worker
8537,21001A503,VIVES,8544,20,1,female,parent,4615,4,single_with_child,21001A503,Anderlecht,6,Worker
8549,21001A503,VIVES,8556,19,1,female,parent,4620,4,single_with_child,21001A503,Anderlecht,6,Worker
8553,21001A503,VIVES,8560,19,1,female,parent,4621,4,single_with_child,21001A503,Anderlecht,6,Worker
8565,21001A503,VIVES,8572,18,1,female,parent,4626,4,single_with_child,21001A503,Anderlecht,6,Worker
8569,21001A503,VIVES,8576,18,1,female,parent,4627,4,single_with_child,21001A503,Anderlecht,6,Worker
9969,21001A332,ROUE,9979,20,1,female,parent,5395,4,single_with_child,21001A332,Anderlecht,6,Worker
9979,21001A332,ROUE,9989,19,1,female,parent,5399,4,single_with_child,21001A332,Anderlecht,6,Worker
9986,21001A332,ROUE,9996,18,1,female,parent,5403,4,single_with_child,21001A332,Anderlecht,6,Worker
11455,21001A43-,VAN BEETHOVEN,11465,20,1,female,parent,6185,4,single_with_child,21001A43-,Anderlecht,6,Worker
11468,21001A43-,VAN BEETHOVEN,11478,19,1,female,parent,6191,4,single_with_child,21001A43-,Anderlecht,6,Worker
11477,21001A43-,VAN BEETHOVEN,11487,18,1,female,parent,6197,4,single_with_child,21001A43-,Anderlecht,6,Worker
16325,21001A32-,AURORE,16336,20,1,female,parent,8670,4,single_with_child,21001A32-,Anderlecht,6,Worker
16326,21001A32-,AURORE,16337,20,1,female,parent,8671,4,single_with_child,21001A32-,Anderlecht,6,Worker
16327,21001A32-,AURORE,16338,20,1,female,parent,8672,4,single_with_child,21001A32-,Anderlecht,6,Worker
16328,21001A32-,AURORE,16339,20,1,female,parent,8673,4,single_with_child,21001A32-,Anderlecht,6,Worker
16344,21001A32-,AURORE,16355,19,1,female,parent,8683,4,single_with_child,21001A32-,Anderlecht,6,Worker
16345,21001A32-,AURORE,16356,19,1,female,parent,8684,4,single_with_child,21001A32-,Anderlecht,6,Worker
16346,21001A32-,AURORE,16357,19,1,female,parent,8685,4,single_with_child,21001A32-,Anderlecht,6,Worker
16347,21001A32-,AURORE,16358,19,1,female,parent,8686,4,single_with_child,21001A32-,Anderlecht,6,Worker
16363,21001A32-,AURORE,16374,18,1,female,parent,8696,4,single_with_child,21001A32-,Anderlecht,6,Worker
16364,21001A32-,AURORE,16375,18,1,female,parent,8697,4,single_with_child,21001A32-,Anderlecht,6,Worker
16365,21001A32-,AURORE,16376,18,1,female,parent,8698,4,single_with_child,21001A32-,Anderlecht,6,Worker
16366,21001A32-,AURORE,16377,18,1,female,parent,8699,4,single_with_child,21001A32-,Anderlecht,6,Worker
19639,21001A41-,ROMAIN ROLLAND,19650,20,1,female,parent,10576,4,single_with_child,21001A41-,Anderlecht,6,Worker
19647,21001A41-,ROMAIN ROLLAND,19658,19,1,female,parent,10581,4,single_with_child,21001A41-,Anderlecht,6,Worker
19648,21001A41-,ROMAIN ROLLAND,19659,19,1,female,parent,10582,4,single_with_child,21001A41-,Anderlecht,6,Worker
