,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
2001,2001,21001A041,VEEWEYDE-SUD,2001,17,0,male,parent,803,1,couple_with_child,21001A041,Anderlecht,6,Worker
2056,2056,21001A041,VEEWEYDE-SUD,2056,16,0,male,parent,819,1,couple_with_child,21001A041,Anderlecht,6,Worker
2072,2072,21001A041,VEEWEYDE-SUD,2072,16,0,male,parent,826,1,couple_with_child,21001A041,Anderlecht,6,Worker
2076,2076,21001A041,VEEWEYDE-SUD,2076,16,0,male,parent,827,1,couple_with_child,21001A041,Anderlecht,6,Worker
2081,2081,21001A041,VEEWEYDE-SUD,2081,17,0,male,parent,828,1,couple_with_child,21001A041,Anderlecht,6,Worker
2115,2115,21001A041,VEEWEYDE-SUD,2115,17,0,male,parent,840,1,couple_with_child,21001A041,Anderlecht,6,Worker
2126,2126,21001A041,VEEWEYDE-SUD,2126,16,0,male,parent,843,1,couple_with_child,21001A041,Anderlecht,6,Worker
2134,2134,21001A041,VEEWEYDE-SUD,2134,17,0,male,parent,845,1,couple_with_child,21001A041,Anderlecht,6,Worker
2158,2158,21001A041,VEEWEYDE-SUD,2158,16,0,male,parent,854,1,couple_with_child,21001A041,Anderlecht,6,Worker
2168,2168,21001A041,VEEWEYDE-SUD,2168,16,0,male,parent,857,1,couple_with_child,21001A041,Anderlecht,6,Worker
2180,2180,21001A041,VEEWEYDE-SUD,2180,17,0,male,parent,863,2,couple_no_child,21001A041,Anderlecht,6,Worker
2196,2196,21001A041,VEEWEYDE-SUD,2196,16,0,male,parent,875,2,couple_no_child,21001A041,Anderlecht,6,Worker
2201,2201,21001A041,VEEWEYDE-SUD,2201,17,1,female,parent,880,1,couple_with_child,21001A041,Anderlecht,6,Worker
2203,2203,21001A041,VEEWEYDE-SUD,2203,17,1,female,parent,881,2,couple_no_child,21001A041,Anderlecht,6,Worker
2205,2205,21001A041,VEEWEYDE-SUD,2205,17,1,female,parent,882,4,single_with_child,21001A041,Anderlecht,6,Worker
2206,2206,21001A041,VEEWEYDE-SUD,2206,17,1,female,parent,883,4,single_with_child,21001A041,Anderlecht,6,Worker
2207,2207,21001A041,VEEWEYDE-SUD,2207,16,1,female,parent,884,1,couple_with_child,21001A041,Anderlecht,6,Worker
2209,2209,21001A041,VEEWEYDE-SUD,2209,16,1,female,parent,885,2,couple_no_child,21001A041,Anderlecht,6,Worker
2211,2211,21001A041,VEEWEYDE-SUD,2211,16,1,female,parent,886,4,single_with_child,21001A041,Anderlecht,6,Worker
2212,2212,21001A041,VEEWEYDE-SUD,2212,16,1,female,parent,887,4,single_with_child,21001A041,Anderlecht,6,Worker
3469,3469,21001A472,STADE COMMUNAL - INDUSTRIE,3469,17,0,male,parent,1695,1,couple_with_child,21001A472,Anderlecht,6,Worker
3484,3484,21001A472,STADE COMMUNAL - INDUSTRIE,3484,16,0,male,parent,1701,2,couple_no_child,21001A472,Anderlecht,6,Worker
3524,3524,21001A472,STADE COMMUNAL - INDUSTRIE,3524,17,1,female,parent,1722,1,couple_with_child,21001A472,Anderlecht,6,Worker
3526,3526,21001A472,STADE COMMUNAL - INDUSTRIE,3526,17,1,female,parent,1723,2,couple_no_child,21001A472,Anderlecht,6,Worker
3528,3528,21001A472,STADE COMMUNAL - INDUSTRIE,3528,16,1,female,parent,1724,1,couple_with_child,21001A472,Anderlecht,6,Worker
3529,3529,21001A472,STADE COMMUNAL - INDUSTRIE,3529,16,0,male,parent,1724,1,couple_with_child,21001A472,Anderlecht,6,Worker
3530,3530,21001A472,STADE COMMUNAL - INDUSTRIE,3530,16,1,female,parent,1725,2,couple_no_child,21001A472,Anderlecht,6,Worker
3531,3531,21001A472,STADE COMMUNAL - INDUSTRIE,3531,16,0,male,parent,1725,2,couple_no_child,21001A472,Anderlecht,6,Worker
6128,6128,21001A83-,PETERBOS,6128,17,0,male,parent,3090,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6133,6133,21001A83-,PETERBOS,6133,17,0,male,parent,3091,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6147,6147,21001A83-,PETERBOS,6147,17,0,male,parent,3094,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6155,6155,21001A83-,PETERBOS,6155,17,0,male,parent,3096,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6167,6167,21001A83-,PETERBOS,6167,17,0,male,parent,3101,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6177,6177,21001A83-,PETERBOS,6177,16,0,male,parent,3104,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6181,6181,21001A83-,PETERBOS,6181,16,0,male,parent,3105,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6186,6186,21001A83-,PETERBOS,6186,16,0,male,parent,3106,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6190,6190,21001A83-,PETERBOS,6190,16,0,male,parent,3107,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6203,6203,21001A83-,PETERBOS,6203,16,0,male,parent,3112,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6208,6208,21001A83-,PETERBOS,6208,16,0,male,parent,3113,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6212,6212,21001A83-,PETERBOS,6212,16,0,male,parent,3114,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6215,6215,21001A83-,PETERBOS,6215,16,0,male,parent,3115,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6219,6219,21001A83-,PETERBOS,6219,16,0,male,parent,3116,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6223,6223,21001A83-,PETERBOS,6223,16,0,male,parent,3117,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6226,6226,21001A83-,PETERBOS,6226,16,0,male,parent,3118,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6243,6243,21001A83-,PETERBOS,6243,16,0,male,parent,3123,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6247,6247,21001A83-,PETERBOS,6247,16,0,male,parent,3124,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6335,6335,21001A83-,PETERBOS,6335,17,1,female,parent,3159,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6336,6336,21001A83-,PETERBOS,6336,17,0,male,parent,3159,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6337,6337,21001A83-,PETERBOS,6337,17,1,female,parent,3160,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6338,6338,21001A83-,PETERBOS,6338,17,0,male,parent,3160,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6339,6339,21001A83-,PETERBOS,6339,17,1,female,parent,3161,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6340,6340,21001A83-,PETERBOS,6340,17,0,male,parent,3161,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6341,6341,21001A83-,PETERBOS,6341,17,1,female,parent,3162,4,single_with_child,21001A83-,Anderlecht,6,Worker
6342,6342,21001A83-,PETERBOS,6342,17,1,female,parent,3163,4,single_with_child,21001A83-,Anderlecht,6,Worker
6343,6343,21001A83-,PETERBOS,6343,17,1,female,parent,3164,4,single_with_child,21001A83-,Anderlecht,6,Worker
6344,6344,21001A83-,PETERBOS,6344,17,1,female,parent,3165,4,single_with_child,21001A83-,Anderlecht,6,Worker
6345,6345,21001A83-,PETERBOS,6345,16,1,female,parent,3166,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6346,6346,21001A83-,PETERBOS,6346,16,0,male,parent,3166,1,couple_with_child,21001A83-,Anderlecht,6,Worker
6347,6347,21001A83-,PETERBOS,6347,16,1,female,parent,3167,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6348,6348,21001A83-,PETERBOS,6348,16,0,male,parent,3167,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6349,6349,21001A83-,PETERBOS,6349,16,1,female,parent,3168,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6350,6350,21001A83-,PETERBOS,6350,16,0,male,parent,3168,2,couple_no_child,21001A83-,Anderlecht,6,Worker
6351,6351,21001A83-,PETERBOS,6351,16,1,female,parent,3169,4,single_with_child,21001A83-,Anderlecht,6,Worker
