,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkID,WorkType
2,21001A041,VEEWEYDE-SUD,2032,18,0,male,parent,814,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
3,21001A041,VEEWEYDE-SUD,2046,18,0,male,parent,817,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
6,21001A041,VEEWEYDE-SUD,2145,18,0,male,parent,848,2,couple_no_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
16,21001A041,VEEWEYDE-SUD,2176,18,0,male,parent,861,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
22,21001A041,VEEWEYDE-SUD,2195,18,1,female,parent,875,2,couple_no_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
23,21001A041,VEEWEYDE-SUD,2197,18,1,female,parent,876,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
24,21001A041,VEEWEYDE-SUD,2198,18,1,female,parent,877,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
29,21001A041,VEEWEYDE-SUD,2475,18,0,male,parent,1150,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
30,21001A041,VEEWEYDE-SUD,2476,18,0,male,parent,1151,3,single,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
33,21001A041,VEEWEYDE-SUD,510,18,0,male,child,262,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
37,21001A041,VEEWEYDE-SUD,753,18,1,female,child,352,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
38,21001A041,VEEWEYDE-SUD,814,18,1,female,child,373,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
44,21001A041,VEEWEYDE-SUD,1277,18,1,female,child,548,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
45,21001A041,VEEWEYDE-SUD,1387,18,1,female,child,587,1,couple_with_child,21001A041,Anderlecht,21001A041,VEEWEYDE-SUD,Anderlecht,6,Worker
47,21001A472,STADE COMMUNAL - INDUSTRIE,3442,18,0,male,parent,1684,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
48,21001A472,STADE COMMUNAL - INDUSTRIE,3477,18,0,male,parent,1699,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
57,21001A472,STADE COMMUNAL - INDUSTRIE,3518,18,1,female,parent,1718,1,couple_with_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
58,21001A472,STADE COMMUNAL - INDUSTRIE,3520,18,1,female,parent,1719,2,couple_no_child,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
59,21001A472,STADE COMMUNAL - INDUSTRIE,3522,18,1,female,parent,1720,3,single,21001A472,Anderlecht,21001A472,STADE COMMUNAL - INDUSTRIE,Anderlecht,6,Worker
